publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								F	CJPHSS23	current	2022-12-23
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
AfP	0949-2100	2366-0945	2017-02-20	48	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-0945		2366-0945		fulltext		Verlag Dr. Otto Schmidt	serial								P	CJPHSS23	current	2022-12-23
Altorientalische Forschungen	0232-8461	2196-6761	1995-06-15	22	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P	CJPHSS23	current	2022-12-23
Analyse & Kritik	0171-5860	2365-9858	1995-05-20	17	1				https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P	CJPHSS23	current	2022-12-23
Angermion 	1438-2091	1868-9426	2010-11-19	3	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	CJPHSS23	current	2022-12-23
Anglia	0340-5222	1865-8938	1995-01-01	113	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
Antike und Abendland	0003-5696	1613-0421	1995-09-14		1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P	CJPHSS23	current	2022-12-23
Apeiron	0003-6390	2156-7093	1995-03-01	28	März				https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-28
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	CJPHSS23	current	2022-12-23
Arbeit	0941-5025	2365-984X	1995-03-20	04	1				https://www.degruyter.com/openurl?genre=journal&issn=2365-984X		2365-984X		fulltext		De Gruyter Oldenbourg	serial								P	CJPHSS23	current	2022-12-23
Arbitrium	0723-2977	1865-8849	1995-01-01	13	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
arcadia	0003-7982	1613-0642	1995-01-01	30	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
architectura	0044-863X	2569-1554	2016-05-20	46	1				https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P	CJPHSS23	current	2022-12-23
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1995-01-01	77	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1995-01-01	41	1				https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P	CJPHSS23	current	2022-12-23
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1995-06-15	86	1				https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P	CJPHSS23	current	2022-12-23
