publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	last_changed	access_start_date	access_end_date	medium	monograph_parent_collection_title	subject_area	status	listprice_eur	language	doi_identifier
A Baedeker of Decadence		9780300159202							https://www.degruyter.com/openurl?genre=book&isbn=9780300159202	Hill	9780300159202		fulltext		Yale University Press	monograph	1992	1992						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-03	2021-01-01		Book		Other Nations and Languages	current	127,95	eng	10.12987/9780300159202
A Basic Grammar of the Ugaritic Language		9780520342101							https://www.degruyter.com/openurl?genre=book&isbn=9780520342101	Segert	9780520342101		fulltext		University of California Press	monograph	1984	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520342101
A Bat Man in the Tropics		9780520929487							https://www.degruyter.com/openurl?genre=book&isbn=9780520929487	Fleming	9780520929487		fulltext		University of California Press	monograph	2004	2003						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-17	2021-01-01		Book	Organisms and Environments	Zoology	current	334,95	eng	10.1525/9780520929487
A Beautiful Ending		9780300265446							https://www.degruyter.com/openurl?genre=book&isbn=9780300265446	Martin	9780300265446		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-04-05		Book		General Topics and Biblical Reception	current	68,95	eng	10.12987/9780300265446
A Better Planet		9780300248890							https://www.degruyter.com/openurl?genre=book&isbn=9780300248890		9780300248890		fulltext		Yale University Press	monograph	2019	2019						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Ecology	current	58,95	eng	10.12987/9780300248890
A Bibliography on Grapes, Wines, Other Alcoholic Beverages, and Temperance		9780520316850							https://www.degruyter.com/openurl?genre=book&isbn=9780520316850	Borg	9780520316850		fulltext		University of California Press	monograph	1996	1996		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	University of California Publications. Catalogs and Bibliographies	General Interest	current	110,95	eng	10.1525/9780520316850
A Bishop's Tale		9780300130546							https://www.degruyter.com/openurl?genre=book&isbn=9780300130546	Put	9780300130546		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Comparative Studies	current	78,95	eng	10.12987/9780300130546
A Blue New Deal		9780300264999							https://www.degruyter.com/openurl?genre=book&isbn=9780300264999	Armstrong	9780300264999		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-03-02		Book		Political Science, other	current	58,95	eng	10.12987/9780300264999
A Blueprint for War		9780300235265							https://www.degruyter.com/openurl?genre=book&isbn=9780300235265	Dunn	9780300235265		fulltext		Yale University Press	monograph	2018	2018						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	The Henry L. Stimson Lectures Series	Global History	current	53,95	eng	10.12987/9780300235265
A Brief History of Fascist Lies		9780520975835							https://www.degruyter.com/openurl?genre=book&isbn=9780520975835	Finchelstein	9780520975835		fulltext		University of California Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-17	2021-01-01		Book		Global History	current	107,95	eng	10.1525/9780520975835
A Brief History of Fascist Lies		9780520389786							https://www.degruyter.com/openurl?genre=book&isbn=9780520389786	Finchelstein	9780520389786		fulltext		University of California Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2022-08-01		Book		Global History	current	91,95	eng	
A Brief Natural History of Civilization		9780300252644							https://www.degruyter.com/openurl?genre=book&isbn=9780300252644	Bertness	9780300252644		fulltext		Yale University Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Cultural History	current	54,95	eng	10.12987/9780300252644
A Buried Past		9780520313538							https://www.degruyter.com/openurl?genre=book&isbn=9780520313538	Ichioka	9780520313538		fulltext		University of California Press	monograph	1974	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520313538
