publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Altorientalische Forschungen	0232-8461	2196-6761	1995-06-15	22	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P	HSSKONVA23	current	2023-03-31
Angermion 	1438-2091	1868-9426	2010-11-19	3	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	HSSKONVA23	current	2023-03-31
Antike und Abendland	0003-5696	1613-0421	1995-09-14		1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P	HSSKONVA23	current	2023-03-31
Apeiron	0003-6390	2156-7093	1995-03-01	28	März				https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	HSSKONVA23	current	2023-03-31
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	HSSKONVA23	current	2023-04-05
arcadia	0003-7982	1613-0642	1995-01-01	30	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	HSSKONVA23	current	2023-03-31
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1995-01-01	77	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	HSSKONVA23	current	2023-03-31
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1995-01-01	41	1				https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P	HSSKONVA23	current	2023-03-31
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1				https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	yearbook								P	HSSKONVA23	current	2023-03-31
Aschkenas	1016-4987	1865-9438	1995-01-01	5	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P	HSSKONVA23	current	2023-03-31
