publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								F	HSSKONVB23	current	2023-01-27
Anglia	0340-5222	1865-8938	1995-01-01	113	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Arbitrium	0723-2977	1865-8849	1995-01-01	13	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1				https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-02-01
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1995-01-01	117	Jahresband				https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Bibliothek Forschung und Praxis	0341-4183	1865-7648	1995-01-01	19	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-7648		1865-7648		fulltext		De Gruyter	serial								F	HSSKONVB23	current	2023-01-27
Bibliotheksdienst	0006-1972	2194-9646	1995-01-10	29	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext		De Gruyter Saur	serial								F	HSSKONVB23	current	2023-01-27
Byzantinische Zeitschrift	0007-7704	1868-9027	1995-01-01	88	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1				https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Communications	0341-2059	1613-4087	1995-01-01	20	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P	HSSKONVB23	current	2023-01-27
Der Islam	0021-1818	1613-0928	1995-01-01	72	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1995-02-20	43	1				https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P	HSSKONVB23	current	2023-02-09
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1995-06-15		70				https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P	HSSKONVB23	current	2023-01-27
Digital Culture & Society	2364-2114	2364-2122	2015-09-30	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2364-2122		2364-2122		fulltext		transcript Verlag	serial								P	HSSKONVB23	current	2023-01-27
Frühmittelalterliche Studien	0071-9706	1613-0812	1995-01-01	29	1995				https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P	HSSKONVB23	current	2023-01-27
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2				https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Historische Zeitschrift	0018-2613	2196-680X	1995-06-20	260-261	260				https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P	HSSKONVB23	current	2023-01-27
Information – Wissenschaft & Praxis	1434-4653	1619-4292	2012-02-20	63	1				https://www.degruyter.com/openurl?genre=journal&issn=1619-4292		1619-4292		fulltext		De Gruyter Saur	serial								P	HSSKONVB23	current	2023-01-27
Internationales Archiv für Sozialgeschichte der deutschen Literatur	0340-4528	1865-9128	1995-01-01	19	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-9128		1865-9128		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
Jahrbuch für Germanistische Sprachgeschichte	1869-7038	1869-7046	2010-12-20		1				https://www.degruyter.com/openurl?genre=journal&issn=1869-7046		1869-7046		fulltext		De Gruyter	yearbook								P	HSSKONVB23	current	2023-01-27
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1995-06-20	36	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext		Akademie Verlag	serial								F	HSSKONVB23	current	2023-01-27
Journal of Cultural Management and Cultural Policy / Zeitschrift für Kulturmanagement und Kulturpolitik	2701-8466	2701-9276	2015-03-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2701-9276		2701-9276		fulltext		transcript Verlag	serial								P	HSSKONVB23	current	2023-01-27
Journal of Literary Theory	1862-5290	1862-8990	2007-08-21	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-8990		1862-8990		fulltext		De Gruyter	serial								F	HSSKONVB23	current	2023-02-09
JURA - Juristische Ausbildung	0170-1452	1612-7021	2009-01-01	31	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-7021		1612-7021		fulltext		De Gruyter	serial								P	HSSKONVB23	current	2023-01-27
