publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext	perpetual access	De Gruyter	serial								P	JABCG14	retired	2022-06-23
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2014-11-28	395	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JABCG14	current	2023-01-27
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2014-12-20	5	6	https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext		De Gruyter	serial								F	JABCG14	current	2023-02-02
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2014-12-29	57	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JABCG14	current	2023-01-27
Chemical Papers	0366-6352	1336-9075	2006-04-22	60	1	2014-12-20	68	12	https://www.degruyter.com/openurl?genre=journal&issn=1336-9075		1336-9075		fulltext	perpetual access	De Gruyter	serial								P	JABCG14	retired	2022-06-23
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2014-12-30	9	2	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P	JABCG14	current	2023-01-27
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2014-08-20	32	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P	JABCG14	current	2023-01-27
e-Polymers 	2197-4586	1618-7229	2001-06-20	1	1	2014-12-15	14	6	https://www.degruyter.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext		De Gruyter	serial								F	JABCG14	current	2023-02-03
Green Processing and Synthesis	2191-9542	2191-9550	2012-02-20	1	1	2014-12-20	3	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-9550		2191-9550		fulltext		De Gruyter	serial								F	JABCG14	current	2023-01-27
Helia	1018-1806	2197-0483	2000-06-20	23	33	2014-12-20	37	61	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P	JABCG14	current	2023-01-27
Heterocyclic Communications	0793-0283	2191-0197	1994-01-01	1	Febr	2014-12-20	20	5	https://www.degruyter.com/openurl?genre=journal&issn=2191-0197		2191-0197		fulltext		De Gruyter	serial								F	JABCG14	current	2023-02-07
