publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2019-12-15	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								F	JACP19	current	2022-12-02
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2019-12-10	9	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2019-11-20	19	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								F	JACP19	current	2022-12-02
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2019-12-20	8	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2019-07-31	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2019-10-19	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
AfP	0949-2100	2366-0945	2017-02-20	48	1	2019-12-20	50	6	https://www.degruyter.com/openurl?genre=journal&issn=2366-0945		2366-0945		fulltext		Verlag Dr. Otto Schmidt	serial								P	JACP19	current	2022-12-02
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2019-12-15	46	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P	JACP19	current	2022-12-02
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2019-12-20	104	12	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Analyse & Kritik	0171-5860	2365-9858	1979-05-20	1	1	2019-11-20	41	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P	JACP19	current	2022-12-02
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2019-11-01	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JACP19	current	2022-12-02
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2019-11-15		12	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2019-11-20	137	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2019-11-15		65	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2019-10-15	52	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2019-11-15	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	JACP19	current	2022-12-02
Arbeit	0941-5025	2365-984X	1992-03-20	01	1	2019-11-20	28	4	https://www.degruyter.com/openurl?genre=journal&issn=2365-984X		2365-984X		fulltext		De Gruyter Oldenbourg	serial								P	JACP19	current	2022-12-02
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2019-12-20	37	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2019-11-28	54	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
architectura	0044-863X	2569-1554	2016-05-20	46	1	2019-10-20	49	2	https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P	JACP19	current	2022-12-02
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888-01-01	1	1	2019-12-15	101	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2019-12-20	65	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2019-10-16	110	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P	JACP19	current	2022-12-02
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review	0341-8375	2198-0497	1972-06-15	1	1	2019-11-20	48	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0497		2198-0497		fulltext		Gütersloher Verlagshaus	serial								P	JACP19	current	2022-06-23
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2019-02-20		21	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2019-12-20	29	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2019-12-20	10	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2019-07-31	13	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
