publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2019-11-15		12	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	JALL19	current	2023-03-03
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2019-11-20	137	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2019-11-15	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2019-12-20	37	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2019-11-28	54	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2019-12-20	29	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2019-12-20	141	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2019-10-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2019-11-28	42	4	https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2019-11-20	15	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2019-11-27	30	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Cognitive Semiotics	1662-1425	2235-2066	2007-09-10	1	1	2019-11-15	12	2	https://www.degruyter.com/openurl?genre=journal&issn=2235-2066		2235-2066		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Communications	0341-2059	1613-4087	1976-01-01	2	1	2019-11-21	44	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2019-10-30	15	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867-06-15		1	2019-10-30		94	https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P	JALL19	current	2023-03-03
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2019-11-20		27	https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
editio	0931-3079	1865-9446	1988-01-01	2	2	2019-11-15		33	https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext		De Gruyter	yearbook								P	JALL19	current	2023-03-03
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2019-11-15		2019	https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext	perpetual access	De Gruyter	yearbook								P	JALL19	retired	2022-06-23
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2019-09-15	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2019-10-20	49	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2019-11-20	60	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2019-11-15	53	s40-s2	https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
George-Jahrbuch	1430-2519	1865-8881	2009-12-20		7 (2008/09)	2013-11-20		10 (2014/15)	https://www.degruyter.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext	perpetual access	De Gruyter	yearbook								P	JALL19	retired	2022-03-09
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2	2019-12-20	60	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Global Chinese	2199-4374	2199-4382	2015-04-10	1	1	2019-09-20	5	2	https://www.degruyter.com/openurl?genre=journal&issn=2199-4382		2199-4382		fulltext		De Gruyter	serial								P	JALL19	current	2023-03-03
Glottotheory 	1337-7892	2196-6907	2008-07-20	1	1	2019-12-20	10	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext		De Gruyter (A)	serial								P	JALL19	current	2023-03-03
HUMOR	0933-1719	1613-3722	1988-01-01	1	1	2019-10-19	32	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3722		1613-3722		fulltext		De Gruyter Mouton	serial								P	JALL19	current	2023-03-03
