publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2014-12-20	59	s1	https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
BioNanoMaterials	2193-0651	2193-066X	2000-06-10	1	1	2014-12-20	15	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-066X		2193-066X		fulltext	perpetual access	De Gruyter	serial								F	JAMED14	retired	2022-06-23
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2014-12-20	3	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								F	JAMED14	current	2023-03-03
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2014-11-19	52	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2014-12-20	29	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2014-05-30	3	1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
European Journal of Nanomedicine	1662-5986	1662-596X	2008-06-20	1	1	2014-12-20	6	4	https://www.degruyter.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext	perpetual access	De Gruyter	serial								P	JAMED14	retired	2020-07-17
Hormone Molecular Biology and Clinical Investigation	1868-1883	1868-1891	2010-03-27		1	2014-12-15		20	https://www.degruyter.com/openurl?genre=journal&issn=1868-1891		1868-1891		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Innovative Neurosurgery	2193-522X	2193-5238	2013-03-20	1	1	2014-08-20	2	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-5238		2193-5238		fulltext	perpetual access	De Gruyter	serial								P	JAMED14	retired	2022-06-23
International Journal of Adolescent Medicine and Health 	0334-0139	2191-0278	1985-01-01	1	1/2	2014-11-28	26	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0278		2191-0278		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
International Journal of Nursing Education Scholarship	2194-5772	1548-923X	2004-01-01	1	1	2014-01-01	11	1	https://www.degruyter.com/openurl?genre=journal&issn=1548-923X		1548-923X		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
International Journal on Disability and Human Development	2191-1231	2191-0367	1999-01-01	1	Jan	2014-11-20	13	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0367		2191-0367		fulltext	perpetual access	De Gruyter	serial								P	JAMED14	retired	2022-06-29
Journal of Basic and Clinical Physiology and Pharmacology	0792-6855	2191-0286	1986-12-01	6	Supplement	2014-12-20	25	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0286		2191-0286		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Journal of Complementary and Integrative Medicine	2194-6329	1553-3840	2004-01-01	1	1	2014-12-15	11	4	https://www.degruyter.com/openurl?genre=journal&issn=1553-3840		1553-3840		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Journal of Imagery Research in Sport and Physical Activity	2194-637X	1932-0191	2006-01-01	1	1	2014-01-31	9	1	https://www.degruyter.com/openurl?genre=journal&issn=1932-0191		1932-0191		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Journal of Laboratory Medicine	2567-9430	2567-9449	1977-01-01	1	1	2014-12-19	38	6	https://www.degruyter.com/openurl?genre=journal&issn=2567-9449		2567-9449		fulltext		De Gruyter	serial								F	JAMED14	current	2023-03-03
Journal of Pediatric Endocrinology and Metabolism	0334-018X	2191-0251	1985-01-01	1	1	2014-10-30	27	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-0251		2191-0251		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Journal of Perinatal Medicine	0300-5577	1619-3997	1973-01-01	1	1	2014-12-19	42	6	https://www.degruyter.com/openurl?genre=journal&issn=1619-3997		1619-3997		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Public Health Forum	0944-5587	1876-4851	1993-07-20	1	1	2014-12-20	22	4	https://www.degruyter.com/openurl?genre=journal&issn=1876-4851		1876-4851		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Reviews on Environmental Health	0048-7554	2191-0308	1986-01-01	6	1/4	2014-12-20	29	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0308		2191-0308		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Scandinavian Journal of Pain	1877-8860	1877-8879	2010-01-20	1	1	2014-10-20	5	4	https://www.degruyter.com/openurl?genre=journal&issn=1877-8879		1877-8879		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
Statistical Communications in Infectious Diseases	2194-6310	1948-4690	2009-06-01	1	1	2014-01-31	6	1	https://www.degruyter.com/openurl?genre=journal&issn=1948-4690		1948-4690		fulltext		De Gruyter	serial								P	JAMED14	current	2023-03-03
