publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2014-12-20	34	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2014-11-10	4	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2014-11-01	14	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2014-12-10	3	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2023-03-03
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2014-07-31	7	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2014-10-19	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012-03-15	1	1	2014-11-28	3	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	2010-03-22	1	1	2014-10-30	5	4	https://www.degruyter.com/openurl?genre=journal&issn=1869-6090		1869-6090		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2023-01-17
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2014-12-15	41	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P	JAPCL14	current	2023-03-03
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2014-11-20	99	8-9	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Analyse & Kritik	0171-5860	2365-9858	1979-05-20	1	1	2014-11-20	36	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P	JAPCL14	current	2023-03-03
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2014-11-15	34	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JAPCL14	current	2023-03-03
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2014-11-15		7	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2014-12-20	132	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2014-11-15		60	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2014-12-15	47	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2014-10-26	5	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2014-09-20	32	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2014-11-28	49	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888-01-01	1	1	2014-12-15	96	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2014-12-20	60	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2014-06-15	105	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P	JAPCL14	current	2023-03-03
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review	0341-8375	2198-0497	1972-06-15	1	1	2014-06-15	43	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0497		2198-0497		fulltext	perpetual access	Gütersloher Verlagshaus	serial								P	JAPCL14	retired	2022-06-23
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2014-11-15		16	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2014-12-20	24	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2014-06-20	5	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2014-07-31	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2014-11-28	68	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2014-12-15	62	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		De Gruyter (O)	serial								P	JAPCL14	current	2023-03-03
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2014-06-30	9	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2014-12-20	136	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Bibliothek Forschung und Praxis	0341-4183	1865-7648	1977-01-01	1	1	2014-12-15	38	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-7648		1865-7648		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Bibliotheksdienst	0006-1972	2194-9646	1697-09-01	1	6	2014-11-26	48	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext		De Gruyter Saur	serial								F	JAPCL14	current	2023-03-03
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2022-06-23
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2014-11-28	395	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2014-12-20	59	s1	https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2014-12-20	5	6	https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
BioNanoMaterials	2193-0651	2193-066X	2000-06-10	1	1	2014-12-20	15	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-066X		2193-066X		fulltext	perpetual access	De Gruyter	serial								F	JAPCL14	retired	2022-06-23
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2014-12-29	57	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2014-12-20	107	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2014-12-20	3	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Chemical Papers	0366-6352	1336-9075	2006-04-22	60	1	2014-12-20	68	12	https://www.degruyter.com/openurl?genre=journal&issn=1336-9075		1336-9075		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2022-06-23
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2014-12-30	9	2	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2014-11-20		14	https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2014-10-15	3	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2014-11-28	37	4	https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2014-12-20	10	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2014-11-19	52	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2014-12-12	25	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Cognitive Semiotics	1662-1425	2235-2066	2007-09-10	1	1	2014-09-27	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2235-2066		2235-2066		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Communications	0341-2059	1613-4087	1976-01-01	2	1	2014-11-21	39	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2014-10-30	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1	2014-12-15	15	6	https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext		Verlag Dr. Otto Schmidt	serial								P	JAPCL14	current	2023-03-03
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2014-12-15	30	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P	JAPCL14	current	2023-03-03
Conceptus	0010-5155	2196-9523	2008-06-27	37	92	2014-12-31	43	103-104	https://www.degruyter.com/openurl?genre=journal&issn=2196-9523		2196-9523		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2022-06-23
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2014-10-30	10	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2014-08-20	32	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2014-12-15	19	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext	perpetual access	Akademie Verlag	serial								P	JAPCL14	retired	2023-03-03
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2014-10-20	91	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2014-12-15	62	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P	JAPCL14	current	2023-03-03
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2014-11-28	24	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867-06-15		1	2014-10-30		89	https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2014-11-21	22	1	https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2014-12-15	24	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2014-12-20	29	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
editio	0931-3079	1865-9446	1988-01-01	2	2	2014-11-15		28	https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2014-12-10	1	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2014-11-15		2014	https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext	perpetual access	De Gruyter	yearbook								P	JAPCL14	retired	2022-06-23
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1	2014-10-20	4	4	https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2014-05-30	3	1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
e-Polymers 	2197-4586	1618-7229	2001-06-20	1	1	2014-12-15	14	6	https://www.degruyter.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext		De Gruyter	serial								F	JAPCL14	current	2023-03-03
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2014-12-15	17	2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2014-12-19	11	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2014-11-15	2	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
European Journal of Nanomedicine	1662-5986	1662-596X	2008-06-20	1	1	2014-12-20	6	4	https://www.degruyter.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext	perpetual access	De Gruyter	serial								P	JAPCL14	retired	2020-07-17
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2014-10-20	44	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2014-12-16	3	3	https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
European Review of Contract Law	1614-9920	1614-9939	1967-02-01	1	Jan	2014-12-15	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2014-09-15		4	https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P	JAPCL14	current	2023-03-03
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2014-12-17	74	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P	JAPCL14	current	2023-03-03
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2014-12-12	55	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
Feministische Studien	0723-5186	2365-9920	2001-05-20	19	1	2014-11-20	32	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9920		2365-9920		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2014-12-20	96	24	https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P	JAPCL14	current	2023-03-03
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2014-12-19	48	2	https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P	JAPCL14	current	2023-03-03
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1	2014-06-30	17	2	https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P	JAPCL14	current	2023-03-03
