publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2019-10-15	52	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	JAPTJ19	current	2022-03-04
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888-01-01	1	1	2019-12-15	101	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	JAPTJ19	current	2022-03-04
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2019-10-16	110	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P	JAPTJ19	current	2022-03-04
Berliner Theologische Zeitschrift 	0724-6137	2699-3414	2020-10-20		37				https://www.degruyter.com/openurl?genre=journal&issn=2699-3414		2699-3414		fulltext		De Gruyter	yearbook								P	JAPTJ19	current	2022-03-04
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2019-10-20	96	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P	JAPTJ19	current	2022-03-04
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2019-12-15	67	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P	JAPTJ19	current	2022-03-04
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2019-12-04	79	6	https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P	JAPTJ19	current	2022-03-04
Frühmittelalterliche Studien	0071-9706	1613-0812	1967-01-01	1	1967	2019-11-15		53	https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P	JAPTJ19	current	2022-03-04
International Journal of Practical Theology 	1430-6921	1612-9768	1997-01-01	1	1	2019-11-28	23	2	https://www.degruyter.com/openurl?genre=journal&issn=1612-9768		1612-9768		fulltext		De Gruyter	serial								P	JAPTJ19	current	2022-03-04
Internationales Jahrbuch für Medienphilosophie	2194-7554	2196-6834	2015-01-01		1	2019-01-01		5	https://www.degruyter.com/openurl?genre=journal&issn=2196-6834		2196-6834		fulltext		De Gruyter (A)	yearbook								P	JAPTJ19	current	2022-03-04
