publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2014-11-10	4	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Analyse & Kritik	0171-5860	2365-9858	1979-05-20	1	1	2014-11-20	36	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P	JASSHE14	current	2022-03-04
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2014-11-15		7	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P	JASSHE14	current	2022-03-04
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2014-12-20	132	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2014-12-15	47	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2014-10-26	5	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P	JASSHE14	current	2022-03-04
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2014-11-28	49	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2014-06-20	5	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2014-07-31	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2014-06-30	9	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext		De Gruyter	serial								P	JASSHE14	current	2022-03-04
