publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2014-11-01	14	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								F	JASTME14	current	2022-07-01
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2014-12-10	3	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2014-07-31	7	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2014-10-19	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012-03-15	1	1	2014-11-28	3	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext		De Gruyter	serial								F	JASTME14	current	2022-07-01
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	2010-03-22	1	1	2014-10-30	5	4	https://www.degruyter.com/openurl?genre=journal&issn=1869-6090		1869-6090		fulltext		De Gruyter	serial								P	JASTME14	current	2022-06-29
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2014-11-20	99	8-9	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2014-11-15	34	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JASTME14	current	2022-07-01
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1	2014-08-20	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext		De Gruyter	serial								P	JASTME14	current	2022-06-23
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2014-11-28	395	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2014-12-20	5	6	https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext		De Gruyter	serial								F	JASTME14	current	2022-07-01
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2014-12-29	57	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JASTME14	current	2022-07-01
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2014-12-20	3	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								F	JASTME14	current	2022-07-01
