PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	PACKAGE_ID	STATUS	LAST_CHANGED
American Mineralogist	0003-004X	1945-3027	2019-03-20	104	1	2019-12-20	104	12	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Acta Parasitologica	1230-2821	1896-1851				2018-12-15	63	4	https://www.degruyter.com/openurl?genre=journal&issn=1896-1851		1896-1851		fulltext	CEASED !	De Gruyter	serial								P	JPBCG19	retired	2022-10-21
Botanica Marina	0006-8055	1437-4323	2019-02-27	62	1	2019-12-29	62	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Chemistry International	0193-6484	1365-2192	2019-03-20	41	1	2019-12-20	41	4	https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext	Online	De Gruyter	serial								F	JPBCG19	current	2022-10-21
Corrosion Reviews	0334-6005	2191-0316	2019-02-20	37	1	2019-12-20	37	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Chemical Product and Process Modeling	2194-6159	1934-2659	2019-03-30	14	1	2019-12-30	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Helia	1018-1806	2197-0483	2019-07-20	42	70	2019-12-20	42	71	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Holzforschung	0018-3830	1437-434X	2019-01-15	73	1	2019-12-20	73	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Biological Chemistry	1431-6730	1437-4315	2019-01-20	400	1	2019-11-20	400	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2019-01-20	17	1	2019-12-20	17	12	https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
