publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2				https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Biological Chemistry	1431-6730	1437-4315	1995-01-01	380	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Botanica Marina	0006-8055	1437-4323	1995-01-01	38	Jan				https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Chemistry International	0193-6484	1365-2192	1997-06-20	19	4				https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext		De Gruyter	serial								F	JPBCG22	current	2022-12-02
Corrosion Reviews	0334-6005	2191-0316	1995-03-01	13	1				https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Helia	1018-1806	2197-0483	2000-06-20	23	33				https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Holzforschung	0018-3830	1437-434X	1995-01-01	49	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2003-05-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
International Journal of Food Engineering	2194-5764	1556-3758	2005-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
International Journal of Materials Research	1862-5282	2195-8556	1995-01-20	86	1				https://www.degruyter.com/openurl?genre=journal&issn=2195-8556		2195-8556		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
International Polymer Processing	0930-777X	2195-8602	1995-03-20	10	1				https://www.degruyter.com/openurl?genre=journal&issn=2195-8602		2195-8602		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Journal of Polymer Engineering	0334-6447	2191-0340	1995-01-01	14	1				https://www.degruyter.com/openurl?genre=journal&issn=2191-0340		2191-0340		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Mammalia	0025-1461	1864-1547	1995-01-01	59	1				https://www.degruyter.com/openurl?genre=journal&issn=1864-1547		1864-1547		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Neuroforum	0947-0875	2363-7013	2017-02-20	23	1				https://www.degruyter.com/openurl?genre=journal&issn=2363-7013		2363-7013		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Nordic Pulp & Paper Research Journal	0283-2631	2000-0669	1995-01-20	10	1				https://www.degruyter.com/openurl?genre=journal&issn=2000-0669		2000-0669		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Practical Metallography	0032-678X	2195-8599	1995-01-20	32	1				https://www.degruyter.com/openurl?genre=journal&issn=2195-8599		2195-8599		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Pure and Applied Chemistry	0033-4545	1365-3075	1995-01-10	67	1				https://www.degruyter.com/openurl?genre=journal&issn=1365-3075		1365-3075		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
Radiochimica Acta	0033-8230	2193-3405	1995-02-20	68-71	68/1				https://www.degruyter.com/openurl?genre=journal&issn=2193-3405		2193-3405		fulltext		De Gruyter (O)	serial								P	JPBCG22	current	2022-12-02
Reviews in Chemical Engineering	0167-8299	2191-0235	1995-03-01	11	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-0235		2191-0235		fulltext		De Gruyter	serial								P	JPBCG22	current	2022-12-02
