publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Analysis	0174-4747	2196-6753	1995-03-15	15	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JPMPE23	current	2022-12-02
at - Automatisierungstechnik	0178-2312	2196-677X	1995-01-15	43	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		De Gruyter (O)	serial								P	JPMPE23	current	2022-12-02
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Discrete Mathematics and Applications	0924-9265	1569-3929	1995-01-01	5	1				https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Forum Mathematicum 	0933-7741	1435-5337	1995-01-01	7	1				https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Frequenz	0016-1136	2191-6349	1995-01-01	49	Jan				https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Georgian Mathematical Journal	1072-947X	1572-9176	1995-02-01	2	1				https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
HTM Journal of Heat Treatment and Materials	1867-2493	2194-1831	1996-01-20	51	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-1831		2194-1831		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
i-com	1618-162X	2196-6826	2001-08-20		O				https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JPMPE23	current	2022-12-02
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2004-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
International Journal of Nonlinear Sciences and Numerical Simulation	1565-1339	2191-0294	2000-03-01	1	1-8				https://www.degruyter.com/openurl?genre=journal&issn=2191-0294		2191-0294		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
International Journal of Turbo & Jet-Engines 	0334-0082	2191-0332	1995-03-01	12	1				https://www.degruyter.com/openurl?genre=journal&issn=2191-0332		2191-0332		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
it - Information Technology	1611-2776	2196-7032	1995-01-20	37	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-7032		2196-7032		fulltext		De Gruyter Oldenbourg	serial								P	JPMPE23	current	2022-12-02
Journal für die reine und angewandte Mathematik	0075-4102	1435-5345	1995-01-01		458				https://www.degruyter.com/openurl?genre=journal&issn=1435-5345		1435-5345		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Journal of Applied Analysis	1425-6908	1869-6082	1995-06-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1869-6082		1869-6082		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Journal of Applied Geodesy	1862-9016	1862-9024	2007-03-22	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-9024		1862-9024		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
Journal of Group Theory	1433-5883	1435-4446	1998-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1435-4446		1435-4446		fulltext		De Gruyter	serial								P	JPMPE23	current	2022-12-02
