publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Apeiron	0003-6390	2156-7093	1995-03-01	28	März				https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1995-01-01	77	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1995-06-15	86	1				https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P	JPPTJ23	current	2022-12-02
Berliner Theologische Zeitschrift 	0724-6137	2699-3414	2020-10-20		37				https://www.degruyter.com/openurl?genre=journal&issn=2699-3414		2699-3414		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Der Islam	0021-1818	1613-0928	1995-01-01	72	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1995-02-20	43	1				https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P	JPPTJ23	current	2022-12-02
Evangelische Theologie	0014-3502	2198-0470	1995-04-16	55	2				https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P	JPPTJ23	current	2022-12-02
Frühmittelalterliche Studien	0071-9706	1613-0812	1995-01-01	29	1995				https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
International Journal of Practical Theology 	1430-6921	1612-9768	1997-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-9768		1612-9768		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Internationales Jahrbuch für Medienphilosophie	2194-7554	2196-6834	2015-01-01		1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6834		2196-6834		fulltext		De Gruyter (A)	yearbook								P	JPPTJ23	current	2022-12-02
Internationales Jahrbuch für philosophische Anthropologie	2192-4279	2192-4287	2008-12-15		1 (2007/08)				https://www.degruyter.com/openurl?genre=journal&issn=2192-4287		2192-4287		fulltext		De Gruyter (A)	yearbook								P	JPPTJ23	current	2022-12-02
Journal for the History of Modern Theology / Zeitschrift für Neuere Theologiegeschichte	0943-7592	1612-9776	1995-01-01	2	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-9776		1612-9776		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Journal of Contemporary Antisemitism		2472-9906	2018-06-03	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2472-9906		2472-9906		fulltext		Academic Studies Press	serial								P	JPPTJ23	current	2022-12-02
Journal of Early Modern Christianity	2196-6648	2196-6656	2014-05-31	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6656		2196-6656		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Journal of the Bible and its Reception	2329-440X	2329-4434	2014-04-30	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2329-4434		2329-4434		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Journal of the Canadian Society for Syriac Studies		2688-4747	2001-12-30		1				https://www.degruyter.com/openurl?genre=journal&issn=2688-4747		2688-4747		fulltext		Gorgias Press	serial								P	JPPTJ23	current	2022-12-02
Journal of the International Qur’anic Studies Association	2474-8390	2474-8420	2023-08-20	8	1				https://www.degruyter.com/openurl?genre=journal&issn=2474-8420		2474-8420		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-08-09
Journal of Transcendental Philosophy	2626-8310	2626-8329	2020-04-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2626-8329		2626-8329		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Kant Yearbook	1868-4599	1868-4602	2009-06-20		1				https://www.degruyter.com/openurl?genre=journal&issn=1868-4602		1868-4602		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Kant-Studien	0022-8877	1613-1134	1995-01-01	86	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-1134		1613-1134		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Kierkegaard Studies Yearbook	1430-5372	1612-9792	1996-01-01	1996	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-9792		1612-9792		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Latin American Jewish Studies		2644-061X	2022-04-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2644-061X		2644-061X		fulltext		Academic Studies Press	serial								P	JPPTJ23	current	2022-12-02
Materialdienst	0934-8522	2747-6715	2020-02-20	71	1				https://www.degruyter.com/openurl?genre=journal&issn=2747-6715		2747-6715		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Melilah: Manchester Journal of Jewish Studies (1759-1953)		1759-1953	2010-12-30	5	5				https://www.degruyter.com/openurl?genre=journal&issn=1759-1953		1759-1953		fulltext		Gorgias Press	serial								P	JPPTJ23	current	2022-12-02
Metaphysica	1437-2053	1874-6373	2014-04-15	15	1				https://www.degruyter.com/openurl?genre=journal&issn=1874-6373		1874-6373		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Moral Philosophy and Politics	2194-5616	2194-5624	2014-04-15	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-5624		2194-5624		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Naharaim	1862-9148	1862-9156	2007-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-9156		1862-9156		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Neue Zeitschrift für Systematische Theologie und Religionsphilosophie	0028-3517	1612-9520	1995-01-01	37	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-9520		1612-9520		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Nietzscheforschung	1869-5604	2191-9259	1995-06-15		2				https://www.degruyter.com/openurl?genre=journal&issn=2191-9259		2191-9259		fulltext		De Gruyter (A)	yearbook								P	JPPTJ23	current	2022-12-02
Nietzsche-Studien	0342-1422	1613-0790	1995-01-01		1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0790		1613-0790		fulltext		De Gruyter	yearbook								F	JPPTJ23	current	2022-12-02
Paragrana	0938-0116	2196-6885	2008-06-15	17	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6885		2196-6885		fulltext		De Gruyter (A)	serial								P	JPPTJ23	current	2022-12-02
Praktische Theologie	0946-3518	2198-0462	1995-03-15	30	1				https://www.degruyter.com/openurl?genre=journal&issn=2198-0462		2198-0462		fulltext		Gütersloher Verlagshaus	serial								P	JPPTJ23	current	2022-12-02
Rhizomata	2196-5102	2196-5110	2013-04-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-5110		2196-5110		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
SATS	1600-1974	1869-7577	2000-05-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1869-7577		1869-7577		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Studies in Judaism, Humanities, and the Social Sciences		2473-2613	2020-12-31	3	1				https://www.degruyter.com/openurl?genre=journal&issn=2473-2613		2473-2613		fulltext		Academic Studies Press	serial								P	JPPTJ23	current	2022-12-02
The Philosophy of Humor Yearbook	2698-7171	2698-718X	2020-09-20		1				https://www.degruyter.com/openurl?genre=journal&issn=2698-718X		2698-718X		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Verkündigung und Forschung	0342-2410	2198-0454	1995-03-14	40	1				https://www.degruyter.com/openurl?genre=journal&issn=2198-0454		2198-0454		fulltext		Gütersloher Verlagshaus	serial								P	JPPTJ23	current	2022-12-02
Wittgenstein-Studien	1868-7431	1868-7458	2010-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-7458		1868-7458		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Yearbook for Eastern and Western Philosophy	2196-5889	2196-5897	2015-06-20		O				https://www.degruyter.com/openurl?genre=journal&issn=2196-5897		2196-5897		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Yearbook for European Jewish Literature Studies	2196-6249	2196-6257	2014-03-15		1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6257		2196-6257		fulltext		De Gruyter	yearbook								P	JPPTJ23	current	2022-12-02
Zeitschrift für Antikes Christentum / Journal of Ancient Christianity	0949-9571	1612-961X	1997-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-961X		1612-961X		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Zeitschrift für die alttestamentliche Wissenschaft	0044-2526	1613-0103	1995-01-01	107	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0103		1613-0103		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Zeitschrift für die neutestamentliche Wissenschaft 	0044-2615	1613-009X	1995-01-01	86	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-009X		1613-009X		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Zeitschrift für Evangelische Ethik	0044-2674	2197-912X	1995-02-15	39	1				https://www.degruyter.com/openurl?genre=journal&issn=2197-912X		2197-912X		fulltext		Gütersloher Verlagshaus	serial								P	JPPTJ23	current	2022-12-02
Zeitschrift für Pädagogik und Theologie	1437-7160	2366-7796	1995-01-01	47	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-7796		2366-7796		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
Zeitschrift für Religionswissenschaft	0943-8610	2194-508X	1995-06-20	3	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-508X		2194-508X		fulltext		De Gruyter	serial								P	JPPTJ23	current	2022-12-02
