publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext		Verlag Dr. Otto Schmidt	serial								P	LBDG2023	current	2022-11-11
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
European Review of Contract Law	1614-9920	1614-9939	2005-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Journal of Biosecurity, Biosafety and Biodefense Law	2194-590X	2154-3186	2011-07-15		1				https://www.degruyter.com/openurl?genre=journal&issn=2154-3186		2154-3186		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Journal of European Tort Law	1868-9612	1868-9620	1998-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9620		1868-9620		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Journal of Tort Law	2194-6515	1932-9148	2006-12-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1932-9148		1932-9148		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Law & Ethics of Human Rights	2194-6531	1938-2545	2007-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1938-2545		1938-2545		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Law and Development Review	2194-6523	1943-3867	2008-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1943-3867		1943-3867		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Muslim World Journal of Human Rights	2194-6558	1554-4419	2004-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1554-4419		1554-4419		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Peace Economics, Peace Science and Public Policy	1079-2457	1554-8597	1995-01-01	3	1				https://www.degruyter.com/openurl?genre=journal&issn=1554-8597		1554-8597		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Review of Law & Economics	2194-6000	1555-5879	2005-04-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1555-5879		1555-5879		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Theoretical Inquiries in Law	1565-1509	1565-3404	2000-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1565-3404		1565-3404		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Germanistische Abteilung	0323-4045	2304-4861	1995-08-20	112	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4861		2304-4861		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Kanonistische Abteilung	0323-4142	2304-4896	1995-06-20	81	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4896		2304-4896		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Romanistische Abteilung	0323-4096	2304-4934	1995-08-20	112	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4934		2304-4934		fulltext		De Gruyter	serial								P	LBDG2023	current	2022-11-11
Zeitschrift für das Privatrecht der Europäischen Union	2364-7205	2364-7213	2003-10-24	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2364-7213		2364-7213		fulltext		Verlag Dr. Otto Schmidt	serial								P	LBDG2023	current	2022-11-11
