PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	PACKAGE_ID	STATUS	LAST_CHANGED
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2019-03-20	9	1	2019-12-10	9	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Asian Journal of Law and Economics	2194-6086	2154-4611	2019-04-20	10	1	2019-12-20	10	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2019-01-20	13	1	2019-07-31	13	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
The B.E. Journal of Economic Analysis & Policy	2194-6108	1935-1682	2019-01-20	19	1	2019-10-20	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1935-1682		1935-1682		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
The B.E. Journal of Macroeconomics	2194-6116	1935-1690	2019-01-01	19	1	2019-06-20	19	2	https://www.degruyter.com/openurl?genre=journal&issn=1935-1690		1935-1690		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
The B.E. Journal of Theoretical Economics	2194-6124	1935-1704	2019-01-15	19	1	2019-06-15	19	2	https://www.degruyter.com/openurl?genre=journal&issn=1935-1704		1935-1704		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Basic Income Studies	2194-6094	1932-0183	2019-06-30	14	1	2019-12-01	14	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2019-01-31	19	1	2019-10-30	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Chemical Product and Process Modeling	2194-6159	1934-2659	2019-03-30	14	1	2019-12-30	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Computer Law Review International	1610-7608	2194-4164	2019-02-15	20	1	2019-12-15	20	6	https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P	RN2019	current	2022-10-21
Energy Harvesting and Systems	2329-8774	2329-8766	2019-01-20	6	1-2	2019-07-20	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Stochastics and Quality Control 	2367-2390	2367-2404	2019-06-30	34	1	2019-12-30	34	2	https://www.degruyter.com/openurl?genre=journal&issn=2367-2404		2367-2404		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Entrepreneurship Research Journal	2194-6175	2157-5665	2019-01-20	9	1	2019-10-20	9	4	https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
The Economists’ Voice	2194-6167	1553-3832	2019-12-15	16	1	2019-12-15	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1553-3832		1553-3832		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Forum for Health Economics & Policy	2194-6191	1558-9544	2019-06-15	22	1	2019-12-15	22	2	https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
The Forum	2194-6183	1540-8884	2019-04-30	17	1	2019-12-30	17	4	https://www.degruyter.com/openurl?genre=journal&issn=1540-8884		1540-8884		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Global Jurist	2194-5675	1934-2640	2019-04-15	19	1	2019-10-15	19	3	https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Human Affairs	1210-3055	1337-401X	2019-03-30	29	1	2019-12-20	29	4	https://www.degruyter.com/openurl?genre=journal&issn=1337-401X		1337-401X		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
ICL Journal	2306-3734	1995-5855	2019-03-20	13	1	2019-12-20	13	4	https://www.degruyter.com/openurl?genre=journal&issn=1995-5855		1995-5855		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
i-com	1618-162X	2196-6826	2019-04-15	18	1	2019-12-15	18	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext	Online	Oldenbourg Wissenschaftsverlag	serial								P	RN2019	current	2022-10-21
The International Journal of Biostatistics	2194-573X	1557-4679	2019-05-30	15	1	2019-11-30	15	2	https://www.degruyter.com/openurl?genre=journal&issn=1557-4679		1557-4679		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2019-01-20	17	1	2019-12-20	17	12	https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2019-02-28	20	1	2019-12-16	20	6	https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
International Journal of Food Engineering	2194-5764	1556-3758	2019-02-20	15	1-2	2019-12-20	15	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
International Journal of Nursing Education Scholarship	2194-5772	1548-923X	2019-01-01	16	1	2019-01-01	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1548-923X		1548-923X		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Applied Analysis	1425-6908	1869-6082	2019-06-30	25	1	2019-12-30	25	2	https://www.degruyter.com/openurl?genre=journal&issn=1869-6082		1869-6082		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Agricultural & Food Industrial Organization	2194-5896	1542-0485	2019-05-20	17	1	2019-12-20	17	2	https://www.degruyter.com/openurl?genre=journal&issn=1542-0485		1542-0485		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Biosecurity, Biosafety and Biodefense Law	2194-590X	2154-3186	2019-06-15		10	2019-06-15		10	https://www.degruyter.com/openurl?genre=journal&issn=2154-3186		2154-3186		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Business Valuation and Economic Loss Analysis	2194-5861	1932-9156	2019-02-15	14	1	2019-02-15	14	1	https://www.degruyter.com/openurl?genre=journal&issn=1932-9156		1932-9156		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Causal Inference 	2193-3677	2193-3685	2019-03-30	7	1	2019-09-30	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-3685		2193-3685		fulltext	Online	De Gruyter	serial								F	RN2019	current	2022-10-21
Journal of Complementary and Integrative Medicine	2194-6329	1553-3840	2019-03-01	16	1	2019-12-15	16	4	https://www.degruyter.com/openurl?genre=journal&issn=1553-3840		1553-3840		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Drug Policy Analysis	2194-6337	1941-2851	2019-06-20	12	1	2019-06-20	12	1	https://www.degruyter.com/openurl?genre=journal&issn=1941-2851		1941-2851		fulltext	CEASED !	De Gruyter	serial								P	RN2019	retired	2022-10-21
Journal des Économistes et des Études Humaines	2194-5799	2153-1552	2019-06-20	25	1	2019-06-20	25	1	https://www.degruyter.com/openurl?genre=journal&issn=2153-1552		2153-1552		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Econometric Methods	2194-6345	2156-6674	2019-01-20	8	1	2019-01-20	8	1	https://www.degruyter.com/openurl?genre=journal&issn=2156-6674		2156-6674		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of European Tort Law	1868-9612	1868-9620	2019-04-20	10	1	2019-12-17	10	3	https://www.degruyter.com/openurl?genre=journal&issn=1868-9620		1868-9620		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Globalization and Development 	2194-6353	1948-1837	2019-06-30	10	1	2019-12-30	10	2	https://www.degruyter.com/openurl?genre=journal&issn=1948-1837		1948-1837		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Homeland Security and Emergency Management	2194-6361	1547-7355	2019-01-20	16	1	2019-10-20	16	3	https://www.degruyter.com/openurl?genre=journal&issn=1547-7355		1547-7355		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Imagery Research in Sport and Physical Activity	2194-637X	1932-0191	2019-12-20	14	1	2019-12-20	14	1	https://www.degruyter.com/openurl?genre=journal&issn=1932-0191		1932-0191		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Quantitative Analysis in Sports	2194-6388	1559-0410	2019-03-30	15	1	2019-12-30	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1559-0410		1559-0410		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Journal of Time Series Econometrics	2194-6507	1941-1928	2019-01-30	11	1	2019-07-30	11	2	https://www.degruyter.com/openurl?genre=journal&issn=1941-1928		1941-1928		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Law and Development Review	2194-6523	1943-3867	2019-01-20	12	1	2019-10-20	12	3	https://www.degruyter.com/openurl?genre=journal&issn=1943-3867		1943-3867		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Law & Ethics of Human Rights	2194-6531	1938-2545	2019-05-20	13	1	2019-11-20	13	2	https://www.degruyter.com/openurl?genre=journal&issn=1938-2545		1938-2545		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Man and the Economy	2196-9639	2196-9647	2019-06-15	6	1	2019-12-15	6	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-9647		2196-9647		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Multicultural Learning and Teaching	2194-654X	2161-2412	2019-03-20	14	1	2019-09-20	14	2	https://www.degruyter.com/openurl?genre=journal&issn=2161-2412		2161-2412		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Moral Philosophy and Politics	2194-5616	2194-5624	2019-04-15	6	1	2019-10-15	6	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-5624		2194-5624		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Muslim World Journal of Human Rights	2194-6558	1554-4419	2019-06-15	16	1	2019-06-15	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1554-4419		1554-4419		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
New Global Studies	2194-6566	1940-0004	2019-04-30	13	1	2019-12-30	13	3	https://www.degruyter.com/openurl?genre=journal&issn=1940-0004		1940-0004		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Peace Economics, Peace Science and Public Policy	1079-2457	1554-8597	2019-02-01	25	1	2019-12-20	25	4	https://www.degruyter.com/openurl?genre=journal&issn=1554-8597		1554-8597		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Review of Law & Economics	2194-6000	1555-5879	2019-03-20	15	1	2019-11-20	15	3	https://www.degruyter.com/openurl?genre=journal&issn=1555-5879		1555-5879		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Review of Middle East Economics and Finance	1475-3685	1475-3693	2019-04-20	15	1	2019-12-20	15	3	https://www.degruyter.com/openurl?genre=journal&issn=1475-3693		1475-3693		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Review of Marketing Science	2194-5985	1546-5616	2019-06-15	17	1	2019-06-15	17	1	https://www.degruyter.com/openurl?genre=journal&issn=1546-5616		1546-5616		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Statistical Applications in Genetics and Molecular Biology	2194-6302	1544-6115	2019-02-01	18	1	2019-12-15	18	6	https://www.degruyter.com/openurl?genre=journal&issn=1544-6115		1544-6115		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
Statistical Communications in Infectious Diseases	2194-6310	1948-4690	2019-12-31	11	1	2019-12-31	11	1	https://www.degruyter.com/openurl?genre=journal&issn=1948-4690		1948-4690		fulltext	Online	De Gruyter	serial								P	RN2019	current	2022-10-21
