publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								F	oaejournals	current	2022-11-11
Acrocephalus		2199-6067	2009-10-21	30	140				https://sciendo.com/journal/ACRO		2199-6067		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-24
Acta Biologica Marisiensis		2668-5124	2019-09-30	2	1				https://sciendo.com/journal/ABMJ		2668-5124		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Chemica Malaysia		2576-6732	2019-04-30	3	1				https://sciendo.com/journal/ACMY		2576-6732		fulltext		Sciendo	serial								F	oaejournals	current	2022-05-25
Acta Chimica Slovaca		1339-3065	2012-12-10	5	1				https://sciendo.com/journal/ACS		1339-3065		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Chirurgica Latviensis		2199-5737	2010-08-18	2009	9				https://sciendo.com/journal/CHILAT		2199-5737		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Educationis Generalis		2585-7444	2015-04-16	5	1				https://sciendo.com/journal/ATD		2585-7444		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Electrotechnica et Informatica		1338-3957	2021-12-20	21	1				https://sciendo.com/journal/AEI		1338-3957		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-06
Acta Environmentalica Universitatis Comenianae		1339-9802	2016-04-16	24	1				https://sciendo.com/journal/AEUC		1339-9802		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Facultatis Educationis Physicae Universitatis Comenianae		2585-8777	2015-04-16	55	1				https://sciendo.com/journal/AFEPUC		2585-8777		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Horticulturae et Regiotecturae		1338-5259	2013-04-16	16	1				https://sciendo.com/journal/AHR		1338-5259		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Marisiensis - Seria Medica		2668-7763	2013-03-17	59	1				https://sciendo.com/journal/AMMA		2668-7763		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-24
Acta Marisiensis. Philologia		2668-9596	2020-07-20	1	1				https://sciendo.com/journal/AMPH		2668-9596		fulltext		Sciendo	serial								F	oaejournals	current	2022-11-09
Acta Marisiensis. Seria Historia		2668-9715	2019-12-20	1	1				https://sciendo.com/journal/AMSH		2668-9715		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Marisiensis. Seria Oeconomica		2668-3989	2019-09-30	13	1				https://sciendo.com/journal/AMSO		2668-3989		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-17
Acta Marisiensis. Seria Technologica		2668-4217	2019-07-30	16	1				https://sciendo.com/journal/AMSET		2668-4217		fulltext		Sciendo	serial								F	oaejournals	current	2022-05-25
Acta Materialia Transylvanica		2601-8799	2018-12-30	1	1				https://sciendo.com/journal/AMT		2601-8799		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Mechanica et Automatica		2300-5319	2013-03-30	7	1				https://sciendo.com/journal/AMA		2300-5319		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-22
Acta Medica Bulgarica		2719-5384	2014-09-08	41	1				https://sciendo.com/journal/AMB		2719-5384		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Medica Martiniana		1338-4139	2011-06-03	11	1				https://sciendo.com/journal/ACM		1338-4139		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Medica Transilvanica		2285-7079	2019-06-30	24	1				https://sciendo.com/journal/AMTSB		2285-7079		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Musei Silesiae, Scientiae Naturales		2336-3207	2011-07-14	60	1				https://sciendo.com/journal/CSZMA		2336-3207		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Pharmaceutica		1846-9558	2007-02-28	57	1				https://sciendo.com/journal/ACPH		1846-9558		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Regionalia et Environmentalica		1336-9253	2013-09-08	10	1				https://sciendo.com/journal/AREE		1336-9253		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Scientiarum Polonorum Architectura		2544-1760	2020-04-20	19	1				https://sciendo.com/journal/ASPA		2544-1760		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-22
Acta Scientifica Naturalis		2603-347X	2015-12-15	3	1				https://sciendo.com/journal/ASN		2603-347X		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Stomatologica Marisiensis Journal		2601-6877	2019-12-20	2	1				https://sciendo.com/journal/ASMJ		2601-6877		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Technologica Agriculturae		1338-5267	2013-04-15	16	1				https://sciendo.com/journal/ATA		1338-5267		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-24
Acta Terrae Septemcastrensis		2392-6163	2019-12-31	19	1				https://sciendo.com/journal/ACTATR		2392-6163		fulltext		Sciendo	serial								F	oaejournals	current	2022-06-28
Acta Universitatis Cibiniensis. Series E: Food Technology		2344-150X	2013-04-16	17	1				https://sciendo.com/journal/AUCFT		2344-150X		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Cibiniensis. Technical Series		2668-6449	2014-01-03	64	1				https://sciendo.com/journal/AUCTS		2668-6449		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Agriculture and Environment		2068-2964	2013-12-15	5	1				https://sciendo.com/journal/AUSAE		2068-2964		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Alimentaria		2066-7744	2015-12-12	8	1				https://sciendo.com/journal/AUSAL		2066-7744		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Communicatio		2537-2793	2017-12-15	4	1				https://sciendo.com/journal/AUSCOM		2537-2793		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Economics and Business		2360-0047	2013-12-15	1	1				https://sciendo.com/journal/AUSEB		2360-0047		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Electrical and Mechanical Engineering		2066-8910	2017-12-15	8	1				https://sciendo.com/journal/AUSEME		2066-8910		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, European and Regional Studies		2068-7583	2015-04-16	13	1				https://sciendo.com/journal/AUSEUR		2068-7583		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Film and Media Studies		2066-7779	2013-09-08	12	1				https://sciendo.com/journal/AUSFM		2066-7779		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Informatica		2066-7760	2013-09-08	5	1				https://sciendo.com/journal/AUSI		2066-7760		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Mathematica		2066-7752	2013-09-08	5	1				https://sciendo.com/journal/AUSM		2066-7752		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Philologica		2068-2956	2013-09-08	4	1				https://sciendo.com/journal/AUSP		2068-2956		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Universitatis Sapientiae, Social Analysis		2248-0854	2017-12-15	7	1				https://sciendo.com/journal/AUSSOC		2248-0854		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Acta Veterinaria		1820-7448	2014-06-09	64	1				https://sciendo.com/journal/ACVE		1820-7448		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Addiction Genetics		2084-7688	2012-12-15	1	1	2016-12-15	5	1	https://www.degruyter.com/openurl?genre=journal&issn=2084-7688		2084-7688		fulltext		De Gruyter Open Access	serial								F	oaejournals	current	2022-08-18
Administory		2519-1187	2018-10-30	3	1				https://sciendo.com/journal/ADHI		2519-1187		fulltext		Sciendo	serial								F	oaejournals	current	2022-10-03
Administration		2449-9471	2015-04-15	63	1				https://sciendo.com/journal/ADMIN		2449-9471		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								F	oaejournals	current	2022-11-11
Advanced Research in Life Sciences		2543-8050	2017-12-15	1	1				https://sciendo.com/journal/ARLS		2543-8050		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
Advances in Laboratory Medicine / Avances en Medicina de Laboratorio 		2628-491X	2020-03-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2628-491X		2628-491X		fulltext		De Gruyter	serial								F	oaejournals	current	2022-11-11
Advances in Materials Science		2083-4799	2008-09-23	8	1				https://sciendo.com/journal/ADMS		2083-4799		fulltext		Sciendo	serial								F	oaejournals	current	2022-09-05
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012-03-15	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext		De Gruyter	serial								F	oaejournals	current	2022-11-11
Aging Care		2544-7289	2018-03-30	1	1				https://sciendo.com/journal/AGCA		2544-7289		fulltext		Sciendo	serial								F	oaejournals	current	2022-08-17
