file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_0003-9144_2022-01-11.txt	Archiv für Hygiene und Bakteriologie : Forschungsarbeiten aus Hygiene u. Mikrobiologie einschl. öffentl. Gesundheitspflege, Gewerbehygiene u. Sozialhygiene	LAHB-B	yes	no	no		1
degruyter_global_0005-6995_2022-01-11.txt	Abhandlungen der Bayerischen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Abteilung : Neue Folge	AAW NF-B	yes	no	no		10
degruyter_global_0066-5576_2022-01-11.txt	Approaches to Semiotics [AS]	APPS-B	yes	no	no		116
degruyter_global_0067-6071_2022-01-11.txt	Veröffentlichungen der Historischen Kommission zu Berlin	VHKB-B	yes	no	no		115
degruyter_global_0069-4290_2022-01-11.txt	Civilisations et Sociétés	CISO-B	yes	no	no		65
degruyter_global_0070-0347_2022-01-11.txt	Corpus Medicorum Graecorum	CMG-B	yes	no	no		21
degruyter_global_0070-0355_2022-01-11.txt	Corpus Medicorum Latinorum	CML-B	yes	no	no		6
degruyter_global_0070-4156_2022-01-11.txt	Bibliothek des Deutschen Historischen Instituts in Rom	BDHI-B	yes	no	no		23
degruyter_global_0070-4334_2022-01-11.txt	Deutsche Texte des Mittelalters	DTM-B	yes	no	no		1
degruyter_global_0071-2116_2022-01-11.txt	Etudes juives / École pratique des hautes études - Sorbonne. 6. section: Sciences économiques et sociales	EPHE EJ-B	yes	no	no		3
degruyter_global_0071-4402_2022-01-11.txt	FEBS symposium / Federation of European Biochemical Societies	FEBS-B	yes	no	no		1
degruyter_global_0072-9469_2022-01-11.txt	Mitteilungen aus dem Museum für Völkerkunde in Hamburg	MMVH-B	yes	no	no		6
degruyter_global_0073-1579_2022-01-11.txt	Hegel-Jahrbuch	HEGEL JB-B	yes	no	no		1
degruyter_global_0073-7208_2022-01-11.txt	Indices zur deutschen Literatur	IDL-B	yes	no	no		26
degruyter_global_0076-0129_2022-01-11.txt	Livre et sociétés: Études et mémoires pour servir à l'histoire de la civilisation du livre : Sec. 6, Sciences Economiques et Sociales	LSEMES-B	yes	no	no		2
degruyter_global_0077-7668_2022-01-11.txt	Neudrucke deutscher Literaturwerke. N. F.	NDLNF-B	yes	no	no		76
degruyter_global_0077-7676_2022-01-11.txt	Neudrucke deutscher Literaturwerke : Sonderreihe	NDLS-B	yes	no	no		1
degruyter_global_0077-801X_2022-01-11.txt	New Babylon : Studies in the Social Sciences	NBSSS-B	yes	no	no		38
degruyter_global_0078-9895_2022-01-11.txt	Publications de la Faculté des Lettres et Sciences Humaines de Paris-Sorbonne / Série Recherches	PPSSR-B	yes	no	no		1
degruyter_global_0080-0848_2022-01-11.txt	Religion and Reason : Theory in the Study of Religion	RR-B	yes	no	no		56
degruyter_global_0080-732X_2022-01-11.txt	Schriften der Schweizerischen Gesellschaft für Volkskunde	SSGV-B	yes	no	no		1
degruyter_global_0081-6469_2022-01-11.txt	Studia grammatica	STGR-B	yes	no	no		50
degruyter_global_0081-7236_2022-01-11.txt	Studien zur deutschen Literatur	STDL-B	yes	no	no		152
degruyter_global_0081-7244_2022-01-11.txt	Studien zur englischen Philologie. Neue Folge	STEPH-B	yes	no	no		37
degruyter_global_0082-3589_2022-01-11.txt	Texte und Untersuchungen zur Geschichte der altchristlichen Literatur	TU-B	yes	no	no		54
degruyter_global_0083-4564_2022-01-11.txt	Untersuchungen zur deutschen Literaturgeschichte	UDL-B	yes	no	no		121
degruyter_global_0084-5396_2022-01-11.txt	Beihefte zur Zeitschrift für romanische Philologie	BZRP-B	yes	no	no		447
degruyter_global_0085-6878_2022-01-11.txt	Studies in Medieval and Early Modern Culture	SMEMC-B	yes	no	no		9
degruyter_global_0167-4331_2022-01-11.txt	Studies in Generative Grammar [SGG]	SGG-B	yes	no	no		141
degruyter_global_0171-6441_2022-01-11.txt	Beihefte zur Zeitschrift für die neutestamentliche Wissenschaft	BZNW-B	yes	no	no		243
degruyter_global_0173-5047_2022-01-11.txt	ICA Handbooks Series	ICAHS-B	yes	no	no		3
degruyter_global_0174-4399_2022-01-11.txt	Medien in Forschung und Unterricht. Serie A	MFUA-B	yes	no	no		24
degruyter_global_0174-4402_2022-01-11.txt	Medien in Forschung und Unterricht. Serie B	MFUB-B	yes	no	no		3
degruyter_global_0174-4410_2022-01-11.txt	Studien und Texte zur Sozialgeschichte der Literatur	STSL-B	yes	no	no		130
degruyter_global_0174-4429_2022-01-11.txt	Texte und Textgeschichte : Würzburger Forschungen	TTG-B	yes	no	no		42
degruyter_global_0174-6200_2022-01-11.txt	Basistexte Personalwesen	BTPW-B	yes	no	no		4
degruyter_global_0175-3347_2022-01-11.txt	Exilforschung : Ein internationales Jahrbuch	EXF-B	yes	no	no		3
degruyter_global_0175-9264_2022-01-11.txt	Lexicographica. Series Maior : Supplementbände zum Internationalen Jahrbuch für Lexikographie	LEXSM-B	yes	no	no		149
degruyter_global_0175-9779_2022-01-11.txt	IASL-Sonderhefte	IASLS-B	yes	no	no		7
degruyter_global_0177-0659_2022-01-11.txt	Symposien der Ludwig-Erhard-Stiftung	SLES-B	yes	no	no		5
degruyter_global_0177-199X_2022-01-11.txt	Beihefte zur Iberoromania	BIBR-B	yes	no	no		14
degruyter_global_0178-1154_2022-01-11.txt	Winckelmannsprogramm der Archäologischen Gesellschaft zu Berlin	WPR-B	yes	no	no		7
degruyter_global_0178-7489_2022-01-11.txt	Mimesis : Romanische Literaturen der Welt	MIME-B	yes	no	no		86
degruyter_global_0178-7861_2022-01-11.txt	Forschung und Studium Anglistik	FSTA-B	yes	no	no		2
degruyter_global_0179-0900_2022-01-11.txt	Ausgaben deutscher Literatur des 15. bis 18. Jahrhunderts	ADL-B	yes	no	no		160
degruyter_global_0179-0986_2022-01-11.txt	De Gruyter Studies in Mathematics	GSTM-B	yes	no	no		96
degruyter_global_0179-3616_2022-01-11.txt	Quantitative Linguistics [QL]	QL-B	yes	no	no		11
degruyter_global_0179-8251_2022-01-11.txt	Trends in Linguistics. Documentation [TiLDOC]	TILDOC-B	yes	no	no		36
