PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bilingual Edition of Pesiqta Rabbati / Chapters 1-22	9783110417951	9783110418101							https://www.degruyter.com/openurl?genre=book&isbn=9783110418101		9783110418101		fulltext		De Gruyter	monograph	2018	2017	1		Ulmer			P	1013723395
A Mirror of Rabbinic Hermeneutics	9783110368376	9783110366419							https://www.degruyter.com/openurl?genre=book&isbn=9783110366419	Veltri	9783110366419		fulltext		De Gruyter	monograph	2015	2015						P	971096419
Abraham ibn Esras Kommentar zur Urgeschichte	9783110150681	9783110816051							https://www.degruyter.com/openurl?genre=book&isbn=9783110816051		9783110816051		fulltext		De Gruyter	monograph	1996	2014		Reprint 2014				P	979586223
Abraham ibn Esras Kommentare zu den Büchern Kohelet, Ester und Rut	9783110164527	9783110802252							https://www.degruyter.com/openurl?genre=book&isbn=9783110802252		9783110802252		fulltext		De Gruyter	monograph	1999	2014		Reprint 2014				P	891525127
Abraham ibn Esras langer Kommentar zum Buch Exodus	9783110164756	9783110803242							https://www.degruyter.com/openurl?genre=book&isbn=9783110803242		9783110803242		fulltext		De Gruyter	monograph	2000	2014		Reprint 2014				P	979584820
Death in Jewish Life	9783110338614	9783110339185							https://www.degruyter.com/openurl?genre=book&isbn=9783110339185		9783110339185		fulltext		De Gruyter	monograph	2014	2014			Reif			F	918972786
Dialogue as a Trans-disciplinary Concept	9783110379150	9783110402223							https://www.degruyter.com/openurl?genre=book&isbn=9783110402223		9783110402223		fulltext		De Gruyter	monograph	2015	2015			Mendes-Flohr			F	959801202
Die Entdeckung des Christentums in der Wissenschaft des Judentums	9783110246285	9783110246292							https://www.degruyter.com/openurl?genre=book&isbn=9783110246292		9783110246292		fulltext		De Gruyter	monograph	2010	2010			Hasselhoff			P	979761961
Die Konzeption des Messias bei Maimonides und die frühmittelalterliche islamische Philosophie	9783110206364	9783110212655							https://www.degruyter.com/openurl?genre=book&isbn=9783110212655	Albertini	9783110212655		fulltext		De Gruyter	monograph	2009	2009						P	992536590
Die Samaritaner und die Bibel / The Samaritans and the Bible	9783110294095	9783110294361							https://www.degruyter.com/openurl?genre=book&isbn=9783110294361		9783110294361		fulltext		De Gruyter	monograph	2012	2012			Frey			P	853263554
Egyptian Cultural Icons in Midrash	9783110223927	9783110223934							https://www.degruyter.com/openurl?genre=book&isbn=9783110223934	Ulmer	9783110223934		fulltext		De Gruyter	monograph	2009	2009						P	979749519
