PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
Arbeitsbeziehungen und Europäische Grundfreiheiten		9783866539723							https://www.degruyter.com/openurl?genre=book&isbn=9783866539723	Tscherner	9783866539723		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2012	2012						P	847594332
Franchising in European Contract Law		9783866537026							https://www.degruyter.com/openurl?genre=book&isbn=9783866537026	Bueno Diaz	9783866537026		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2008	2009						P	979884621
National Reports on the Transfer of Movables in Europe ; Austria, Estonia, Italy, Slovenia		9783866537019							https://www.degruyter.com/openurl?genre=book&isbn=9783866537019		9783866537019		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2008	2009	1		Faber			P	979884620
National Reports on the Transfer of Movables in Europe ; England and Wales, Ireland, Scotland, Cyprus		9783866537033							https://www.degruyter.com/openurl?genre=book&isbn=9783866537033		9783866537033		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2009	2009	2		Faber			P	979892167
National Reports on the Transfer of Movables in Europe ; France, Belgium, Bulgaria, Poland, Portugal		9783866539228							https://www.degruyter.com/openurl?genre=book&isbn=9783866539228		9783866539228		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2011	2011	4		Faber			P	979771165
National Reports on the Transfer of Movables in Europe ; Germany, Greece, Lithuania, Hungary		9783866539006							https://www.degruyter.com/openurl?genre=book&isbn=9783866539006		9783866539006		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2011	2011	3		Faber			P	979643689
National Reports on the Transfer of Movables in Europe ; Sweden, Norway and Denmark, Finland, Spain		9783866539099							https://www.degruyter.com/openurl?genre=book&isbn=9783866539099		9783866539099		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2010	2010	5		Faber			P	979892174
National Reports on the Transfer of Movables in Europe ; The Netherlands, Switzerland, Czech Republic, Slovakia, Malta, Latvia		9783866539235							https://www.degruyter.com/openurl?genre=book&isbn=9783866539235		9783866539235		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2010	2010	6		Faber			P	979771243
Rules for the Transfer of Movables		9783866537002							https://www.degruyter.com/openurl?genre=book&isbn=9783866537002	Faber	9783866537002		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2008	2009						P	979755099
Sachenrechtliche Erwerbsrechte		9783866536050							https://www.degruyter.com/openurl?genre=book&isbn=9783866536050	Rieländer	9783866536050		fulltext		Otto Schmidt/De Gruyter european law publishers	monograph	2014	2014						P	979956909
