PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A History of Marxian Economics, Volume I		9781400860524							https://www.degruyter.com/openurl?genre=book&isbn=9781400860524	King	9781400860524		fulltext		Princeton University Press	monograph	1989	2014		Course Book				P	984627208
A Muted Fury		9781400863570							https://www.degruyter.com/openurl?genre=book&isbn=9781400863570	Ross	9781400863570		fulltext		Princeton University Press	monograph	1994	2014		Course Book				P	999374441
Agrarian Radicalism in South India		9781400857845							https://www.degruyter.com/openurl?genre=book&isbn=9781400857845	Bouton	9781400857845		fulltext		Princeton University Press	monograph	1985	2014		Course Book				P	979750062
America, Germany, and the Future of Europe		9781400862870							https://www.degruyter.com/openurl?genre=book&isbn=9781400862870	Treverton	9781400862870		fulltext		Princeton University Press	monograph	1992	2014		Course Book				P	922698608
Analyzing Strategic Nuclear Policy		9781400862023							https://www.degruyter.com/openurl?genre=book&isbn=9781400862023	Glaser	9781400862023		fulltext		Princeton University Press	monograph	1990	2014		Course Book				P	922699605
Ancient Athenian Maritime Courts		9781400867813							https://www.degruyter.com/openurl?genre=book&isbn=9781400867813		9781400867813		fulltext		Princeton University Press	monograph	1973	2015			Cohen			P	999374478
Antitrust in Japan		9781400872053							https://www.degruyter.com/openurl?genre=book&isbn=9781400872053	Hadley	9781400872053		fulltext		Princeton University Press	monograph	1970	2015						P	979954572
Austria's Eastern Question, 1700-1790		9781400856695							https://www.degruyter.com/openurl?genre=book&isbn=9781400856695	Roider	9781400856695		fulltext		Princeton University Press	monograph	1982	2014		Course Book				P	979968658
Before Command		9781400863723							https://www.degruyter.com/openurl?genre=book&isbn=9781400863723	Gregory	9781400863723		fulltext		Princeton University Press	monograph	1994	2014		Course Book				P	922697694
Buddhism and the State in Sixteenth-Century Japan		9781400855971							https://www.degruyter.com/openurl?genre=book&isbn=9781400855971	McMullin	9781400855971		fulltext		Princeton University Press	monograph	1985	2014		Course Book				P	922704813
Bureaucrat and Intellectual in the Ottoman Empire		9781400854219							https://www.degruyter.com/openurl?genre=book&isbn=9781400854219	Fleischer	9781400854219		fulltext		Princeton University Press	monograph	1986	2014		Course Book				P	984686906
Capital and Exploitation		9781400854080							https://www.degruyter.com/openurl?genre=book&isbn=9781400854080	Weeks	9781400854080		fulltext		Princeton University Press	monograph	1982	2014		Course Book				P	922706827
Carl Schmitt		9781400853250							https://www.degruyter.com/openurl?genre=book&isbn=9781400853250	Bendersky	9781400853250		fulltext		Princeton University Press	monograph	1983	2014		Course Book				P	979727431
Catholic Bishops in American Politics		9781400862375							https://www.degruyter.com/openurl?genre=book&isbn=9781400862375	Byrnes	9781400862375		fulltext		Princeton University Press	monograph	1991	2014		Course Book				P	922698398
Challenge of Law Reform		9781400876914							https://www.degruyter.com/openurl?genre=book&isbn=9781400876914	Vanderbilt	9781400876914		fulltext		Princeton University Press	monograph	1955	2015						P	957504766
Change and Stability in Foreign Policy		9781400859726							https://www.degruyter.com/openurl?genre=book&isbn=9781400859726	Goldmann	9781400859726		fulltext		Princeton University Press	monograph	1988	2014		Course Book				P	979686473
Changing Course		9781400864829							https://www.degruyter.com/openurl?genre=book&isbn=9781400864829	Mendelson	9781400864829		fulltext		Princeton University Press	monograph	1998	2014		Course Book				P	999379396
Chinese Legal Tradition Under the Mongols		9781400867721							https://www.degruyter.com/openurl?genre=book&isbn=9781400867721	Ch'en	9781400867721		fulltext		Princeton University Press	monograph	1979	2015						P	979836118
Civil-Military Conflict in Imperial Russia, 1881-1914		9781400857722							https://www.degruyter.com/openurl?genre=book&isbn=9781400857722	Fuller	9781400857722		fulltext		Princeton University Press	monograph	1985	2014		Course Book				P	922704996
Classifying by Race		9781400864102							https://www.degruyter.com/openurl?genre=book&isbn=9781400864102		9781400864102		fulltext		Princeton University Press	monograph	1995	2014		Course Book	Peterson			P	979780653
Compensation Mechanisms for Job Risks		9781400860852							https://www.degruyter.com/openurl?genre=book&isbn=9781400860852	Viscusi	9781400860852		fulltext		Princeton University Press	monograph	1990	2014		Course Book				P	1004872000
Conflict Among Nations		9781400871186							https://www.degruyter.com/openurl?genre=book&isbn=9781400871186	Diesing	9781400871186		fulltext		Princeton University Press	monograph	1978	2015						P	979595534
Conscience and the Constitution		9781400863563							https://www.degruyter.com/openurl?genre=book&isbn=9781400863563	Richards	9781400863563		fulltext		Princeton University Press	monograph	1993	2014		Course Book				P	922698612
Constitutional Bricolage		9781400869107							https://www.degruyter.com/openurl?genre=book&isbn=9781400869107	Garvey	9781400869107		fulltext		Princeton University Press	monograph	1971	2015						P	979759604
Constitutional Dialogues		9781400859573							https://www.degruyter.com/openurl?genre=book&isbn=9781400859573	Fisher	9781400859573		fulltext		Princeton University Press	monograph	1988	2014		Course Book				P	979755787
Constitutional Environments and Economic Growth		9781400862832							https://www.degruyter.com/openurl?genre=book&isbn=9781400862832	Scully	9781400862832		fulltext		Princeton University Press	monograph	1992	2014		Course Book				P	922698679
Cooperation and Discord in U.S.-Soviet Arms Control		9781400862436							https://www.degruyter.com/openurl?genre=book&isbn=9781400862436	Weber	9781400862436		fulltext		Princeton University Press	monograph	1991	2014		Course Book				P	922698707
Coup Theories and Officers' Motives		9781400854127							https://www.degruyter.com/openurl?genre=book&isbn=9781400854127	Horowitz	9781400854127		fulltext		Princeton University Press	monograph	1981	2014		Course Book				P	922707767
Courts of Appeals in the Federal Judicial System		9781400855452							https://www.degruyter.com/openurl?genre=book&isbn=9781400855452	Howard	9781400855452		fulltext		Princeton University Press	monograph	1981	2014		Course Book				P	922708038
Crisis amid Plenty		9781400860548							https://www.degruyter.com/openurl?genre=book&isbn=9781400860548	Gustafson	9781400860548		fulltext		Princeton University Press	monograph	1989	2014		Course Book				P	922699337
Crosses on the Ballot		9781400857319							https://www.degruyter.com/openurl?genre=book&isbn=9781400857319	Wald	9781400857319		fulltext		Princeton University Press	monograph	1983	2014		Course Book				P	979578303
Deadly Paradigms		9781400860586							https://www.degruyter.com/openurl?genre=book&isbn=9781400860586	Shafer	9781400860586		fulltext		Princeton University Press	monograph	1988	2014		Course Book				P	922700561
Do New Leaders Make a Difference?		9781400853359							https://www.degruyter.com/openurl?genre=book&isbn=9781400853359	Bunce	9781400853359		fulltext		Princeton University Press	monograph	1981	2014		Course Book				P	922707991
Economic Justice in American Society		9781400863594							https://www.degruyter.com/openurl?genre=book&isbn=9781400863594	Kuenne	9781400863594		fulltext		Princeton University Press	monograph	1993	2014		Course Book				P	922698449
Education and Social Transition in the Third World		9781400860692							https://www.degruyter.com/openurl?genre=book&isbn=9781400860692	Samoff	9781400860692		fulltext		Princeton University Press	monograph	1990	2014		Course Book				P	979746500
Efficiency Wages		9781400862061							https://www.degruyter.com/openurl?genre=book&isbn=9781400862061	Weiss	9781400862061		fulltext		Princeton University Press	monograph	1991	2014		Course Book				P	922699092
Electoral Behavior in Unreformed England		9781400856428							https://www.degruyter.com/openurl?genre=book&isbn=9781400856428	Phillips	9781400856428		fulltext		Princeton University Press	monograph	1982	2014		Course Book				P	927511045
Equality and Education		9781400857821							https://www.degruyter.com/openurl?genre=book&isbn=9781400857821	Block	9781400857821		fulltext		Princeton University Press	monograph	1985	2014		Course Book				P	922704925
Fathers and Daughters in Roman Society		9781400855322							https://www.degruyter.com/openurl?genre=book&isbn=9781400855322	Hallett	9781400855322		fulltext		Princeton University Press	monograph	1984	2014		Course Book				P	922705212
