PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
After the Holocaust		9781644696804							https://www.degruyter.com/openurl?genre=book&isbn=9781644696804	Penkower	9781644696804		fulltext		Academic Studies Press	monograph	2021	2021						P	
Between East and West		9781644697146							https://www.degruyter.com/openurl?genre=book&isbn=9781644697146	Shaikhutdinov	9781644697146		fulltext		Academic Studies Press	monograph	2021	2021						P	
Between Religion and Reason (Part II)		9781644695715							https://www.degruyter.com/openurl?genre=book&isbn=9781644695715	Chamiel	9781644695715		fulltext		Academic Studies Press	monograph	2021	2021						P	
Bolesław Prus and the Jews		9781644695746							https://www.degruyter.com/openurl?genre=book&isbn=9781644695746	Friedrich	9781644695746		fulltext		Academic Studies Press	monograph	2021	2021						P	
Contested Russian Tourism		9781644694213							https://www.degruyter.com/openurl?genre=book&isbn=9781644694213	Layton	9781644694213		fulltext		Academic Studies Press	monograph	2021	2021						P	
Debar Śepatayim		9781644696187							https://www.degruyter.com/openurl?genre=book&isbn=9781644696187	Lekhno	9781644696187		fulltext		Academic Studies Press	monograph	2021	2021						P	
Embodied Differences		9781644694862							https://www.degruyter.com/openurl?genre=book&isbn=9781644694862	Mondry	9781644694862		fulltext		Academic Studies Press	monograph	2021	2021						P	
Forms of Exile in Jewish Literature and Thought		9781644694060							https://www.degruyter.com/openurl?genre=book&isbn=9781644694060		9781644694060		fulltext		Academic Studies Press	monograph	2021	2021						F	
Gente como Uno		9781644697436							https://www.degruyter.com/openurl?genre=book&isbn=9781644697436	Yalonetzky	9781644697436		fulltext		Academic Studies Press	monograph	2021	2021						P	
Goncharov in the Twenty-First Century		9781644696996							https://www.degruyter.com/openurl?genre=book&isbn=9781644696996		9781644696996		fulltext		Academic Studies Press	monograph	2021	2021			Kleespies			P	
If This Is a Woman		9781644697115							https://www.degruyter.com/openurl?genre=book&isbn=9781644697115		9781644697115		fulltext		Academic Studies Press	monograph	2021	2021			Klacsmann			P	
Israel		9781644696767							https://www.degruyter.com/openurl?genre=book&isbn=9781644696767	Penkower	9781644696767		fulltext		Academic Studies Press	monograph	2021	2021						P	
Israel's Failed Response to the Armenian Genocide		9781644695241							https://www.degruyter.com/openurl?genre=book&isbn=9781644695241	Charny	9781644695241		fulltext		Academic Studies Press	monograph	2021	2021						P	
Ivan the Terrible in Russian Historical Memory since 1991		9781644695883							https://www.degruyter.com/openurl?genre=book&isbn=9781644695883	Halperin	9781644695883		fulltext		Academic Studies Press	monograph	2021	2021						P	
Jewish Partisans of the Soviet Union during World War II		9781644694947							https://www.degruyter.com/openurl?genre=book&isbn=9781644694947		9781644694947		fulltext		Academic Studies Press	monograph	2021	2021			Porter			P	1250082612
Judaism and Human Geography		9781644695777							https://www.degruyter.com/openurl?genre=book&isbn=9781644695777	Katz	9781644695777		fulltext		Academic Studies Press	monograph	2021	2021						P	1253313190
Küchlya		9781644696866							https://www.degruyter.com/openurl?genre=book&isbn=9781644696866	Tynianov	9781644696866		fulltext		Academic Studies Press	monograph	2021	2021						P	
Moments of Happiness		9781644694985							https://www.degruyter.com/openurl?genre=book&isbn=9781644694985	Dubas	9781644694985		fulltext		Academic Studies Press	monograph	2021	2021						P	
Moses and Abraham Maimonides		9781644695852							https://www.degruyter.com/openurl?genre=book&isbn=9781644695852	Lobel	9781644695852		fulltext		Academic Studies Press	monograph	2021	2021						P	
Not in Kansas Anymore		9781636250502							https://www.degruyter.com/openurl?genre=book&isbn=9781636250502		9781636250502		fulltext		Academic Studies Press	monograph	2021	2021						P	1248759389
On Counter-Enlightenment, Existential Irony, and Sanctification		9781644697474							https://www.degruyter.com/openurl?genre=book&isbn=9781644697474	Matras	9781644697474		fulltext		Academic Studies Press	monograph	2021	2021						P	
Polish Jews in the Soviet Union (1939–1959)		9781644697504							https://www.degruyter.com/openurl?genre=book&isbn=9781644697504		9781644697504		fulltext		Academic Studies Press	monograph	2021	2021			Friedla			P	
Revealing Watermarks		9781644696255							https://www.degruyter.com/openurl?genre=book&isbn=9781644696255	Christie-Miller	9781644696255		fulltext		Academic Studies Press	monograph	2021	2021						P	
Russian TV Series in the Era of Transition		9781644696453							https://www.degruyter.com/openurl?genre=book&isbn=9781644696453		9781644696453		fulltext		Academic Studies Press	monograph	2021	2021			Prokhorova			P	
Self-Portrait, with Parents and Footnotes		9781644696224							https://www.degruyter.com/openurl?genre=book&isbn=9781644696224	Aronowicz	9781644696224		fulltext		Academic Studies Press	monograph	2021	2021						P	
Sephardi		9781644695326							https://www.degruyter.com/openurl?genre=book&isbn=9781644695326	Piñer	9781644695326		fulltext		Academic Studies Press	monograph	2021	2021						P	
Sleep, Death, and Rebirth		9781644696293							https://www.degruyter.com/openurl?genre=book&isbn=9781644696293	Ish-Shalom	9781644696293		fulltext		Academic Studies Press	monograph	2021	2021						P	
The Hand at Work		9781644697085							https://www.degruyter.com/openurl?genre=book&isbn=9781644697085	Strätling	9781644697085		fulltext		Academic Studies Press	monograph	2021	2021						P	
The Jewish Metropolis		9781644694909							https://www.degruyter.com/openurl?genre=book&isbn=9781644694909		9781644694909		fulltext		Academic Studies Press	monograph	2021	2021			Soyer			P	1248759138
The Jews in Medieval Egypt		9781618117489							https://www.degruyter.com/openurl?genre=book&isbn=9781618117489		9781618117489		fulltext		Academic Studies Press	monograph	2021	2021			Frenkel			P	1243311394
The Last Generation of Jews in Poland		9781644695999							https://www.degruyter.com/openurl?genre=book&isbn=9781644695999	Shmueli	9781644695999		fulltext		Academic Studies Press	monograph	2021	2021						P	
"The Nose"		9781644695210							https://www.degruyter.com/openurl?genre=book&isbn=9781644695210		9781644695210		fulltext		Academic Studies Press	monograph	2021	2021			Blank			P	1204268131
The Parallel Universes of David Shrayer-Petrov		9781644695289							https://www.degruyter.com/openurl?genre=book&isbn=9781644695289		9781644695289		fulltext		Academic Studies Press	monograph	2021	2021			Katsman			P	
The Rhetorical Rise and Demise of “Democracy” in Russian Political Discourse		9781644697337							https://www.degruyter.com/openurl?genre=book&isbn=9781644697337	Williams	9781644697337		fulltext		Academic Studies Press	monograph	2021	2021						P	
The Unique Family Law in the State of Israel		9781644695418							https://www.degruyter.com/openurl?genre=book&isbn=9781644695418	Cohen	9781644695418		fulltext		Academic Studies Press	monograph	2021	2021						P	
The Voice of Silence		9781644695920							https://www.degruyter.com/openurl?genre=book&isbn=9781644695920	Kholmyansky	9781644695920		fulltext		Academic Studies Press	monograph	2021	2021						P	
