PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								F
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2				https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P
Analyse & Kritik	0171-5860	2365-9858	1995-05-20	17	1				https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P
Analysis	0174-4747	2196-6753	1995-03-15	15	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Analysis of Current Trends in Antisemitism - ACTA		2568-9347	2018-03-20	39	1				https://www.degruyter.com/openurl?genre=journal&issn=2568-9347		2568-9347		fulltext		De Gruyter Oldenbourg	serial								F
Angermion 	1438-2091	1868-9426	2010-11-19	3	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P
Anglia	0340-5222	1865-8938	1995-01-01	113	1				https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P
Apeiron	0003-6390	2156-7093	1995-03-01	28	März				https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P
arcadia	0003-7982	1613-0642	1995-01-01	30	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P
Architectura	0044-863X	2569-1554	2016-05-20	46	1				https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext		De Gruyter	serial								P
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1				https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1995-01-01	380	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1995-01-01	40	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P
Botanica Marina	0006-8055	1437-4323	1995-01-01	38	Jan				https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								F
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P
Chemistry International	0193-6484	1365-2192	1997-06-20	19	4				https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext		De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1				https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1				https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1				https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1995-01-01	33	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1995-03-10	6	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P
Cognitive Semiotics	1662-1425	2235-2066	2007-09-10	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2235-2066		2235-2066		fulltext		De Gruyter Mouton	serial								P
Communications	0341-2059	1613-4087	1995-01-01	20	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext		Verlag Dr. Otto Schmidt	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P
Corrosion Reviews	0334-6005	2191-0316	1995-03-01	13	1				https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P
Diagnosis	2194-8011	2194-802X	2014-01-31	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-802X		2194-802X		fulltext		De Gruyter	serial								P
Dialectologia et Geolinguistica	0942-4040	1867-0903	1995-01-01	1995	Jan				https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P
Digital Culture & Society	2364-2114	2364-2122	2015-09-30	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2364-2122		2364-2122		fulltext		transcript Verlag	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1995-01-01	5	1				https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1995-03-01	12	März				https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P
Elenchos	0392-7342	2037-7177	2005-08-20	26	1				https://www.degruyter.com/openurl?genre=journal&issn=2037-7177		2037-7177		fulltext		De Gruyter	serial								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								F
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext		De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P
Etruscan and Italic Studies	2566-9095	2566-9109	1995-06-20		2				https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010				https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P
European Review of Contract Law	1614-9920	1614-9939	2005-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009				https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P
Evolutionary Studies in Imaginative Culture		2472-9876	2020-05-20	4	1				https://www.degruyter.com/openurl?genre=journal&issn=2472-9876		2472-9876		fulltext		Academic Studies Press	serial								P
Folia Linguistica	0165-4004	1614-7308	1995-01-01	29	1/2				https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1995-01-01	7	1				https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P
