PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
κηληθμῷ δ᾽ ἔσχοντο / Raccolta di scritti e inediti ; κηληθμῷ δ᾽ ἔσχοντο Scritti editi e inediti	9783110644906	9783110648126							https://www.degruyter.com/openurl?genre=book&isbn=9783110648126	Rossi	9783110648126		fulltext		De Gruyter	monograph	2020	2020	2					P	1198930373
κηληθμῷ δ᾽ ἔσχοντο / Raccolta di scritti e inediti ; κηληθμῷ δ᾽ ἔσχοντο Scritti editi e inediti	9783110644869	9783110647983							https://www.degruyter.com/openurl?genre=book&isbn=9783110647983	Rossi	9783110647983		fulltext		De Gruyter	monograph	2020	2020	1					P	1197564953
κηληθμῷ δ᾽ ἔσχοντο / Raccolta di scritti e inediti ; κηληθμῷ δ᾽ ἔσχοντο Scritti editi e inediti	9783110644913	9783110648140							https://www.degruyter.com/openurl?genre=book&isbn=9783110648140	Rossi	9783110648140		fulltext		De Gruyter	monograph	2020	2020	3					P	1198929295
"... vor dem Papyrus sind alle gleich!"	9783110206456	9783110210002							https://www.degruyter.com/openurl?genre=book&isbn=9783110210002		9783110210002		fulltext		De Gruyter	monograph	2009	2009			Eberhard			P	840443305
A Commentary on Euripides' Iphigenia in Tauris	9783110190991	9783110926606							https://www.degruyter.com/openurl?genre=book&isbn=9783110926606	Kyriakou	9783110926606		fulltext		De Gruyter	monograph	2006	2012						P	948656289
A Commentary on Lucan, "De bello civili" IV	9783110203851	9783110216516							https://www.degruyter.com/openurl?genre=book&isbn=9783110216516	Asso	9783110216516		fulltext		De Gruyter	monograph	2010	2010						P	775644190
A Commentary on Pindar, Nemean Nine	9783110161243	9783110803471							https://www.degruyter.com/openurl?genre=book&isbn=9783110803471	Braswell	9783110803471		fulltext		De Gruyter	monograph	1998	2020		1998				P	1198929119
A Comparison of Ancient Near Eastern Law Collections Prior to the First Millennium BC		9781463215385							https://www.degruyter.com/openurl?genre=book&isbn=9781463215385	Jackson	9781463215385		fulltext		Gorgias Press	monograph	2013	2013						P	1100461098
A Comparison of Eskimo and Palaeolithic Art		9781463221126							https://www.degruyter.com/openurl?genre=book&isbn=9781463221126	deLaguna	9781463221126		fulltext		Gorgias Press	monograph	2009	2009						P	1129199984
A Different God?	9783110222340	9783110222357							https://www.degruyter.com/openurl?genre=book&isbn=9783110222357		9783110222357		fulltext		De Gruyter	monograph	2012	2011			Schlesier			P	881293117
