PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliography of Canadian Imprints, 1751-1800		9781442670266							https://www.degruyter.com/openurl?genre=book&isbn=9781442670266	Tremaine	9781442670266		fulltext		University of Toronto Press	monograph	1999	2016						P	999378610
A Bibliography of James T. Farrell's Writings, 1921-1957		9781512800661							https://www.degruyter.com/openurl?genre=book&isbn=9781512800661	Branch	9781512800661		fulltext		University of Pennsylvania Press	monograph	1959	1959						P	1054880055
A Bibliography of the Prairie Provinces to 1953 with Biographical Index (2e)		9781487578374							https://www.degruyter.com/openurl?genre=book&isbn=9781487578374		9781487578374		fulltext		University of Toronto Press	monograph	1973	2019						P	1129149886
A Bibliography of the Writings of Jonathan Swift		9781512807660							https://www.degruyter.com/openurl?genre=book&isbn=9781512807660		9781512807660		fulltext		University of Pennsylvania Press	monograph	1963	2016		Reprint 2016	Scouten			P	980263051
A Bibliography of Thomas Gray, 1917-1951		9781512818871							https://www.degruyter.com/openurl?genre=book&isbn=9781512818871	Starr	9781512818871		fulltext		University of Pennsylvania Press	monograph	1953	2017		Reprint 2016				P	979625235
A Catalogue of Articles on Syriac Subjects in the Arabic Periodicals, Vol. 2		9781463219307							https://www.degruyter.com/openurl?genre=book&isbn=9781463219307	Awwad	9781463219307		fulltext		Gorgias Press	monograph	2011	2011						P	1110712517
A Catalogue of Articles on Syriac Subjects in the Arabic Periodicals, Vol.1		9781463219291							https://www.degruyter.com/openurl?genre=book&isbn=9781463219291	Awwad	9781463219291		fulltext		Gorgias Press	monograph	2009	2009						P	1110713880
A Century in Books		9780691238173							https://www.degruyter.com/openurl?genre=book&isbn=9780691238173	Princeton University Press Staff	9780691238173		fulltext		Princeton University Press	monograph	2005	2022						P	
A Checklist of Canadian Literature and Background Materials 1628–1960		9781487584733							https://www.degruyter.com/openurl?genre=book&isbn=9781487584733	Eyre Watters	9781487584733		fulltext		University of Toronto Press	monograph	1959	2019						P	1129178913
A Dictionary of the Targumim		9781463232344							https://www.degruyter.com/openurl?genre=book&isbn=9781463232344		9781463232344		fulltext		Gorgias Press	monograph	2012	2012						P	1110709106
A Dictionary of the Technical Terms used in the Sciences of the Musalmans		9781463229191							https://www.degruyter.com/openurl?genre=book&isbn=9781463229191	Tahanawi	9781463229191		fulltext		Gorgias Press	monograph	2010	2010						P	1110718030
A Dictionary of the Technical Terms used in the Sciences of the Musalmans		9781463229184							https://www.degruyter.com/openurl?genre=book&isbn=9781463229184	Tahanawi	9781463229184		fulltext		Gorgias Press	monograph	2010	2010						P	1110715571
A Greek and Syriac Index to Sergius of Reshaina’s Version of the De Mundo		9781463219901							https://www.degruyter.com/openurl?genre=book&isbn=9781463219901	McCollum	9781463219901		fulltext		Gorgias Press	monograph	2009	2009						P	704519530
A Guide to Developing Braille and Talking Book Services	9783111274188	9783111658520							https://www.degruyter.com/openurl?genre=book&isbn=9783111658520		9783111658520		fulltext		De Gruyter Saur	monograph	1984	2013		Reprint 2013	Clark			P	853244389
