PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A babble of ancestral voices	9783111030258	9783111392752							https://www.degruyter.com/openurl?genre=book&isbn=9783111392752	Frazier	9783111392752		fulltext		De Gruyter Mouton	monograph	1974	2015		Reprint 2015				P	979970818
A Beggar's Art		9780824860745							https://www.degruyter.com/openurl?genre=book&isbn=9780824860745	Poulton	9780824860745		fulltext		University of Hawaii Press	monograph	2010	2010						P	671812359
A Bibliographical Catalogue of Seventeenth-Century German Books Published in Holland	9789027917065	9783110877649							https://www.degruyter.com/openurl?genre=book&isbn=9783110877649	Bruckner	9783110877649		fulltext		De Gruyter Mouton	monograph	1971	2018		Reprint 2018				P	1078911513
A Bibliography of John Greenleaf Whittier	9780674187214	9780674491816							https://www.degruyter.com/openurl?genre=book&isbn=9780674491816	Currier	9780674491816		fulltext		Harvard University Press	monograph	1937	2013		Reprint 2014				P	900852922
A Bibliography of Robertson Davies		9781442698369							https://www.degruyter.com/openurl?genre=book&isbn=9781442698369	Spadoni	9781442698369		fulltext		University of Toronto Press	monograph	2014	2016						P	979968891
A Bibliography of the Writings of George Lyman Kittredge	9780674431973	9780674434233							https://www.degruyter.com/openurl?genre=book&isbn=9780674434233		9780674434233		fulltext		Harvard University Press	monograph	1948	2013		Reprint 2014				P	900850664
A Book I Value		9781400825622							https://www.degruyter.com/openurl?genre=book&isbn=9781400825622	Coleridge	9781400825622		fulltext		Princeton University Press	monograph	2003	2021						P	
A Canadian Bankclerk		9781442632752							https://www.degruyter.com/openurl?genre=book&isbn=9781442632752	Buschlen	9781442632752		fulltext		University of Toronto Press	monograph	1973	2016						P	999365969
A Certain Ambiguity		9781400834778							https://www.degruyter.com/openurl?genre=book&isbn=9781400834778	Bal	9781400834778		fulltext		Princeton University Press	monograph	2010	2010		With a New foreword by Keith Devlin				P	979579034
A Check List of English Prose Fiction, 1700–1739	9780674429697	9780674429666							https://www.degruyter.com/openurl?genre=book&isbn=9780674429666		9780674429666		fulltext		Harvard University Press	monograph	1960	2013		Reprint 2014				P	900847039
A Classical Storybook		9781501741289							https://www.degruyter.com/openurl?genre=book&isbn=9781501741289		9781501741289		fulltext		Cornell University Press	monograph	1970	2019			Bishop			P	1121057243
A Common Strangeness		9780823242627							https://www.degruyter.com/openurl?genre=book&isbn=9780823242627	Edmond	9780823242627		fulltext		Fordham University Press	monograph	2012	2012						P	808366947
A Companion to Medieval Translation		9781641891844							https://www.degruyter.com/openurl?genre=book&isbn=9781641891844		9781641891844		fulltext		ARC, Amsterdam University Press	monograph	2019	2019			Beer			P	1135614167
A Comparative Study of Old English Metre		9781442673175							https://www.degruyter.com/openurl?genre=book&isbn=9781442673175	Whitman	9781442673175		fulltext		University of Toronto Press	monograph	1993	2016						P	999354582
A Concise Grammar of the Older Runic Inscriptions	9783484600522	9783111411583							https://www.degruyter.com/openurl?genre=book&isbn=9783111411583	Antonsen	9783111411583		fulltext		De Gruyter	monograph	1975	2010		Reprint 2010				P	979765138
A Concordance to the <i>Divine Comedy</i> of Dante Alighieri	9780674864177	9780674864184							https://www.degruyter.com/openurl?genre=book&isbn=9780674864184		9780674864184		fulltext		Harvard University Press	monograph	1965	2013		2nd printing 1966. Reprint 2014	Wilkins			P	900846275
A Concordance to the Poems of Emily Dickinson		9781501743139							https://www.degruyter.com/openurl?genre=book&isbn=9781501743139		9781501743139		fulltext		Cornell University Press	monograph	1964	2019			Rosenbaum			P	1110714641
A Concordance to the Poems of W.B. Yeats		9781501742897							https://www.degruyter.com/openurl?genre=book&isbn=9781501742897		9781501742897		fulltext		Cornell University Press	monograph	1963	2019			Parrish			P	1114811645
A Congreve Gallery	9780674332669	9780674332676							https://www.degruyter.com/openurl?genre=book&isbn=9780674332676	Lynch	9780674332676		fulltext		Harvard University Press	monograph	1951	2013		Reprint 2014				P	900849828
A Cosmography of Man	9783110611137	9783110613674							https://www.degruyter.com/openurl?genre=book&isbn=9783110613674	Schön	9783110613674		fulltext		De Gruyter	monograph	2020	2020						P	1138537249
A Couple of Soles		9780231550369							https://www.degruyter.com/openurl?genre=book&isbn=9780231550369		9780231550369		fulltext		Columbia University Press	monograph	2020	2019						P	1135589859
A Critical Study of William Drummond of Hawthornden	9780231900645	9780231876872							https://www.degruyter.com/openurl?genre=book&isbn=9780231876872	Fogle	9780231876872		fulltext		Columbia University Press	monograph	1952	1952						P	1100429965
A Critique of Paradise Lost	9780231900669	9780231876889							https://www.degruyter.com/openurl?genre=book&isbn=9780231876889	Peter	9780231876889		fulltext		Columbia University Press	monograph	1960	1960						P	1100447117
A Dictionary of American Proverbs and Proverbial Phrases, 1820–1880	9780674335868	9780674335875							https://www.degruyter.com/openurl?genre=book&isbn=9780674335875	Whiting	9780674335875		fulltext		Harvard University Press	monograph	1958	2013		2nd printing 1967. Reprint 2014				P	900847665
A Dictionary of Puns in Milton’S English Poetry	9780231908504	9780231880800							https://www.degruyter.com/openurl?genre=book&isbn=9780231880800	Le Comte	9780231880800		fulltext		Columbia University Press	monograph	1981	1981						P	1100429511
"a dirty hand"		9780292759176							https://www.degruyter.com/openurl?genre=book&isbn=9780292759176		9780292759176		fulltext		University of Texas Press	monograph	1969	2021						P	
A Disimprisoned Epic		9781512802597							https://www.degruyter.com/openurl?genre=book&isbn=9781512802597	Cumming	9781512802597		fulltext		University of Pennsylvania Press	monograph	1989	1988						P	1033660781
A Distant and Beautiful Place		9780824861230							https://www.degruyter.com/openurl?genre=book&isbn=9780824861230		9780824861230		fulltext		University of Hawaii Press	monograph	2002	2002						P	1024024372
