PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Cabinet of Medical Curiosities		9781501733451							https://www.degruyter.com/openurl?genre=book&isbn=9781501733451	Bondeson	9781501733451		fulltext		Cornell University Press	monograph	1997	2019						P	1121052441
A Catalogue of the Manuscripts and Archives of the Library of the College of Physicians of Philadelphia		9781512802481							https://www.degruyter.com/openurl?genre=book&isbn=9781512802481		9781512802481		fulltext		University of Pennsylvania Press	monograph	1983	2016		Reprint 2016	Hirsch			P	980283895
A Century of Challenge		9781487595715							https://www.degruyter.com/openurl?genre=book&isbn=9781487595715	Gattinger	9781487595715		fulltext		University of Toronto Press	monograph	1962	2019						P	1030101295
A Clinician's Guide to Progressive Supranuclear Palsy		9780813565989							https://www.degruyter.com/openurl?genre=book&isbn=9780813565989	Golbe	9780813565989		fulltext		Rutgers University Press	monograph	2019	2018						P	1085582166
A Colour Atlas of Anterior Resection of the Rectum	9783112418178	9783112418185							https://www.degruyter.com/openurl?genre=book&isbn=9783112418185	Lockhart-Mummery	9783112418185		fulltext		De Gruyter	monograph	1984	2021		Reprint 2021				P	1243312202
A Colour Atlas of Boari Bladder-Flap Procedure	9783112417737	9783112417744							https://www.degruyter.com/openurl?genre=book&isbn=9783112417744	Gow	9783112417744		fulltext		De Gruyter	monograph	1983	2021		Reprint 2021				P	1243312134
A Colour Atlas of Lumbar Discography	9783112417713	9783112417720							https://www.degruyter.com/openurl?genre=book&isbn=9783112417720	Graham	9783112417720		fulltext		De Gruyter	monograph	1984	2021		Reprint 2021				P	1243310489
A Colour Atlas of Parotidectomy	9783112417775	9783112417782							https://www.degruyter.com/openurl?genre=book&isbn=9783112417782	Hobsley	9783112417782		fulltext		De Gruyter	monograph	1983	2021		Reprint 2021				P	1243310777
A Colour Atlas of Renal Transplantation	9783112417270	9783112417287							https://www.degruyter.com/openurl?genre=book&isbn=9783112417287	Calne	9783112417287		fulltext		De Gruyter	monograph	1984	2021		Reprint 2021				P	1243311639
A Colour Atlas of Seromyotomy for Chronic Duodenal Ulcer	9783112419595	9783112419601							https://www.degruyter.com/openurl?genre=book&isbn=9783112419601	Taylor	9783112419601		fulltext		De Gruyter	monograph	1984	2021		Reprint 2021				P	1243311440
