PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Black Intellectual's Odyssey		9781478021513							https://www.degruyter.com/openurl?genre=book&isbn=9781478021513		9781478021513		fulltext		Duke University Press	monograph	2021	2021						P	
A Body Worth Defending		9780822391111							https://www.degruyter.com/openurl?genre=book&isbn=9780822391111	Cohen	9780822391111		fulltext		Duke University Press	monograph	2009	2009						P	462914565
A British Enterprise in Brazil		9780822382331							https://www.degruyter.com/openurl?genre=book&isbn=9780822382331	Eakin	9780822382331		fulltext		Duke University Press	monograph	1990	2013						P	1202625756
A Century of Revolution		9780822392859							https://www.degruyter.com/openurl?genre=book&isbn=9780822392859		9780822392859		fulltext		Duke University Press	monograph	2010	2010			Joseph			P	1144893776
A Century of Violence in a Red City		9780822374701							https://www.degruyter.com/openurl?genre=book&isbn=9780822374701	Gill	9780822374701		fulltext		Duke University Press	monograph	2016	2016						P	1170412335
A Chancellor's Tale		9780822373933							https://www.degruyter.com/openurl?genre=book&isbn=9780822373933	Snyderman	9780822373933		fulltext		Duke University Press	monograph	2016	2016						P	971073990
A City on a Lake		9780822372097							https://www.degruyter.com/openurl?genre=book&isbn=9780822372097	Vitz	9780822372097		fulltext		Duke University Press	monograph	2018	2018						P	1048099645
A Coincidence of Desires		9780822389538							https://www.degruyter.com/openurl?genre=book&isbn=9780822389538	Boellstorff	9780822389538		fulltext		Duke University Press	monograph	2007	2007						P	1055307561
A Colonial Lexicon		9780822381365							https://www.degruyter.com/openurl?genre=book&isbn=9780822381365	Hunt	9780822381365		fulltext		Duke University Press	monograph	1999	1999						P	1058561519
A Culture of Stone		9780822393177							https://www.degruyter.com/openurl?genre=book&isbn=9780822393177	Dean	9780822393177		fulltext		Duke University Press	monograph	2010	2010						P	1170481681
A Date Which Will Live		9780822387459							https://www.degruyter.com/openurl?genre=book&isbn=9780822387459		9780822387459		fulltext		Duke University Press	monograph	2005	2003			Joseph			P	1157924052
A Decade of Negative Thinking		9780822391418							https://www.degruyter.com/openurl?genre=book&isbn=9780822391418	Schor	9780822391418		fulltext		Duke University Press	monograph	2009	2010						P	
A Deleuzian Century?		9780822395973							https://www.degruyter.com/openurl?genre=book&isbn=9780822395973		9780822395973		fulltext		Duke University Press	monograph	1999	1999			Buchanan			P	1125507436
A Democratic Enlightenment		9781478009054							https://www.degruyter.com/openurl?genre=book&isbn=9781478009054	Schoolman	9781478009054		fulltext		Duke University Press	monograph	2020	2020						P	1120783651
A Different Light		9780822394372							https://www.degruyter.com/openurl?genre=book&isbn=9780822394372	Nair	9780822394372		fulltext		Duke University Press	monograph	2012	2012						P	1202625421
A Discontented Diaspora		9780822390480							https://www.degruyter.com/openurl?genre=book&isbn=9780822390480	Lesser	9780822390480		fulltext		Duke University Press	monograph	2007	2007						P	1224278109
A Feminist Reader in Early Cinema		9780822383840							https://www.degruyter.com/openurl?genre=book&isbn=9780822383840		9780822383840		fulltext		Duke University Press	monograph	2002	2002			Bean			P	1229161442
A Fictional Commons		9781478021926							https://www.degruyter.com/openurl?genre=book&isbn=9781478021926	Bourdaghs	9781478021926		fulltext		Duke University Press	monograph	2021	2021						P	
A Flock Divided		9780822392491							https://www.degruyter.com/openurl?genre=book&isbn=9780822392491	O'Hara	9780822392491		fulltext		Duke University Press	monograph	2010	2009						P	1058489597
A Foreign Policy in Transition		9780822383017							https://www.degruyter.com/openurl?genre=book&isbn=9780822383017	Adams	9780822383017		fulltext		Duke University Press	monograph	1992	1992						P	1058754953
A Foreigner Carrying in the Crook of His Arm a Tiny Bomb		9780822391357							https://www.degruyter.com/openurl?genre=book&isbn=9780822391357	Kumar	9780822391357		fulltext		Duke University Press	monograph	2010	2010						P	1157987812
A Forgetful Nation		9780822387039							https://www.degruyter.com/openurl?genre=book&isbn=9780822387039	Behdad	9780822387039		fulltext		Duke University Press	monograph	2005	2005						P	1055289859
A Jewish Family in Germany Today		9780822385929							https://www.degruyter.com/openurl?genre=book&isbn=9780822385929	Bodemann	9780822385929		fulltext		Duke University Press	monograph	2005	2004						P	1059024503
A Language of Song		9780822392071							https://www.degruyter.com/openurl?genre=book&isbn=9780822392071	Charters	9780822392071		fulltext		Duke University Press	monograph	2009	2009						P	320539529
A Mass Conspiracy to Feed People		9781478021711							https://www.degruyter.com/openurl?genre=book&isbn=9781478021711	Giles	9781478021711		fulltext		Duke University Press	monograph	2021	2021						P	
A Master on the Periphery of Capitalism		9780822380801							https://www.degruyter.com/openurl?genre=book&isbn=9780822380801	Schwarz	9780822380801		fulltext		Duke University Press	monograph	2001	2001						P	1226678923
A Matter of Rats		9780822376453							https://www.degruyter.com/openurl?genre=book&isbn=9780822376453	Kumar	9780822376453		fulltext		Duke University Press	monograph	2014	2014						P	870194372
A Mother's Cry		9780822392842							https://www.degruyter.com/openurl?genre=book&isbn=9780822392842	Sattamini	9780822392842		fulltext		Duke University Press	monograph	2010	2010						P	1202625357
A Narrative of Events, since the First of August, 1834, by James Williams, an Apprenticed Labourer in Jamaica		9780822383208							https://www.degruyter.com/openurl?genre=book&isbn=9780822383208		9780822383208		fulltext		Duke University Press	monograph	2001	2001			Silverblatt			P	1055058188
A Nation of Realtors®		9780822386605							https://www.degruyter.com/openurl?genre=book&isbn=9780822386605	Hornstein	9780822386605		fulltext		Duke University Press	monograph	2005	2005						P	1229161339
A Nation Rising		9780822376552							https://www.degruyter.com/openurl?genre=book&isbn=9780822376552		9780822376552		fulltext		Duke University Press	monograph	2014	2014			Goodyear-Kaopua			P	872995683
A Nervous State		9780822375241							https://www.degruyter.com/openurl?genre=book&isbn=9780822375241	Hunt	9780822375241		fulltext		Duke University Press	monograph	2016	2015						P	944503240
A New Criminal Type in Jakarta		9780822382515							https://www.degruyter.com/openurl?genre=book&isbn=9780822382515	Siegel	9780822382515		fulltext		Duke University Press	monograph	1998	1998						P	841913273
A New Deal for All?		9780822395843							https://www.degruyter.com/openurl?genre=book&isbn=9780822395843	Skotnes	9780822395843		fulltext		Duke University Press	monograph	2012	2012						P	1058763538
A New Type of Womanhood		9780822390046							https://www.degruyter.com/openurl?genre=book&isbn=9780822390046	Kraus	9780822390046		fulltext		Duke University Press	monograph	2008	2008						P	1125570753
A Not So Foreign Affair		9780822380849							https://www.degruyter.com/openurl?genre=book&isbn=9780822380849	Slane	9780822380849		fulltext		Duke University Press	monograph	2001	2001						P	52710881
A People's History of Detroit		9781478009351							https://www.degruyter.com/openurl?genre=book&isbn=9781478009351	Conklin	9781478009351		fulltext		Duke University Press	monograph	2020	2020						P	1113296713
A Place in Politics		9780822389453							https://www.degruyter.com/openurl?genre=book&isbn=9780822389453	Woodard	9780822389453		fulltext		Duke University Press	monograph	2009	2009						P	1224279117
A Possible Anthropology		9781478004370							https://www.degruyter.com/openurl?genre=book&isbn=9781478004370	Pandian	9781478004370		fulltext		Duke University Press	monograph	2019	2019						P	1145567078
A Primer for Teaching African History		9780822391944							https://www.degruyter.com/openurl?genre=book&isbn=9780822391944	Getz	9780822391944		fulltext		Duke University Press	monograph	2018	2018						P	1169059506
