PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief History of the Artist from God to Picasso		9780271051154							https://www.degruyter.com/openurl?genre=book&isbn=9780271051154	Barolsky	9780271051154		fulltext		Penn State University Press	monograph	2010	2021						P	
A Century of Austrian Design		9783034608893							https://www.degruyter.com/openurl?genre=book&isbn=9783034608893	Beyerle	9783034608893		fulltext		Birkhäuser	monograph	2006	2013						P	958047712
A City Is Not a Computer		9780691226750							https://www.degruyter.com/openurl?genre=book&isbn=9780691226750	Mattern	9780691226750		fulltext		Princeton University Press	monograph	2021	2021						P	
A Descriptive Guide to the City of Strassburg and its Cathedral	9783112364116	9783112364123							https://www.degruyter.com/openurl?genre=book&isbn=9783112364123	Euting	9783112364123		fulltext		De Gruyter	monograph	1896	2021		7th, rev. and enlarged ed. Reprint 2020				P	
A Genius Planet	9783035614060	9783035614213							https://www.degruyter.com/openurl?genre=book&isbn=9783035614213		9783035614213		fulltext		Birkhäuser	monograph	2017	2017						P	999372792
A History of Collective Living	9783035618501	9783035618686							https://www.degruyter.com/openurl?genre=book&isbn=9783035618686	Schmid	9783035618686		fulltext		Birkhäuser	monograph	2019	2019						P	1129173980
A History of European and American Sculpture / A History of European and American Sculpture: From the Early Christian Period to the Present Day, Volume I	9780674599833	9780674600102							https://www.degruyter.com/openurl?genre=book&isbn=9780674600102	Post	9780674600102		fulltext		Harvard University Press	monograph	1921	2013	I	Reprint 2014				P	979968038
A History of European and American Sculpture / A History of European and American Sculpture: From the Early Christian Period to the Present Day, Volume II	9780674599826	9780674600119							https://www.degruyter.com/openurl?genre=book&isbn=9780674600119	Post	9780674600119		fulltext		Harvard University Press	monograph	1921	2013	II	Reprint 2014				P	979630007
A History of Japanese Lacquerwork		9781487575632							https://www.degruyter.com/openurl?genre=book&isbn=9781487575632	Von Rague	9781487575632		fulltext		University of Toronto Press	monograph	1976	2019						P	1129166955
A History of Spanish Painting / A History of Spanish Painting, Volume I	9780674599819	9780674600171							https://www.degruyter.com/openurl?genre=book&isbn=9780674600171	Post	9780674600171		fulltext		Harvard University Press	monograph	1930	2013	I	Reprint 2014				P	979630008
A History of Spanish Painting / A History of Spanish Painting, Volume II	9780674599802	9780674600188							https://www.degruyter.com/openurl?genre=book&isbn=9780674600188	Post	9780674600188		fulltext		Harvard University Press	monograph	1930	2013	II	Reprint 2014				P	979969881
A History of Spanish Painting / A History of Spanish Painting, Volume III	9780674599796	9780674600195							https://www.degruyter.com/openurl?genre=book&isbn=9780674600195	Post	9780674600195		fulltext		Harvard University Press	monograph	1930	2013	III	Reprint 2014				P	979969903
A History of Spanish Painting / A History of Spanish Painting, Volume IV: The Hispano-Flemish Style in North-Western Spain, Part 1	9780674599772	9780674600294							https://www.degruyter.com/openurl?genre=book&isbn=9780674600294	Post	9780674600294		fulltext		Harvard University Press	monograph	1933	2013	1	Reprint 2014				P	979630009
A History of Spanish Painting / A History of Spanish Painting, Volume IV: The Hispano-Flemish Style in North-Western Spain, Part 2	9780674599789	9780674600232							https://www.degruyter.com/openurl?genre=book&isbn=9780674600232	Post	9780674600232		fulltext		Harvard University Press	monograph	1933	2013	2	Reprint 2014				P	979968040
A History of Spanish Painting / A History of Spanish Painting, Volume IX: The Beginning of the Renaissance in Castile and Leon, Part 1	9780674599727	9780674600362							https://www.degruyter.com/openurl?genre=book&isbn=9780674600362	Post	9780674600362		fulltext		Harvard University Press	monograph	1947	2013	1	Reprint 2014				P	979968056
A History of Spanish Painting / A History of Spanish Painting, Volume IX: The Beginning of the Renaissance in Castile and Leon, Part 2	9780674599734	9780674600379							https://www.degruyter.com/openurl?genre=book&isbn=9780674600379	Post	9780674600379		fulltext		Harvard University Press	monograph	1947	2013	2	Reprint 2014				P	979630010
A History of Spanish Painting / A History of Spanish Painting, Volume V	9780674427907	9780674422070							https://www.degruyter.com/openurl?genre=book&isbn=9780674422070	Post	9780674422070		fulltext		Harvard University Press	monograph	1934	2013	V	Reprint 2014				P	979833090
A History of Spanish Painting / A History of Spanish Painting, Volume VI: The Valencian School in the Late Middle Ages and Early Renaissance, Part 1	9780674599765	9780674600300							https://www.degruyter.com/openurl?genre=book&isbn=9780674600300	Post	9780674600300		fulltext		Harvard University Press	monograph	1935	2013	1	Reprint 2014				P	979778195
A History of Spanish Painting / A History of Spanish Painting, Volume VI: The Valencian School in the Late Middle Ages and Early Renaissance, Part 2	9780674600331	9780674600348							https://www.degruyter.com/openurl?genre=book&isbn=9780674600348	Post	9780674600348		fulltext		Harvard University Press	monograph	1935	2013	2	Reprint 2014				P	979576595
A History of Spanish Painting / A History of Spanish Painting, Volume X	9780674599697	9780674600317							https://www.degruyter.com/openurl?genre=book&isbn=9780674600317	Post	9780674600317		fulltext		Harvard University Press	monograph	1950	2013	X	Reprint 2014				P	979574941
A History of Spanish Painting / A History of Spanish Painting, Volume XI	9780674599680	9780674600270							https://www.degruyter.com/openurl?genre=book&isbn=9780674600270	Post	9780674600270		fulltext		Harvard University Press	monograph	1953	2013	XI	Reprint 2014				P	979576594
A History of Spanish Painting / A History of Spanish Painting, Volume XII: The Catalan School in the Early Renaissance, Part 1	9780674599666	9780674600287							https://www.degruyter.com/openurl?genre=book&isbn=9780674600287	Post	9780674600287		fulltext		Harvard University Press	monograph	1958	2013	1	Reprint 2014				P	979740633
A History of Spanish Painting / A History of Spanish Painting, Volume XII: The Catalan School in the Early Renaissance, Part 2	9780674599673	9780674600263							https://www.degruyter.com/openurl?genre=book&isbn=9780674600263	Post	9780674600263		fulltext		Harvard University Press	monograph	1958	2013	2	Reprint 2014				P	979576474
A History of Spanish Painting / A History of Spanish Painting, Volume XIII	9780674422094	9780674422117							https://www.degruyter.com/openurl?genre=book&isbn=9780674422117	Post	9780674422117		fulltext		Harvard University Press	monograph	1966	2013	XIII	Reprint 2014	Wethey			P	979969821
A History of Spanish Painting / A History of Spanish Painting, Volume XIV	9780674422155	9780674422179							https://www.degruyter.com/openurl?genre=book&isbn=9780674422179	Post	9780674422179		fulltext		Harvard University Press	monograph	1966	2013	XIV	Reprint 2014	Wethey			P	979722438
A Library Classification for City and Regional Planning	9780674423367	9780674423381							https://www.degruyter.com/openurl?genre=book&isbn=9780674423381	Shillaber	9780674423381		fulltext		Harvard University Press	monograph	1973	2013		Reprint 2014				P	900841295
A Little House	9783035620665	9783035620696							https://www.degruyter.com/openurl?genre=book&isbn=9783035620696		9783035620696		fulltext		Birkhäuser	monograph	2020	2020		2nd edition	Fondation Le Corbusier			P	1153540912
A Monastery on the Move		9780824885700							https://www.degruyter.com/openurl?genre=book&isbn=9780824885700	Uranchimeg	9780824885700		fulltext		University of Hawaii Press	monograph	2021	2021						P	1228033741
A New Thoughtfulness in Contemporary China		9783839416655							https://www.degruyter.com/openurl?genre=book&isbn=9783839416655		9783839416655		fulltext		transcript Verlag	monograph	2011	2014		1. Aufl.	Chuan			P	979770468
A Pillared Hall from a Temple at Madura, India, in the Philadelphia Museum of Art		9781512814880							https://www.degruyter.com/openurl?genre=book&isbn=9781512814880	Brown	9781512814880		fulltext		University of Pennsylvania Press	monograph	1940	2017		Reprint 2016				P	979968995
A Quantum City	9783035606263	9783035606416							https://www.degruyter.com/openurl?genre=book&isbn=9783035606416		9783035606416		fulltext		Birkhäuser	monograph	2015	2015						P	979625529
A Reader on International Media Piracy		9789048527274							https://www.degruyter.com/openurl?genre=book&isbn=9789048527274		9789048527274		fulltext		Amsterdam University Press	monograph	2015	2015			Baumgärtel			P	932500553
A Transitory Star	9783110359992	9783110360080							https://www.degruyter.com/openurl?genre=book&isbn=9783110360080		9783110360080		fulltext		De Gruyter	monograph	2015	2015			Lehmann			P	951150644
A World Art History and Its Objects		9780271036069							https://www.degruyter.com/openurl?genre=book&isbn=9780271036069	Carrier	9780271036069		fulltext		Penn State University Press	monograph	2008	2021						P	
Aaron Copland and His World		9780691186153							https://www.degruyter.com/openurl?genre=book&isbn=9780691186153		9780691186153		fulltext		Princeton University Press	monograph	2005	2018			Tick			P	1076412341
Access for All		9783034603799							https://www.degruyter.com/openurl?genre=book&isbn=9783034603799		9783034603799		fulltext		Birkhäuser	monograph	2009	2009			Christ			P	858017003
Accessible America		9781479855582							https://www.degruyter.com/openurl?genre=book&isbn=9781479855582	Williamson	9781479855582		fulltext		New York University Press	monograph	2019	2019						P	1083544754
Accounts and Images of Six Kannon in Japan		9780824856250							https://www.degruyter.com/openurl?genre=book&isbn=9780824856250	Fowler	9780824856250		fulltext		University of Hawaii Press	monograph	2016	2016						P	964548013
Acoustics and Sound Insulation	9783764399535	9783034614733							https://www.degruyter.com/openurl?genre=book&isbn=9783034614733	Mommertz	9783034614733		fulltext		Birkhäuser	monograph	2009	2012						P	979882642
Across the Open Field		9780812207866							https://www.degruyter.com/openurl?genre=book&isbn=9780812207866	Olin	9780812207866		fulltext		University of Pennsylvania Press	monograph	2000	2012						P	979910468
Adaptive Re-Use	9783868596113	9783868599510							https://www.degruyter.com/openurl?genre=book&isbn=9783868599510		9783868599510		fulltext		JOVIS Verlag GmbH	monograph	2021	2021			Harnack			P	
Adaptive Reuse	9783038215370	9783038213130							https://www.degruyter.com/openurl?genre=book&isbn=9783038213130	Wong	9783038213130		fulltext		Birkhäuser	monograph	2016	2016						P	979911788
Adrian Frutiger – Typefaces		9783034609906							https://www.degruyter.com/openurl?genre=book&isbn=9783034609906		9783034609906		fulltext		Birkhäuser	monograph	2009	2012			Osterer			P	979970751
Adrian Frutiger – Typefaces		9783038212607							https://www.degruyter.com/openurl?genre=book&isbn=9783038212607	Osterer	9783038212607		fulltext		Birkhäuser	monograph	2014	2014		2nd ed.				P	979635088
Adrian Frutiger – Typefaces	9783035623628	9783035623635							https://www.degruyter.com/openurl?genre=book&isbn=9783035623635	Osterer	9783035623635		fulltext		Birkhäuser	monograph	2021	2021		2nd ed.				P	1248759613
Advanced Timber Structures	9783035605617	9783035604900							https://www.degruyter.com/openurl?genre=book&isbn=9783035604900		9783035604900		fulltext		Birkhäuser	monograph	2017	2016			Weinand			P	979582654
Advances in Architectural Geometry 2010		9783990433713							https://www.degruyter.com/openurl?genre=book&isbn=9783990433713		9783990433713		fulltext		Ambra Verlag	monograph	2010	2016			Ceccato			P	980291782
Advertising and Design		9783839423486							https://www.degruyter.com/openurl?genre=book&isbn=9783839423486		9783839423486		fulltext		transcript Verlag	monograph	2014	2014		1. Aufl.	Klein			P	909443725
Aesthetic Temporalities Today		9783839454626							https://www.degruyter.com/openurl?genre=book&isbn=9783839454626		9783839454626		fulltext		transcript Verlag	monograph	2020	2020						P	1196253855
