PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Condensed Collection of Thermodynamic Formulas	9780674730359	9780674734210							https://www.degruyter.com/openurl?genre=book&isbn=9780674734210	Bridgman	9780674734210		fulltext		Harvard University Press	monograph	1925	2013		Reprint 2013				P	900856528
A Course in Mathematical Cryptography	9783110372762	9783110372779							https://www.degruyter.com/openurl?genre=book&isbn=9783110372779	Baumslag	9783110372779		fulltext		De Gruyter	monograph	2015	2015						P	927947377
A DRIVER's Guide to European Repositories		9789048508471							https://www.degruyter.com/openurl?genre=book&isbn=9789048508471	Godtsenhoven	9789048508471		fulltext		Amsterdam University Press	monograph	2008	2008						P	609990912
A First Course in Scientific Computing		9781400841172							https://www.degruyter.com/openurl?genre=book&isbn=9781400841172	Landau	9781400841172		fulltext		Princeton University Press	monograph	2005	2011						P	758335832
A Framework of Software Measurement	9783110155877	9783110807301							https://www.degruyter.com/openurl?genre=book&isbn=9783110807301	Zuse	9783110807301		fulltext		De Gruyter	monograph	1998	2013		Reprint 2012				P	867075868
A Genius Planet	9783035614060	9783035614213							https://www.degruyter.com/openurl?genre=book&isbn=9783035614213		9783035614213		fulltext		Birkhäuser	monograph	2017	2017						P	999372792
A Geological Miscellany		9781400857913							https://www.degruyter.com/openurl?genre=book&isbn=9781400857913	Jones	9781400857913		fulltext		Princeton University Press	monograph	1985	2014		Course Book				P	922704937
A Handbook of Northern France	9780674336858	9780674337398							https://www.degruyter.com/openurl?genre=book&isbn=9780674337398	Davis	9780674337398		fulltext		Harvard University Press	monograph	1918	2013		Reprint 2013				P	900857237
A Laboratory Outline for Elementary Organic Chemistry		9781487582999							https://www.degruyter.com/openurl?genre=book&isbn=9781487582999	Lorriman	9781487582999		fulltext		University of Toronto Press	monograph	1961	2019						P	1129183207
A Natural History of Shells		9780691230016							https://www.degruyter.com/openurl?genre=book&isbn=9780691230016	Vermeij	9780691230016		fulltext		Princeton University Press	monograph	2021	2021						P	
A Source Book in Chemistry, 1900-1950	9780674366695	9780674366701							https://www.degruyter.com/openurl?genre=book&isbn=9780674366701		9780674366701		fulltext		Harvard University Press	monograph	1968	2013		Reprint 2014	Leicester			P	900844910
