PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Commentary on Euripides' Iphigenia in Tauris	9783110190991	9783110926606							https://www.degruyter.com/openurl?genre=book&isbn=9783110926606	Kyriakou	9783110926606		fulltext		De Gruyter	monograph	2006	2012						P	948656289
A Commentary on Lucan, "De bello civili" IV	9783110203851	9783110216516							https://www.degruyter.com/openurl?genre=book&isbn=9783110216516	Asso	9783110216516		fulltext		De Gruyter	monograph	2010	2010						P	775644190
A Commentary on Pindar, Nemean Nine	9783110161243	9783110803471							https://www.degruyter.com/openurl?genre=book&isbn=9783110803471	Braswell	9783110803471		fulltext		De Gruyter	monograph	1998	2020		1998				P	1198929119
A Different God?	9783110222340	9783110222357							https://www.degruyter.com/openurl?genre=book&isbn=9783110222357		9783110222357		fulltext		De Gruyter	monograph	2012	2011			Schlesier			P	881293117
A Handbook on Isaiah		9781575065113							https://www.degruyter.com/openurl?genre=book&isbn=9781575065113	de Waard	9781575065113		fulltext		Penn State University Press	monograph	1997	2021						P	
A Lexicon to Achilles Tatius	9783110078442	9783110863628							https://www.degruyter.com/openurl?genre=book&isbn=9783110863628	O'Sullivan	9783110863628		fulltext		De Gruyter	monograph	1980	2013						P	979883335
A Monetary and Political History of the Phoenician City of Byblos in the Fifth and Fourth Centuries B.C.E.		9781575068893							https://www.degruyter.com/openurl?genre=book&isbn=9781575068893	Elayi	9781575068893		fulltext		Penn State University Press	monograph	2014	2021						P	1253313031
A New History of Classical Rhetoric		9781400821471							https://www.degruyter.com/openurl?genre=book&isbn=9781400821471	Kennedy	9781400821471		fulltext		Princeton University Press	monograph	1995	2009		Course Book				P	979748954
A Notebook Roll and a Fiscal Codex from the Giessen Papyrus Collection (P.Giss. II)	9783110662504	9783110664799							https://www.degruyter.com/openurl?genre=book&isbn=9783110664799	Kotyl	9783110664799		fulltext		De Gruyter	monograph	2020	2020						P	1191863704
A Pious Seductress	9783110279948	9783110279986							https://www.degruyter.com/openurl?genre=book&isbn=9783110279986		9783110279986		fulltext		De Gruyter	monograph	2012	2012			Xeravits			P	853263261
A Place at the Altar		9781400883035							https://www.degruyter.com/openurl?genre=book&isbn=9781400883035	DiLuzio	9781400883035		fulltext		Princeton University Press	monograph	2017	2016						P	995512508
A Poetics of Transformation		9780801466892							https://www.degruyter.com/openurl?genre=book&isbn=9780801466892	Malamud	9780801466892		fulltext		Cornell University Press	monograph	2014	2014						P	1076643316
A Prosopography to Martial’s Epigrams	9783110621358	9783110624755							https://www.degruyter.com/openurl?genre=book&isbn=9783110624755		9783110624755		fulltext		De Gruyter	monograph	2019	2019						P	1086066727
A Renaissance Education		9781442697423							https://www.degruyter.com/openurl?genre=book&isbn=9781442697423	Carlsmith	9781442697423		fulltext		University of Toronto Press	monograph	2010	2016						P	944176593
A Study of Sophoclean Drama		9780801466717							https://www.degruyter.com/openurl?genre=book&isbn=9780801466717	Kirkwood	9780801466717		fulltext		Cornell University Press	monograph	2013	1978						P	1076663826
A Tall Order. Writing the Social History of the Ancient World	9783598778285	9783110931419							https://www.degruyter.com/openurl?genre=book&isbn=9783110931419		9783110931419		fulltext		B. G. Teubner	monograph	2005	2012		1. Aufl.	Aubert			P	979595065
A Threat to Public Piety		9780801463969							https://www.degruyter.com/openurl?genre=book&isbn=9780801463969	Digeser	9780801463969		fulltext		Cornell University Press	monograph	2012	2012						P	979954134
