PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliographical Guide To Belorussia	9780674862616	9780674864535							https://www.degruyter.com/openurl?genre=book&isbn=9780674864535	Vakar	9780674864535		fulltext		Harvard University Press	monograph	1956	2013		Reprint 2014				P	900847951
A Bibliography of Canadian Folklore in English		9781487595463							https://www.degruyter.com/openurl?genre=book&isbn=9781487595463	Fowke	9781487595463		fulltext		University of Toronto Press	monograph	1982	2019						P	1083581682
A Bibliography of Oliver Cromwell	9780674729735	9780674729742							https://www.degruyter.com/openurl?genre=book&isbn=9780674729742	Abbott	9780674729742		fulltext		Harvard University Press	monograph	1929	2013		Reprint 2013				P	900855472
A Bibliography of the Hungarian Revolution, 1956		9781442650916							https://www.degruyter.com/openurl?genre=book&isbn=9781442650916		9781442650916		fulltext		University of Toronto Press	monograph	1963	2019						P	1005843562
A Brefe Dialoge bitwene a Christen Father and his stobborne Sonne		9781442670273							https://www.degruyter.com/openurl?genre=book&isbn=9781442670273	Roye	9781442670273		fulltext		University of Toronto Press	monograph	1999	2016						P	999355096
A Bride for the Tsar		9781501756658							https://www.degruyter.com/openurl?genre=book&isbn=9781501756658	Martin	9781501756658		fulltext		Cornell University Press	monograph	2012	2021						P	
A Brief History of the Late Ottoman Empire		9781400829682							https://www.degruyter.com/openurl?genre=book&isbn=9781400829682	Hanioğlu	9781400829682		fulltext		Princeton University Press	monograph	2008	2010						P	781295788
A British Fusilier in Revolutionary Boston	9780674336537	9780674337008							https://www.degruyter.com/openurl?genre=book&isbn=9780674337008		9780674337008		fulltext		Harvard University Press	monograph	1926	2013		Reprint 2014	French			P	900856257
A Carnival of Revolution		9781400843879							https://www.degruyter.com/openurl?genre=book&isbn=9781400843879	Kenney	9781400843879		fulltext		Princeton University Press	monograph	2003	2021						P	
A Centennial History of the American Society of Mechanical Engineers 1880–1980		9781487572402							https://www.degruyter.com/openurl?genre=book&isbn=9781487572402	Sinclair	9781487572402		fulltext		University of Toronto Press	monograph	1980	2019						P	1096515940
