PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliography of Early English Law Books	9780674730014	9780674733022							https://www.degruyter.com/openurl?genre=book&isbn=9780674733022		9780674733022		fulltext		Harvard University Press	monograph	1926	2013		Reprint 2013				P	900856238
A Bibliography of Law on Journalism	9780231900461	9780231876780							https://www.degruyter.com/openurl?genre=book&isbn=9780231876780	Swindler	9780231876780		fulltext		Columbia University Press	monograph	1947	1947						P	1100430994
A Brief History of Entrepreneurship		9780231542814							https://www.degruyter.com/openurl?genre=book&isbn=9780231542814	Carlen	9780231542814		fulltext		Columbia University Press	monograph	2016	2016						P	999371255
A Brief History of the Constitution and Government of Massachusetts with a Chapter on Legislative Procedure	9780674336353	9780674288126							https://www.degruyter.com/openurl?genre=book&isbn=9780674288126	Frothingham	9780674288126		fulltext		Harvard University Press	monograph	1916	2013		Reprint 2014				P	999359664
A Brief Narrative of the Case and Trial of John Peter Zenger, Printer of the New York Weekly Journal	9780674729544	9780674730687							https://www.degruyter.com/openurl?genre=book&isbn=9780674730687		9780674730687		fulltext		Harvard University Press	monograph	1972	2013		2. Aufl. Reprint 2013	Katz			P	900842492
A Cartel Policy for the United Nations	9780231900508	9780231876803							https://www.degruyter.com/openurl?genre=book&isbn=9780231876803	Edwards	9780231876803		fulltext		Columbia University Press	monograph	1945	1945						P	1100429499
A Century of Civil Rights	9780231900522	9780231876810							https://www.degruyter.com/openurl?genre=book&isbn=9780231876810	Konvitz	9780231876810		fulltext		Columbia University Press	monograph	1961	1961						P	1100450819
A Century of Russian Agriculture	9780674366343	9780674366350							https://www.degruyter.com/openurl?genre=book&isbn=9780674366350	Volin	9780674366350		fulltext		Harvard University Press	monograph	1970	2013		Reprint 2014				P	900843301
A Common Law for the Age of Statutes		9780674029156							https://www.degruyter.com/openurl?genre=book&isbn=9780674029156	CALABRESI	9780674029156		fulltext		Harvard University Press	monograph	1982	2021						P	1253313890
A Company of One		9780801460791							https://www.degruyter.com/openurl?genre=book&isbn=9780801460791	Lane	9780801460791		fulltext		Cornell University Press	monograph	2011	2011						P	979743945
A Constitution of Many Minds		9781400829927							https://www.degruyter.com/openurl?genre=book&isbn=9781400829927	Sunstein	9781400829927		fulltext		Princeton University Press	monograph	2009	2009		Course Book				P	979749353
A Cooperative Species		9781400838837							https://www.degruyter.com/openurl?genre=book&isbn=9781400838837	Gintis	9781400838837		fulltext		Princeton University Press	monograph	2011	2011		Course Book				P	979758175
A Corporate Solution to Global Poverty		9781400880201							https://www.degruyter.com/openurl?genre=book&isbn=9781400880201	Lodge	9781400880201		fulltext		Princeton University Press	monograph	2006	2016						P	984687100
A Court for Children	9780231900607	9780231876858							https://www.degruyter.com/openurl?genre=book&isbn=9780231876858	Kahn	9780231876858		fulltext		Columbia University Press	monograph	1953	1953						P	1100431142
A Crisis of Beliefs		9780691184920							https://www.degruyter.com/openurl?genre=book&isbn=9780691184920	Shleifer	9780691184920		fulltext		Princeton University Press	monograph	2018	2018						P	1044733766
A Culture of Credit		9780674041639							https://www.degruyter.com/openurl?genre=book&isbn=9780674041639	Olegario	9780674041639		fulltext		Harvard University Press	monograph	2006	2009						P	979754335
A Culture of Growth		9781400882915							https://www.degruyter.com/openurl?genre=book&isbn=9781400882915	Mokyr	9781400882915		fulltext		Princeton University Press	monograph	2017	2016						P	979584473
A Dozen Lessons for Entrepreneurs		9780231545693							https://www.degruyter.com/openurl?genre=book&isbn=9780231545693	Griffin	9780231545693		fulltext		Columbia University Press	monograph	2017	2017						P	1013187661
A Europe Made of Money		9780801465932							https://www.degruyter.com/openurl?genre=book&isbn=9780801465932	Mourlon-Druol	9780801465932		fulltext		Cornell University Press	monograph	2012	2012						P	979756130
A Farewell to Alms		9781400827817							https://www.degruyter.com/openurl?genre=book&isbn=9781400827817	Clark	9781400827817		fulltext		Princeton University Press	monograph	2007	2008						P	637493172
A Federal Right to Education		9781479872770							https://www.degruyter.com/openurl?genre=book&isbn=9781479872770		9781479872770		fulltext		New York University Press	monograph	2019	2019						P	1124607347
A Financial History of Maine	9780231900782	9780231876940							https://www.degruyter.com/openurl?genre=book&isbn=9780231876940	Jewett	9780231876940		fulltext		Columbia University Press	monograph	1937	1937						P	1100453679
A Flexible Future?	9783110124347	9783110863345							https://www.degruyter.com/openurl?genre=book&isbn=9783110863345		9783110863345		fulltext		De Gruyter	monograph	1991	2017		Reprint 2017	Morris			P	1013963624
A Forum on Finance	9780231900805	9780231876957							https://www.degruyter.com/openurl?genre=book&isbn=9780231876957		9780231876957		fulltext		Columbia University Press	monograph	1940	1940			Roberts			P	1100440618
A Framework for Immigration		9780231506335							https://www.degruyter.com/openurl?genre=book&isbn=9780231506335	Segal	9780231506335		fulltext		Columbia University Press	monograph	2002	2002						P	953659396
