PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliography of Canadian Imprints, 1751-1800		9781442670266							https://www.degruyter.com/openurl?genre=book&isbn=9781442670266	Tremaine	9781442670266		fulltext		University of Toronto Press	monograph	1999	2016						P	999378610
A Bibliography of James T. Farrell's Writings, 1921-1957		9781512800661							https://www.degruyter.com/openurl?genre=book&isbn=9781512800661	Branch	9781512800661		fulltext		University of Pennsylvania Press	monograph	1959	1959						P	1054880055
A Bibliography of the Prairie Provinces to 1953 with Biographical Index (2e)		9781487578374							https://www.degruyter.com/openurl?genre=book&isbn=9781487578374		9781487578374		fulltext		University of Toronto Press	monograph	1973	2019						P	1129149886
A Bibliography of Thomas Gray, 1917-1951		9781512818871							https://www.degruyter.com/openurl?genre=book&isbn=9781512818871	Starr	9781512818871		fulltext		University of Pennsylvania Press	monograph	1953	2017		Reprint 2016				P	979625235
A Checklist of Canadian Literature and Background Materials 1628–1960		9781487584733							https://www.degruyter.com/openurl?genre=book&isbn=9781487584733	Eyre Watters	9781487584733		fulltext		University of Toronto Press	monograph	1959	2019						P	1129178913
A Guide to Developing Braille and Talking Book Services	9783111274188	9783111658520							https://www.degruyter.com/openurl?genre=book&isbn=9783111658520		9783111658520		fulltext		De Gruyter Saur	monograph	1984	2013		Reprint 2013	Clark			P	853244389
A Guide to Jewish References in the Mexican Colonial Era, 1521-1821		9781512817676							https://www.degruyter.com/openurl?genre=book&isbn=9781512817676		9781512817676		fulltext		University of Pennsylvania Press	monograph	1964	1964			Liebman			P	1100433748
A Guide to Native Plants of the New York City Region		9780813554808							https://www.degruyter.com/openurl?genre=book&isbn=9780813554808	Gargiullo	9780813554808		fulltext		Rutgers University Press	monograph	2010	2007						P	476126531
A Guide to Writing in the Sciences		9781442627611							https://www.degruyter.com/openurl?genre=book&isbn=9781442627611	Gilpin	9781442627611		fulltext		University of Toronto Press	monograph	2000	2019						P	1114866920
A Man Like Him		9781501719356							https://www.degruyter.com/openurl?genre=book&isbn=9781501719356	Kyaw Ma Ma Lay	9781501719356		fulltext		Cornell University Press	monograph	2008	2018						P	1059279104
A Reader in Preservation and Conservation	9783598218170	9783110968347							https://www.degruyter.com/openurl?genre=book&isbn=9783110968347		9783110968347		fulltext		K. G. Saur	monograph	2000	2013		Reprint 2013				P	900798904
A Reader's Guide to Canadian History 1		9781487576660							https://www.degruyter.com/openurl?genre=book&isbn=9781487576660		9781487576660		fulltext		University of Toronto Press	monograph	1982	2019			Muise			P	1129158678
A Selected Bibliography of Significant Works About Adam Smith		9781512803792							https://www.degruyter.com/openurl?genre=book&isbn=9781512803792	Lightwood	9781512803792		fulltext		University of Pennsylvania Press	monograph	1985	2016		Reprint 2016				P	980251041
Access to Scientific Research	9783110375169	9783110369991							https://www.degruyter.com/openurl?genre=book&isbn=9783110369991	Brown	9783110369991		fulltext		De Gruyter Saur	monograph	2016	2015						P	930538647
