PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A babble of ancestral voices	9783111030258	9783111392752							https://www.degruyter.com/openurl?genre=book&isbn=9783111392752	Frazier	9783111392752		fulltext		De Gruyter Mouton	monograph	1974	2015		Reprint 2015				P	979970818
A Badaga-English Dictionary	9783110126778	9783110846058							https://www.degruyter.com/openurl?genre=book&isbn=9783110846058	Pilot-Raichoor	9783110846058		fulltext		De Gruyter Mouton	monograph	1992	2011		Reprint 2011				P	979913042
A Bantawa Dictionary	9783110177107	9783110898316							https://www.degruyter.com/openurl?genre=book&isbn=9783110898316	Winter	9783110898316		fulltext		De Gruyter Mouton	monograph	2003	2011		Reprint 2011				P	979593567
A Basic Vocabulary of Old English Prose / Grundwortschatz altenglische Prosa	9783484400870	9783111698823							https://www.degruyter.com/openurl?genre=book&isbn=9783111698823	Jember	9783111698823		fulltext		Max Niemeyer Verlag	monograph	1981	2012		Reprint 2012				P	979768058
A Bibliography of Writings for the History of the English Language	9783110106169	9783110855456							https://www.degruyter.com/openurl?genre=book&isbn=9783110855456	Fisiak	9783110855456		fulltext		De Gruyter Mouton	monograph	1987	2019		2nd ed. Reprint 2019				P	1105859380
A Bibliography on Writing and Written Language	9783110101584	9783110889352							https://www.degruyter.com/openurl?genre=book&isbn=9783110889352		9783110889352		fulltext		De Gruyter Mouton	monograph	1996	2011						P	979640312
A case study In syntactic markedness	9783112327753	9783112327760							https://www.degruyter.com/openurl?genre=book&isbn=9783112327760	Riemsdijk	9783112327760		fulltext		De Gruyter	monograph	1981	2020		2nd ed. Reprint 2020				P	1202623595
A certain order	9783110992014	9783111343860							https://www.degruyter.com/openurl?genre=book&isbn=9783111343860	Harder	9783111343860		fulltext		De Gruyter Mouton	monograph	1971	2019		Reprint 2018				P	1091696187
A Chronology of Vulgar Latin	9783112325155	9783112325162							https://www.degruyter.com/openurl?genre=book&isbn=9783112325162	Muller	9783112325162		fulltext		De Gruyter	monograph	1929	2020		Reprint 2020				P	1202623575
A Classification and Analysis of "Noun + De + Noun" Constructions in French	9789027924346	9783110812343							https://www.degruyter.com/openurl?genre=book&isbn=9783110812343	Moody	9783110812343		fulltext		De Gruyter Mouton	monograph	1973	2017		Reprint 2017				P	1024026560
A Classified English-Shuswap Word-List	9783112327654	9783112327661							https://www.degruyter.com/openurl?genre=book&isbn=9783112327661	Kuipers	9783112327661		fulltext		De Gruyter	monograph	1975	2020		Reprint 2020				P	1202624175
A Cognitive Approach to the Verb	9783110170313	9783110817461							https://www.degruyter.com/openurl?genre=book&isbn=9783110817461		9783110817461		fulltext		De Gruyter Mouton	monograph	2001	2011		Reprint 2011	Simonsen			P	979638770
A Cognitive Linguistics View of Terminology and Specialized Language	9783110275568	9783110277203							https://www.degruyter.com/openurl?genre=book&isbn=9783110277203		9783110277203		fulltext		De Gruyter Mouton	monograph	2012	2012			Faber			P	961557794
A Cognitive-Functional Approach to Nominalization in English 	9783110178098	9783110903706							https://www.degruyter.com/openurl?genre=book&isbn=9783110903706	Heyvaert	9783110903706		fulltext		De Gruyter Mouton	monograph	2003	2015		Reprint 2015				P	979748890
A commentary on Cicero's oration De haruspicum responso	9783111282107	9783111666846							https://www.degruyter.com/openurl?genre=book&isbn=9783111666846	Lenaghan	9783111666846		fulltext		De Gruyter Mouton	monograph	1970	2011		Reprint 2011				P	979593043
A Comparative Grammar of British English Dialects / Agreement, Gender, Relative Clauses	9783110182996	9783110197518							https://www.degruyter.com/openurl?genre=book&isbn=9783110197518		9783110197518		fulltext		De Gruyter Mouton	monograph	2005	2008	1					P	979744707
A Comparative Grammar of British English Dialects / Modals, Pronouns and Complement Clauses	9783110240283	9783110240290							https://www.degruyter.com/openurl?genre=book&isbn=9783110240290	Hernández	9783110240290		fulltext		De Gruyter Mouton	monograph	2012	2011	2					P	979582478
A Comparative Phonology of Gbe	9783110133929	9783110870534							https://www.degruyter.com/openurl?genre=book&isbn=9783110870534	Capo	9783110870534		fulltext		De Gruyter Mouton	monograph	1991	2010		Reprint 2010				P	979969891
A Comparative Study of Yuman Consonantism	9783111274690	9783111659077							https://www.degruyter.com/openurl?genre=book&isbn=9783111659077	Wares	9783111659077		fulltext		De Gruyter Mouton	monograph	1968	2012		Reprint 2012				P	979887099
A Componential Analysis of Meaning	9789027979278	9783110828696							https://www.degruyter.com/openurl?genre=book&isbn=9783110828696	Nida	9783110828696		fulltext		De Gruyter Mouton	monograph	1979	2015		2nd print. Reprint 2015				P	979747273
A computer validated Portuguese to English transformational grammar	9783111001586	9783111358758							https://www.degruyter.com/openurl?genre=book&isbn=9783111358758	Wyatt	9783111358758		fulltext		De Gruyter Mouton	monograph	1972	2017		Reprint 2017				P	1024024116
A Concise Grammar of the Older Runic Inscriptions	9783484600522	9783111411583							https://www.degruyter.com/openurl?genre=book&isbn=9783111411583	Antonsen	9783111411583		fulltext		De Gruyter	monograph	1975	2010		Reprint 2010				P	979765138
A Corpus-Driven Approach to Language Contact	9781614517610	9781614516576							https://www.degruyter.com/openurl?genre=book&isbn=9781614516576	Adamou	9781614516576		fulltext		De Gruyter Mouton	monograph	2016	2016						P	951149658
A Crisis in Swiss pluralism	9789027975775	9783110806694							https://www.degruyter.com/openurl?genre=book&isbn=9783110806694	Billigmeier	9783110806694		fulltext		De Gruyter Mouton	monograph	1979	2016		Reprint 2016				P	979627238
A critical edition of the 13th and 14th centuries Old French poem versions of the ‹Vie de Saint Alexis›	9783484520493	9783111328225							https://www.degruyter.com/openurl?genre=book&isbn=9783111328225		9783111328225		fulltext		Max Niemeyer Verlag	monograph	1974	2017		Reprint 2017	Stebbins			P	1024056645
A description of colloquial Guarani	9783110995565	9783111349633							https://www.degruyter.com/openurl?genre=book&isbn=9783111349633	Suárez	9783111349633		fulltext		De Gruyter Mouton	monograph	1967	2018		Reprint 2018				P	1024041762
A Description of Modern Chaldean	9789027930132	9783110812022							https://www.degruyter.com/openurl?genre=book&isbn=9783110812022	Sara	9783110812022		fulltext		De Gruyter Mouton	monograph	1974	2017		Reprint 2017				P	1024047751
A Descriptive Grammar of Hindko, Panjabi, and Saraiki	9781614512967	9781614512257							https://www.degruyter.com/openurl?genre=book&isbn=9781614512257	Conners	9781614512257		fulltext		De Gruyter Mouton	monograph	2019	2019						P	1121054209
A descriptive grammar of saidi Egyptian colloquial Arabic	9783111000664	9783111357355							https://www.degruyter.com/openurl?genre=book&isbn=9783111357355	Khalafallah	9783111357355		fulltext		De Gruyter Mouton	monograph	1969	2017		Reprint 2017				P	1024016866
A descriptive syntax of the Ormulum	9783111001098	9783111358048							https://www.degruyter.com/openurl?genre=book&isbn=9783111358048	Palmatier	9783111358048		fulltext		De Gruyter Mouton	monograph	1969	2017		Reprint 2017				P	1024049662
A Descriptive Syntax of the Peterborough Chronicle from 1122-1154	9789027916136	9783110806410							https://www.degruyter.com/openurl?genre=book&isbn=9783110806410	Shores	9783110806410		fulltext		De Gruyter Mouton	monograph	1971	2011		Reprint 2011				P	979906730
A Desire Called America		9780823286973							https://www.degruyter.com/openurl?genre=book&isbn=9780823286973	Haines	9780823286973		fulltext		Fordham University Press	monograph	2019	2019						P	1119037742
A Diachronic Phonology from Proto-Germanic to Old English Stressing West-Saxon Conditions	9789027932167	9783110873511							https://www.degruyter.com/openurl?genre=book&isbn=9783110873511	Barrack	9783110873511		fulltext		De Gruyter Mouton	monograph	1975	2018		Reprint 2017				P	1029813298
A Dictionary of Atong	9783110717976	9783110718003							https://www.degruyter.com/openurl?genre=book&isbn=9783110718003	Breugel	9783110718003		fulltext		De Gruyter Mouton	monograph	2021	2021						P	1241448700
A Dictionary of English Rhyming Slangs	9783110529289	9783110535525							https://www.degruyter.com/openurl?genre=book&isbn=9783110535525	Victor	9783110535525		fulltext		De Gruyter Mouton	monograph	2017	2017						P	1002244199
A Dictionary of Literary Devices		9781442670303							https://www.degruyter.com/openurl?genre=book&isbn=9781442670303		9781442670303		fulltext		University of Toronto Press	monograph	1991	2016						P	944178552
A Dictionary of Owa	9781614513988	9781614513612							https://www.degruyter.com/openurl?genre=book&isbn=9781614513612	Mellow	9781614513612		fulltext		De Gruyter Mouton	monograph	2014	2013						P	900720301
