PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Cabinet of Medical Curiosities		9781501733451							https://www.degruyter.com/openurl?genre=book&isbn=9781501733451	Bondeson	9781501733451		fulltext		Cornell University Press	monograph	1997	2019						P	1121052441
A Catalogue of the Manuscripts and Archives of the Library of the College of Physicians of Philadelphia		9781512802481							https://www.degruyter.com/openurl?genre=book&isbn=9781512802481		9781512802481		fulltext		University of Pennsylvania Press	monograph	1983	2016		Reprint 2016	Hirsch			P	980283895
A Century of Challenge		9781487595715							https://www.degruyter.com/openurl?genre=book&isbn=9781487595715	Gattinger	9781487595715		fulltext		University of Toronto Press	monograph	1962	2019						P	1030101295
A Clinician's Guide to Progressive Supranuclear Palsy		9780813565989							https://www.degruyter.com/openurl?genre=book&isbn=9780813565989	Golbe	9780813565989		fulltext		Rutgers University Press	monograph	2019	2018						P	1085582166
A Colour Atlas of Boari Bladder-Flap Procedure	9783112417737	9783112417744							https://www.degruyter.com/openurl?genre=book&isbn=9783112417744	Gow	9783112417744		fulltext		De Gruyter	monograph	1983	2021		Reprint 2021				P	1243312134
A Compendium of Effective, Evidence-Based Best Practices in the Prevention of Neurotrauma		9781442670280							https://www.degruyter.com/openurl?genre=book&isbn=9781442670280	Volpe	9781442670280		fulltext		University of Toronto Press	monograph	2002	2016						P	999354725
A Compulsion for Antiquity		9781501720666							https://www.degruyter.com/openurl?genre=book&isbn=9781501720666	Armstrong	9781501720666		fulltext		Cornell University Press	monograph	2006	2018						P	1076788145
A Darkened House		9781442656949							https://www.degruyter.com/openurl?genre=book&isbn=9781442656949	Bilson	9781442656949		fulltext		University of Toronto Press	monograph	1980	2016						P	944178640
A Dictionary of Antibiosis	9780231900720	9780231876919							https://www.degruyter.com/openurl?genre=book&isbn=9780231876919		9780231876919		fulltext		Columbia University Press	monograph	1951	1951						P	631999171
A History of Dentistry in Canada		9781487596361							https://www.degruyter.com/openurl?genre=book&isbn=9781487596361	Gullett	9781487596361		fulltext		University of Toronto Press	monograph	1971	2019						P	1004998235
