PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Behavioral Theory of Elections		9781400836802							https://www.degruyter.com/openurl?genre=book&isbn=9781400836802	Bendor	9781400836802		fulltext		Princeton University Press	monograph	2011	2011		Course Book				P	979629301
A Bibliographical Introduction to Nationalism	9780231900423	9780231876766							https://www.degruyter.com/openurl?genre=book&isbn=9780231876766		9780231876766		fulltext		Columbia University Press	monograph	1935	1935						P	1100429897
A bibliography of British military history	9783598103599	9783111660219							https://www.degruyter.com/openurl?genre=book&isbn=9783111660219	Bruce	9783111660219		fulltext		De Gruyter Saur	monograph	1981	2016		Reprint 2016				P	979956247
A Bibliography of Higher Education in Canada / Bibliographie de L'Enseignement Supérieur au Canada		9781442615229							https://www.degruyter.com/openurl?genre=book&isbn=9781442615229	Harris	9781442615229		fulltext		University of Toronto Press	monograph	1960	2019						P	1083579673
A Bibliography of Higher Education in Canada Supplement 1971 / Bibliographie de l'enseignement superieur au Canada Supplement 1971		9781442615243							https://www.degruyter.com/openurl?genre=book&isbn=9781442615243	Harris	9781442615243		fulltext		University of Toronto Press	monograph	1971	2019						P	1006422450
A Bibliography of Higher Education in Canada Supplement 1981 / Bibliographie de l'enseignement supérieur au Canada Supplément 1981		9781442615250							https://www.degruyter.com/openurl?genre=book&isbn=9781442615250	Harris	9781442615250		fulltext		University of Toronto Press	monograph	1981	2019						P	1005842995
A Borneo Journey into Death		9781512818079							https://www.degruyter.com/openurl?genre=book&isbn=9781512818079	Metcalf	9781512818079		fulltext		University of Pennsylvania Press	monograph	1982	2017		Reprint 2016				P	979743925
A Central Asian Village at the Dawn of Civilization		9781934536230							https://www.degruyter.com/openurl?genre=book&isbn=9781934536230		9781934536230		fulltext		University of Pennsylvania Press	monograph	2003	2011						P	1002222073
A Century of Portuguese Fertility		9781400870110							https://www.degruyter.com/openurl?genre=book&isbn=9781400870110	Livi Bacci	9781400870110		fulltext		Princeton University Press	monograph	1971	2015						P	979954543
A Certain Idea of Europe		9781501732089							https://www.degruyter.com/openurl?genre=book&isbn=9781501732089	Parsons	9781501732089		fulltext		Cornell University Press	monograph	2006	2018						P	1083627781
A Changeless Land		9789814379625							https://www.degruyter.com/openurl?genre=book&isbn=9789814379625	G Timberman	9789814379625		fulltext		ISEAS Publishing	monograph	1991	1991						P	1078918939
A Chosen Exile		9780674735811							https://www.degruyter.com/openurl?genre=book&isbn=9780674735811	Hobbs	9780674735811		fulltext		Harvard University Press	monograph	2014	2014						P	979590102
A College of Her Own		9780231552004							https://www.degruyter.com/openurl?genre=book&isbn=9780231552004	McCaughey	9780231552004		fulltext		Columbia University Press	monograph	2019	2020						P	1198930695
A Columbia College Student in the Eighteenth Century	9780231900546	9780231876827							https://www.degruyter.com/openurl?genre=book&isbn=9780231876827	Tompkins	9780231876827		fulltext		Columbia University Press	monograph	1940	1940						P	1100429533
A Community of Europeans?		9780801459184							https://www.degruyter.com/openurl?genre=book&isbn=9780801459184	Risse	9780801459184		fulltext		Cornell University Press	monograph	2011	2011						P	1059275554
A Community of Scholars		9780231552912							https://www.degruyter.com/openurl?genre=book&isbn=9780231552912		9780231552912		fulltext		Columbia University Press	monograph	2020	2020			Vinciguerra			P	1229161167
A Community of Scholars		9781400839797							https://www.degruyter.com/openurl?genre=book&isbn=9781400839797	Institute For Advanced Study	9781400839797		fulltext		Princeton University Press	monograph	2012	2011		Course Book				P	979629532
A Confucian Constitutional Order		9781400844845							https://www.degruyter.com/openurl?genre=book&isbn=9781400844845	Qing	9781400844845		fulltext		Princeton University Press	monograph	2012	2012		Course Book				P	992506872
A Contested Caribbean Indigeneity		9781978808218							https://www.degruyter.com/openurl?genre=book&isbn=9781978808218	Feliciano-Santos	9781978808218		fulltext		Rutgers University Press	monograph	2021	2021						P	
A Continent Moving West?		9789048510979							https://www.degruyter.com/openurl?genre=book&isbn=9789048510979		9789048510979		fulltext		Amsterdam University Press	monograph	2010	2012			Okólski			P	1058768986
A Cosmopolitanism of Nations		9781400831319							https://www.degruyter.com/openurl?genre=book&isbn=9781400831319	Mazzini	9781400831319		fulltext		Princeton University Press	monograph	2010	2009		Course Book				P	979726216
A COVID Charter, A Better World		9781978827493							https://www.degruyter.com/openurl?genre=book&isbn=9781978827493	Miller	9781978827493		fulltext		Rutgers University Press	monograph	2021	2021						P	
A Crack in the Mirror		9781512806434							https://www.degruyter.com/openurl?genre=book&isbn=9781512806434		9781512806434		fulltext		University of Pennsylvania Press	monograph	1982	2016		Reprint 2016	Ruby			P	980278033
A ›Crisis of Whiteness‹ in the ›Heart of Darkness‹		9783839454985							https://www.degruyter.com/openurl?genre=book&isbn=9783839454985	Lösing	9783839454985		fulltext		transcript Verlag	monograph	2020	2021						P	1233040446
A Cuban in Mayberry		9780292759244							https://www.degruyter.com/openurl?genre=book&isbn=9780292759244	Pérez Firmat	9780292759244		fulltext		University of Texas Press	monograph	2014	2021						P	
A Culture of Corruption		9781400837229							https://www.degruyter.com/openurl?genre=book&isbn=9781400837229	Smith	9781400837229		fulltext		Princeton University Press	monograph	2006	2010						P	701704289
A Cup of Aloha		9780824840839							https://www.degruyter.com/openurl?genre=book&isbn=9780824840839	Kinro	9780824840839		fulltext		University of Hawaii Press	monograph	2003	2003						P	1041974926
A Decade of Upheaval		9780691214979							https://www.degruyter.com/openurl?genre=book&isbn=9780691214979	Guoqiang	9780691214979		fulltext		Princeton University Press	monograph	2021	2021						P	
A Disability of the Soul		9780801467998							https://www.degruyter.com/openurl?genre=book&isbn=9780801467998	Nakamura	9780801467998		fulltext		Cornell University Press	monograph	2017	2013						P	849787662
A Diversity of Women		9781442670310							https://www.degruyter.com/openurl?genre=book&isbn=9781442670310		9781442670310		fulltext		University of Toronto Press	monograph	1995	2016			Parr			P	944178575
A Divided World	9780674419087	9780674419094							https://www.degruyter.com/openurl?genre=book&isbn=9780674419094	Da Matta	9780674419094		fulltext		Harvard University Press	monograph	1982	2013		Reprint 2014				P	900822494
A Documentary Study of Hendrik De Man, Socialist Critic of Marxism		9781400868087							https://www.degruyter.com/openurl?genre=book&isbn=9781400868087		9781400868087		fulltext		Princeton University Press	monograph	1979	2015						P	979756057
A Faith Of Our Own		9780813549477							https://www.degruyter.com/openurl?genre=book&isbn=9780813549477	Kim	9780813549477		fulltext		Rutgers University Press	monograph	2010	2010						P	775441362
A Faraway, Familiar Place		9780824839000							https://www.degruyter.com/openurl?genre=book&isbn=9780824839000	Smith	9780824839000		fulltext		University of Hawaii Press	monograph	2013	2013						P	858899979
A Feminist Theory of Refusal		9780674259249							https://www.degruyter.com/openurl?genre=book&isbn=9780674259249	Honig	9780674259249		fulltext		Harvard University Press	monograph	2021	2021						P	1244256255
A Field in Flux		9781501740022							https://www.degruyter.com/openurl?genre=book&isbn=9781501740022		9781501740022		fulltext		Cornell University Press	monograph	2019	2019						P	1100435374
A Fight for the Soul of Public Education		9781501705939							https://www.degruyter.com/openurl?genre=book&isbn=9781501705939	Bruno	9781501705939		fulltext		Cornell University Press	monograph	2016	2016						P	952943130
A Fistful of Rubles		9781501731310							https://www.degruyter.com/openurl?genre=book&isbn=9781501731310	Johnson	9781501731310		fulltext		Cornell University Press	monograph	2000	2018						P	1100445303
A Force Profonde		9780812202502							https://www.degruyter.com/openurl?genre=book&isbn=9780812202502		9780812202502		fulltext		University of Pennsylvania Press	monograph	2003	2013			Kolodziej			P	979753571
A Fraught Embrace		9781400884988							https://www.degruyter.com/openurl?genre=book&isbn=9781400884988	Swidler	9781400884988		fulltext		Princeton University Press	monograph	2017	2017						P	984686775
A Functional Approach to Family Case Work		9781512818956							https://www.degruyter.com/openurl?genre=book&isbn=9781512818956	Taft	9781512818956		fulltext		University of Pennsylvania Press	monograph	1944	2017		Reprint 2016				P	979625236
A Future for Amazonia		9780292739512							https://www.degruyter.com/openurl?genre=book&isbn=9780292739512	Cepek	9780292739512		fulltext		University of Texas Press	monograph	2012	2021						P	
A Generation at Risk		9780674020191							https://www.degruyter.com/openurl?genre=book&isbn=9780674020191	Amato	9780674020191		fulltext		Harvard University Press	monograph	1997	2021						P	1248759694
A Generation Later		9780824862640							https://www.degruyter.com/openurl?genre=book&isbn=9780824862640	Eder	9780824862640		fulltext		University of Hawaii Press	monograph	1999	1999						P	44954545
A Generation of Women	9780674493421	9780674493438							https://www.degruyter.com/openurl?genre=book&isbn=9780674493438	Lagemann	9780674493438		fulltext		Harvard University Press	monograph	1979	2013		Reprint 2014				P	900836408
A Global Approach to National Policy	9780674189195	9780674189201							https://www.degruyter.com/openurl?genre=book&isbn=9780674189201	Falk	9780674189201		fulltext		Harvard University Press	monograph	1975	2013		Reprint 2014				P	900839555
