PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliography of Early English Law Books	9780674730014	9780674733022							https://www.degruyter.com/openurl?genre=book&isbn=9780674733022		9780674733022		fulltext		Harvard University Press	monograph	1926	2013		Reprint 2013				P	900856238
A Bibliography of Law on Journalism	9780231900461	9780231876780							https://www.degruyter.com/openurl?genre=book&isbn=9780231876780	Swindler	9780231876780		fulltext		Columbia University Press	monograph	1947	1947						P	1100430994
A Biologist's Guide to Mathematical Modeling in Ecology and Evolution		9781400840915							https://www.degruyter.com/openurl?genre=book&isbn=9781400840915	Otto	9781400840915		fulltext		Princeton University Press	monograph	2007	2011						P	749265040
A biology for development	9782759804023	9782759803293							https://www.degruyter.com/openurl?genre=book&isbn=9782759803293	Gros	9782759803293		fulltext		EDP Sciences	monograph	2009	2021						P	
A Birder’s West Indies		9780292761872							https://www.degruyter.com/openurl?genre=book&isbn=9780292761872	Wauer	9780292761872		fulltext		University of Texas Press	monograph	1996	2021						P	
A Bird-Finding Guide to Mexico		9781501735943							https://www.degruyter.com/openurl?genre=book&isbn=9781501735943	Howell	9781501735943		fulltext		Cornell University Press	monograph	1998	2018						P	1083621310
A Bird-Finding Guide to Ontario		9781442671423							https://www.degruyter.com/openurl?genre=book&isbn=9781442671423	Goodwin	9781442671423		fulltext		University of Toronto Press	monograph	1995	2016						P	999362206
A Body, Undone		9781479808045							https://www.degruyter.com/openurl?genre=book&isbn=9781479808045	Crosby	9781479808045		fulltext		New York University Press	monograph	2016	2016						P	936177779
A Brief History of Entrepreneurship		9780231542814							https://www.degruyter.com/openurl?genre=book&isbn=9780231542814	Carlen	9780231542814		fulltext		Columbia University Press	monograph	2016	2016						P	999371255
A Brief History of the Artist from God to Picasso		9780271051154							https://www.degruyter.com/openurl?genre=book&isbn=9780271051154	Barolsky	9780271051154		fulltext		Penn State University Press	monograph	2010	2021						P	
A Brief History of the Constitution and Government of Massachusetts with a Chapter on Legislative Procedure	9780674336353	9780674288126							https://www.degruyter.com/openurl?genre=book&isbn=9780674288126	Frothingham	9780674288126		fulltext		Harvard University Press	monograph	1916	2013		Reprint 2014				P	999359664
A Brief Narrative of the Case and Trial of John Peter Zenger, Printer of the New York Weekly Journal	9780674729544	9780674730687							https://www.degruyter.com/openurl?genre=book&isbn=9780674730687		9780674730687		fulltext		Harvard University Press	monograph	1972	2013		2. Aufl. Reprint 2013	Katz			P	900842492
A Brief Welcome to the Universe		9780691223612							https://www.degruyter.com/openurl?genre=book&isbn=9780691223612	Strauss	9780691223612		fulltext		Princeton University Press	monograph	2021	2021						P	
A Cabinet of Medical Curiosities		9781501733451							https://www.degruyter.com/openurl?genre=book&isbn=9781501733451	Bondeson	9781501733451		fulltext		Cornell University Press	monograph	1997	2019						P	1121052441
A Cartel Policy for the United Nations	9780231900508	9780231876803							https://www.degruyter.com/openurl?genre=book&isbn=9780231876803	Edwards	9780231876803		fulltext		Columbia University Press	monograph	1945	1945						P	1100429499
A Catalog of the Diptera of the Oriental Region		9780824886578							https://www.degruyter.com/openurl?genre=book&isbn=9780824886578		9780824886578		fulltext		University of Hawaii Press	monograph	1975	2021			Hardy			P	1253313114
A Catalog of the Diptera of the Oriental Region		9780824886585							https://www.degruyter.com/openurl?genre=book&isbn=9780824886585		9780824886585		fulltext		University of Hawaii Press	monograph	1977	2021			Hardy			P	1253313862
A Catalog of the Diptera of the Oriental Region		9780824886561							https://www.degruyter.com/openurl?genre=book&isbn=9780824886561		9780824886561		fulltext		University of Hawaii Press	monograph	1973	2021			Hardy			P	1253313557
A Catalogue of the Manuscripts and Archives of the Library of the College of Physicians of Philadelphia		9781512802481							https://www.degruyter.com/openurl?genre=book&isbn=9781512802481		9781512802481		fulltext		University of Pennsylvania Press	monograph	1983	2016		Reprint 2016	Hirsch			P	980283895
A Celebration of the World’s Barrier Islands		9780231534055							https://www.degruyter.com/openurl?genre=book&isbn=9780231534055	Fraser	9780231534055		fulltext		Columbia University Press	monograph	2003	2003						P	979909957
A Century of Austrian Design		9783034608893							https://www.degruyter.com/openurl?genre=book&isbn=9783034608893	Beyerle	9783034608893		fulltext		Birkhäuser	monograph	2006	2013						P	958047712
A Century of Challenge		9781487595715							https://www.degruyter.com/openurl?genre=book&isbn=9781487595715	Gattinger	9781487595715		fulltext		University of Toronto Press	monograph	1962	2019						P	1030101295
A Century of Civil Rights	9780231900522	9780231876810							https://www.degruyter.com/openurl?genre=book&isbn=9780231876810	Konvitz	9780231876810		fulltext		Columbia University Press	monograph	1961	1961						P	1100450819
A Century of Philadelphia Cricket		9781512803945							https://www.degruyter.com/openurl?genre=book&isbn=9781512803945		9781512803945		fulltext		University of Pennsylvania Press	monograph	1951	2016		Reprint 2016	Lester			P	980259521
