PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Baedeker of Decadence		9780300159202							https://www.degruyter.com/openurl?genre=book&isbn=9780300159202	Hill	9780300159202		fulltext		Yale University Press	monograph	1992	1992						P	1024018470
A Bat Man in the Tropics		9780520929487							https://www.degruyter.com/openurl?genre=book&isbn=9780520929487	Fleming	9780520929487		fulltext		University of California Press	monograph	2004	2003						P	55749134
A Bibliography on Grapes, Wines, Other Alcoholic Beverages, and Temperance	9780520316843	9780520316850							https://www.degruyter.com/openurl?genre=book&isbn=9780520316850	Borg	9780520316850		fulltext		University of California Press	monograph	1996	1996		Reprint 2019				P	1149439680
A Bishop's Tale		9780300130546							https://www.degruyter.com/openurl?genre=book&isbn=9780300130546	Put	9780300130546		fulltext		Yale University Press	monograph	2008	2008						P	1024038009
A Box of Photographs		9780226308333							https://www.degruyter.com/openurl?genre=book&isbn=9780226308333		9780226308333		fulltext		University of Chicago Press	monograph	2013	2019						P	1125191428
A Carafe of Red		9780520951365							https://www.degruyter.com/openurl?genre=book&isbn=9780520951365	Asher	9780520951365		fulltext		University of California Press	monograph	2012	2012						P	774290520
A Carnival of Parting	9780520075351	9780520911550							https://www.degruyter.com/openurl?genre=book&isbn=9780520911550		9780520911550		fulltext		University of California Press	monograph	1992	1992		Reprint 2019	Grodzins Gold			P	1149469978
A Century of Nature		9780226284163							https://www.degruyter.com/openurl?genre=book&isbn=9780226284163		9780226284163		fulltext		University of Chicago Press	monograph	2003	2010			Lincoln			P	1135585776
A Century of Violence in Soviet Russia		9780300149968							https://www.degruyter.com/openurl?genre=book&isbn=9780300149968		9780300149968		fulltext		Yale University Press	monograph	2002	2002						P	884499448
A Changing Wind		9780300206586							https://www.degruyter.com/openurl?genre=book&isbn=9780300206586		9780300206586		fulltext		Yale University Press	monograph	2014	2014						P	879430095
