PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
Chan Before Chan		9780824886875							https://www.degruyter.com/openurl?genre=book&isbn=9780824886875		9780824886875		fulltext		University of Hawaii Press	monograph	2021	2021			Buswell			P	
Collected Works of C.G. Jung - Supplements / The Zofingia Lectures		9780691214597							https://www.degruyter.com/openurl?genre=book&isbn=9780691214597		9780691214597		fulltext		Princeton University Press	monograph	1984	2020	1					P	
Contemporary Chinese Short-Short Stories		9780231543637							https://www.degruyter.com/openurl?genre=book&isbn=9780231543637		9780231543637		fulltext		Columbia University Press	monograph	2017	2019						P	1083623254
Das akademische Hospital der Universität Giessen in dem Jahre 1848	9783112337158	9783112337165							https://www.degruyter.com/openurl?genre=book&isbn=9783112337165		9783112337165		fulltext		De Gruyter	monograph	1849	2020		Reprint 2020				P	1202624622
Das erste Auftreten und die Verbreitung der Blattern in Europa bis zur Einführung der Vaccination	9783112339534	9783112339541							https://www.degruyter.com/openurl?genre=book&isbn=9783112339541		9783112339541		fulltext		De Gruyter	monograph	1882	2020		Reprint 2020				P	1202625577
Das Gefühl	9783112334133	9783112334140							https://www.degruyter.com/openurl?genre=book&isbn=9783112334140		9783112334140		fulltext		De Gruyter	monograph	1912	2020		5., neu durchgeseh. Aufl. Reprint 2020				P	1202624830
Die Matrikel der Friedrich-Wilhelms-Universität zu Berlin 1810–1850	9783110231168	9783110303599							https://www.degruyter.com/openurl?genre=book&isbn=9783110303599		9783110303599		fulltext		De Gruyter	monograph	2010	2013			Bahl			P	1049618661
Dietrich's Index Philosophicus, 1983-2009		9783110230048							https://www.degruyter.com/openurl?genre=book&isbn=9783110230048		9783110230048		fulltext		De Gruyter	monograph	2011	2010	9					P	979906303
Euskal onomastika aplikatua XXI. mendean / Onomástica vasca aplicada en el siglo XXI / Onomastique basque apliquée au XXIe siècle / Applied Basque onomastics in the 21st century		9783968691206							https://www.degruyter.com/openurl?genre=book&isbn=9783968691206		9783968691206		fulltext		Vervuert Verlagsgesellschaft	monograph	2020	2021			González de Viñaspre			P	
Genuine Pretending		9780231545266							https://www.degruyter.com/openurl?genre=book&isbn=9780231545266		9780231545266		fulltext		Columbia University Press	monograph	2017	2019						P	1083619538
Global Intellectual History		9780231534598							https://www.degruyter.com/openurl?genre=book&isbn=9780231534598		9780231534598		fulltext		Columbia University Press	monograph	2013	2013			Moyn			P	1013951064
Handbuch der Bibliotheken		9783110230543							https://www.degruyter.com/openurl?genre=book&isbn=9783110230543		9783110230543		fulltext		De Gruyter Saur	monograph	2010	2010		16. Aufl.				P	992483167
Handbuch der Bibliotheken Deutschland, Österreich, Schweiz	9783598117862	9783598440434							https://www.degruyter.com/openurl?genre=book&isbn=9783598440434		9783598440434		fulltext		K. G. Saur	monograph	2009	2009		15. Aufl.				P	1004875311
Handbuch der Bibliotheken 2011		9783110235272							https://www.degruyter.com/openurl?genre=book&isbn=9783110235272		9783110235272		fulltext		De Gruyter Saur	monograph	2011	2011		17. Aufl.				P	992490288
Handbuch der Bibliotheken 2012	9783110274165	9783110277982							https://www.degruyter.com/openurl?genre=book&isbn=9783110277982		9783110277982		fulltext		De Gruyter Saur	monograph	2012	2012		18. ed.				P	840442156
Handbuch der Bibliotheken 2013	9783110302493	9783110304855							https://www.degruyter.com/openurl?genre=book&isbn=9783110304855		9783110304855		fulltext		De Gruyter Saur	monograph	2013	2013		19. Aufl.				P	1004882279
