PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Camera in the Garden of Eden		9781477308578							https://www.degruyter.com/openurl?genre=book&isbn=9781477308578	Coleman	9781477308578		fulltext		University of Texas Press	monograph	2016	2021						P	
A Companion to Greek Tragedy		9780292759695							https://www.degruyter.com/openurl?genre=book&isbn=9780292759695	Ferguson	9780292759695		fulltext		University of Texas Press	monograph	1972	2021						P	
A Cuban in Mayberry		9780292759244							https://www.degruyter.com/openurl?genre=book&isbn=9780292759244	Pérez Firmat	9780292759244		fulltext		University of Texas Press	monograph	2014	2021						P	
"a dirty hand"		9780292759176							https://www.degruyter.com/openurl?genre=book&isbn=9780292759176		9780292759176		fulltext		University of Texas Press	monograph	1969	2021						P	
A Grammar of Shaowu	9781501517723	9781501512483							https://www.degruyter.com/openurl?genre=book&isbn=9781501512483	Ngai	9781501512483		fulltext		De Gruyter Mouton	monograph	2021	2021						P	
A History of Slavery and Emancipation in Iran, 1800-1929		9781477311875							https://www.degruyter.com/openurl?genre=book&isbn=9781477311875	Mirzai	9781477311875		fulltext		University of Texas Press	monograph	2017	2021						P	
A Love Letter to Texas Women		9781477309643							https://www.degruyter.com/openurl?genre=book&isbn=9781477309643	Bird	9781477309643		fulltext		University of Texas Press	monograph	2016	2021						P	
A New Handbook of Rhetoric		9780271091532							https://www.degruyter.com/openurl?genre=book&isbn=9780271091532		9780271091532		fulltext		Penn State University Press	monograph	2021	2021			Kennerly			P	
A People Without a State		9781477309124							https://www.degruyter.com/openurl?genre=book&isbn=9781477309124	Eppel	9781477309124		fulltext		University of Texas Press	monograph	2016	2021						P	
A Perfectly Good Guitar		9781477312582							https://www.degruyter.com/openurl?genre=book&isbn=9781477312582	Holley	9781477312582		fulltext		University of Texas Press	monograph	2017	2021						P	
