PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Baedeker of Decadence		9780300159202							https://www.degruyter.com/openurl?genre=book&isbn=9780300159202	Hill	9780300159202		fulltext		Yale University Press	monograph	1992	1992						P	1024018470
A Basic Grammar of the Ugaritic Language	9780520039995	9780520342101							https://www.degruyter.com/openurl?genre=book&isbn=9780520342101	Segert	9780520342101		fulltext		University of California Press	monograph	1984	2020		Reprint 2020				P	1224277927
A Bat Man in the Tropics		9780520929487							https://www.degruyter.com/openurl?genre=book&isbn=9780520929487	Fleming	9780520929487		fulltext		University of California Press	monograph	2004	2003						P	55749134
A Better Planet		9780300248890							https://www.degruyter.com/openurl?genre=book&isbn=9780300248890		9780300248890		fulltext		Yale University Press	monograph	2019	2019						P	1138518996
A Bibliography on Grapes, Wines, Other Alcoholic Beverages, and Temperance	9780520316843	9780520316850							https://www.degruyter.com/openurl?genre=book&isbn=9780520316850	Borg	9780520316850		fulltext		University of California Press	monograph	1996	1996		Reprint 2019				P	1149439680
A Bishop's Tale		9780300130546							https://www.degruyter.com/openurl?genre=book&isbn=9780300130546	Put	9780300130546		fulltext		Yale University Press	monograph	2008	2008						P	1024038009
A Blueprint for War		9780300235265							https://www.degruyter.com/openurl?genre=book&isbn=9780300235265	Dunn	9780300235265		fulltext		Yale University Press	monograph	2018	2018						P	1125187755
A Brief History of Fascist Lies		9780520975835							https://www.degruyter.com/openurl?genre=book&isbn=9780520975835	Finchelstein	9780520975835		fulltext		University of California Press	monograph	2020	2020						P	1158123734
A Brief Natural History of Civilization		9780300252644							https://www.degruyter.com/openurl?genre=book&isbn=9780300252644	Bertness	9780300252644		fulltext		Yale University Press	monograph	2020	2020						P	1148871311
A Buried Past	9780520309074	9780520313538							https://www.degruyter.com/openurl?genre=book&isbn=9780520313538	Ichioka	9780520313538		fulltext		University of California Press	monograph	1974	2020		Reprint 2020				P	1198929492
