PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A inserção de "a gente" no quadro pronominal do português		9783865278494							https://www.degruyter.com/openurl?genre=book&isbn=9783865278494	Santos Lopes	9783865278494		fulltext		Vervuert Verlagsgesellschaft	monograph	2003	2002						P	1091669926
A Postmodern Revelation		9783964563606							https://www.degruyter.com/openurl?genre=book&isbn=9783964563606	Chevalier	9783964563606		fulltext		Vervuert Verlagsgesellschaft	monograph	1997	1997						P	1100435104
A Ship laden with Dollars		9783964560063							https://www.degruyter.com/openurl?genre=book&isbn=9783964560063	Böttcher	9783964560063		fulltext		Vervuert Verlagsgesellschaft	monograph	2007	2007						P	1100455783
A través de la trama		9783954872138							https://www.degruyter.com/openurl?genre=book&isbn=9783954872138	Yurkievich	9783954872138		fulltext		Vervuert Verlagsgesellschaft	monograph	2007	2007						P	1091696709
A Vanguarda Literária no Brasil		9783964560070							https://www.degruyter.com/openurl?genre=book&isbn=9783964560070	Jackson	9783964560070		fulltext		Vervuert Verlagsgesellschaft	monograph	1998	1998						P	1100464154
A veces escribo como si trazase un boceto		9783964566225							https://www.degruyter.com/openurl?genre=book&isbn=9783964566225	Mendoza Bolio	9783964566225		fulltext		Vervuert Verlagsgesellschaft	monograph	2010	2010						P	1100440980
Academia burlesca que se hizo en Buen Retiro a la majestad de Filipo Cuarto el Grande : Año de 1637		9783865279514							https://www.degruyter.com/openurl?genre=book&isbn=9783865279514		9783865279514		fulltext		Vervuert Verlagsgesellschaft	monograph	2007	2007			Teresa			P	1091705141
Acercamientos al teatro actual (1970-1995)		9783964563811							https://www.degruyter.com/openurl?genre=book&isbn=9783964563811		9783964563811		fulltext		Vervuert Verlagsgesellschaft	monograph	1997	1997			Toro			P	1102800622
Acis y Galatea		9783954871117							https://www.degruyter.com/openurl?genre=book&isbn=9783954871117		9783954871117		fulltext		Vervuert Verlagsgesellschaft	monograph	2011	2012			Bonmati			P	1091687776
Actas del I Encuentro Franco-Alemán de Hispanistas		9783964562227							https://www.degruyter.com/openurl?genre=book&isbn=9783964562227		9783964562227		fulltext		Vervuert Verlagsgesellschaft	monograph	1991	1991			Botrel			P	1100451316
Actas del IX Congreso de la Asociación Internacional de Hispanistas		9783964562180							https://www.degruyter.com/openurl?genre=book&isbn=9783964562180		9783964562180		fulltext		Vervuert Verlagsgesellschaft	monograph	1989	1989			ed.			P	1100453214
Actas del IX Congreso Internacional de Historia de la Lengua		9783964566492							https://www.degruyter.com/openurl?genre=book&isbn=9783964566492		9783964566492		fulltext		Vervuert Verlagsgesellschaft	monograph	2015	2015			Candón			P	1100445463
Actas del V Congreso Internacional de la Asociación		9783964564894							https://www.degruyter.com/openurl?genre=book&isbn=9783964564894		9783964564894		fulltext		Vervuert Verlagsgesellschaft	monograph	2001	2001			Strosetzki			P	1100435937
Actas del XVI Congreso de la Asociación Internacional de Hispanistas		9783964566232							https://www.degruyter.com/openurl?genre=book&isbn=9783964566232		9783964566232		fulltext		Vervuert Verlagsgesellschaft	monograph	2010	2010			Civil			P	1100433346
Adiós España vieja		9783964564498							https://www.degruyter.com/openurl?genre=book&isbn=9783964564498	Witte	9783964564498		fulltext		Vervuert Verlagsgesellschaft	monograph	1996	1996						P	1100458996
Adquisición de lenguaje / Adquisição da linguagem.		9783964562081							https://www.degruyter.com/openurl?genre=book&isbn=9783964562081	Meisel	9783964562081		fulltext		Vervuert Verlagsgesellschaft	monograph	1986	1986						P	1100464034
Afro-Bolivian Spanish		9783865279026							https://www.degruyter.com/openurl?genre=book&isbn=9783865279026	Lipski	9783865279026		fulltext		Vervuert Verlagsgesellschaft	monograph	2008	2008						P	888267326
Afro-Latinoamérica, 1800-2000		9783954872695							https://www.degruyter.com/openurl?genre=book&isbn=9783954872695	Andrews	9783954872695		fulltext		Vervuert Verlagsgesellschaft	monograph	2007	2007						P	1018243379
Akten, Archive, Absolutismus?		9783954870004							https://www.degruyter.com/openurl?genre=book&isbn=9783954870004	Grebe	9783954870004		fulltext		Vervuert Verlagsgesellschaft	monograph	2012	2012						P	908044608
Akten des Deutschen Hispanistentages, Göttingen 1991		9783964568106							https://www.degruyter.com/openurl?genre=book&isbn=9783964568106	Strosetzki	9783964568106		fulltext		Vervuert Verlagsgesellschaft	monograph	1993	1993						P	1100455637
Alejo Carpentier y la cultura del surrealismo en América Latina		9783865278142							https://www.degruyter.com/openurl?genre=book&isbn=9783865278142	Birkenmaier	9783865278142		fulltext		Vervuert Verlagsgesellschaft	monograph	2006	2006						P	607244048
