PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2014-11-15		7	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2014-12-20	132	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2014-10-26	5	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2014-09-20	32	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2014-11-28	49	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2014-12-20	24	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2014-12-20	136	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2014-10-15	3	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2014-11-28	37	4	https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2014-12-20	10	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2014-12-12	25	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P
Cognitive Semiotics	1662-1425	2235-2066	2007-09-10	1	1	2014-09-27	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2235-2066		2235-2066		fulltext		De Gruyter Mouton	serial								P
Communications	0341-2059	1613-4087	1976-01-01	2	1	2014-11-21	39	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P
