PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2019-11-20	19	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								P
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2019-12-20	8	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2019-07-31	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2019-10-19	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2019-12-20	104	12	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2019-11-01	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Architectura	0044-863X	2569-1554	2016-05-20	46	1	2019-10-20	49	2	https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2019-12-15	67	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2019-10-30	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2019-12-15	29	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2019-07-20	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2019-09-30	31	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2019-12-20	73	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2019-12-16	26	4	https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P
i-com	1618-162X	2196-6826	2001-08-20		O	2019-12-15	18	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2004-01-01	1	1	2019-12-16	20	6	https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext		De Gruyter	serial								P
International Journal of Nonlinear Sciences and Numerical Simulation	1565-1339	2191-0294	2000-03-01	1	1-8	2019-12-10	20	7-8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0294		2191-0294		fulltext		De Gruyter	serial								P
International Journal of Turbo & Jet-Engines 	0334-0082	2191-0332	1985-03-01	2	1	2019-12-15	36	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0332		2191-0332		fulltext		De Gruyter	serial								P
it - Information Technology	1611-2776	2196-7032	1959-06-20		1	2019-10-01	61	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2196-7032		2196-7032		fulltext		De Gruyter Oldenbourg	serial								P
Journal für die reine und angewandte Mathematik	0075-4102	1435-5345	1826-01-01		1	2019-12-31		757	https://www.degruyter.com/openurl?genre=journal&issn=1435-5345		1435-5345		fulltext		De Gruyter	serial								P
Journal of Applied Analysis	1425-6908	1869-6082	1995-06-01	1	1	2019-12-30	25	2	https://www.degruyter.com/openurl?genre=journal&issn=1869-6082		1869-6082		fulltext		De Gruyter	serial								P
Journal of Applied Geodesy	1862-9016	1862-9024	2007-03-22	1	1	2019-10-25	13	4	https://www.degruyter.com/openurl?genre=journal&issn=1862-9024		1862-9024		fulltext		De Gruyter	serial								P
