PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Advanced Nonlinear Studies	1536-1365	2169-0375	2001-08-01	1	1	2019-11-20	19	4	https://www.degruyter.com/openurl?genre=journal&issn=2169-0375		2169-0375		fulltext		De Gruyter	serial								P
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2019-12-20	8	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2019-07-31	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2019-10-19	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2	2019-12-20	104	12	https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2019-11-01	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1	2019-12-20	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2019-11-20	400	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2019-12-29	62	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2019-09-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								P
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2019-12-30	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P
Chemistry International	0193-6484	1365-2192	1997-06-20	19	4	2019-12-20	41	4	https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext		De Gruyter	serial								P
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2019-11-15	57	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2019-10-30	19	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2019-12-20	37	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P
Diagnosis	2194-8011	2194-802X	2014-01-31	1	1	2019-12-30	6	4	https://www.degruyter.com/openurl?genre=journal&issn=2194-802X		2194-802X		fulltext		De Gruyter	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2019-12-15	29	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2019-12-20	34	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2019-07-20	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2019-12-15	8	1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2019-09-30	31	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2019-12-20	73	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P
