PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
AIDA Online		1865-0082	2009-12-15						https://doi.org/10.1515/AIDA		40064		fulltext		K. G. Saur	database								P
Allgemeines Künstlerlexikon - Internationale Künstlerdatenbank - Online		1865-0511	2009-12-15						https://doi.org/10.1515/AKL		40068		fulltext		K. G. Saur	database								P
Anorganik Online		2366-2719	2017-03-31						https://doi.org/10.1515/anorg		135559		fulltext		De Gruyter	database								P
Archiv Bibliographia Judaica – Deutschsprachiges Judentum Online			2021-09-30						https://doi.org/10.1515/abj		182750		fulltext		De Gruyter Oldenbourg	database								P
Art Market Dictionary – AMD Online		2365-8967	2021-11-15						https://doi.org/10.1515/amd		133163		fulltext		De Gruyter	database								P
Bibliotheca Teubneriana Latina Online		2193-4282	2009-07-17						https://doi.org/10.1515/btl		20540		fulltext		De Gruyter	database								P
Building Types Online		2297-6442	2016-03-31						https://doi.org/10.1515/bdt		112845		fulltext		Birkhäuser	database								P
Byzantinische Bibliographie Online		2193-7990	2012-07-07						https://doi.org/10.1515/byz		40191		fulltext		De Gruyter	database								P
Cognitive Linguistics Bibliography (CogBib)		1861-048X	2010-03-15						https://doi.org/10.1515/cogbib		40595		fulltext		De Gruyter Mouton	database								F
Der Neue Overbeck			2014-12-11						https://doi.org/10.1515/overbeck		193620		fulltext		De Gruyter	database								P
Deutsche Biographische Enzyklopädie Online		2193-2832	2009-12-15						https://doi.org/10.1515/dbe		12863		fulltext		K. G. Saur	database								P
Deutsches Literatur-Lexikon Online		2509-940X	2017-03-31						https://doi.org/10.1515/dllo		147618		fulltext		De Gruyter	database								P
Deutsches Theater-Lexikon Online			2019-08-31						https://doi.org/10.1515/dtlo		166776		fulltext		De Gruyter	database								P
Deutsch-jüdische Quellen aus Palästina / Israel			2016-03-31						https://doi.org/10.1515/qpi		131787		fulltext		De Gruyter Oldenbourg	database								P
Die Matrikel der Universität Berlin zwischen Reform und Revolution (1810-1850)			2013-02-18						https://doi.org/10.1515/matrikel		193618		fulltext		De Gruyter	database								P
Die Tagebücher von Joseph Goebbels Online			2012-07-27						https://doi.org/10.1515/tjgo		40076		fulltext		De Gruyter	database								P
Dietrich's Index Philosophicus			2010-12-09						https://doi.org/10.1515/iphil		193604		fulltext		De Gruyter	database								P
Encyclopedia of Jewish-Christian Relations Online		2569-3530	2019-11-22						https://doi.org/10.1515/ejcro		158445		fulltext		De Gruyter	database								P
Encyclopedia of the Bible and Its Reception Online		2193-2840	2010-10-31						https://doi.org/10.1515/ebr		21400		fulltext		De Gruyter	database								P
Encyclopedic Dictionary of Semiotics			2010-02-09						https://doi.org/10.1515/eds		193612		fulltext		De Gruyter Mouton	database								P
Enhanced Electronic Grammars Online		2198-770X	2014-08-01						https://doi.org/10.1515/eeg		103526		fulltext		De Gruyter Mouton	database								P
Enzyklopädie des Märchens Online			2016-10-01						https://doi.org/10.1515/emo		135625		fulltext		De Gruyter	database								P
