PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P
Acrocephalus		2199-6067	2009-10-21	30	140				https://sciendo.com/journal/ACRO		2199-6067		fulltext		Sciendo	serial								F
Acta Biologica Marisiensis		2668-5124	2019-09-30	2	1				https://sciendo.com/journal/ABMJ		2668-5124		fulltext		Sciendo	serial								F
Acta Chemica Iasi		2067-2446	2013-04-16	21	1				https://sciendo.com/journal/ACHI		2067-2446		fulltext		Sciendo	serial								F
Acta Chemica Malaysia		2576-6732	2019-04-30	3	1				https://sciendo.com/journal/ACMY		2576-6732		fulltext		Sciendo	serial								F
Acta Chimica Slovaca		1339-3065	2012-12-10	5	1				https://sciendo.com/journal/ACS		1339-3065		fulltext		Sciendo	serial								F
Acta Chirurgica Latviensis		2199-5737	2010-08-18	2009	9				https://sciendo.com/journal/CHILAT		2199-5737		fulltext		Sciendo	serial								F
Acta Economica Et Turistica		1849-921X	2016-06-16	1	1				https://sciendo.com/journal/AET		1849-921X		fulltext		Sciendo	serial								F
Acta Educationis Generalis		2585-7444	2015-04-16	5	1				https://sciendo.com/journal/ATD		2585-7444		fulltext		Sciendo	serial								F
Acta Environmentalica Universitatis Comenianae		1339-9802	2016-04-16	24	1				https://sciendo.com/journal/AEUC		1339-9802		fulltext		Sciendo	serial								F
Acta Facultatis Educationis Physicae Universitatis Comenianae		2585-8777	2015-04-16	55	1				https://sciendo.com/journal/AFEPUC		2585-8777		fulltext		Sciendo	serial								F
Acta Geoturistica		1338-2292	2017-04-16	8	1				https://sciendo.com/journal/AGTA		1338-2292		fulltext		Sciendo	serial								F
Acta Haematologica Polonica		2300-7117	2018-03-30	49	1				https://sciendo.com/journal/AHP		2300-7117		fulltext		Sciendo	serial								F
Acta Horticulturae et Regiotecturae		1338-5259	2013-04-16	16	1				https://sciendo.com/journal/AHR		1338-5259		fulltext		Sciendo	serial								F
Acta Marisiensis - Seria Medica		2668-7763	2013-03-17	59	1				https://sciendo.com/journal/AMMA		2668-7763		fulltext		Sciendo	serial								F
Acta Marisiensis. Philologia		2668-9596	2020-07-20	1	1				https://sciendo.com/journal/AMPH		2668-9596		fulltext		Sciendo	serial								F
Acta Marisiensis. Seria Historia		2668-9715	2019-12-20	19	1				https://sciendo.com/journal/AMSH		2668-9715		fulltext		Sciendo	serial								F
Acta Marisiensis. Seria Oeconomica		2668-3989	2019-09-30	13	1				https://sciendo.com/journal/AMSO		2668-3989		fulltext		Sciendo	serial								F
Acta Marisiensis. Seria Technologica		2668-4217	2019-07-30	16	1				https://sciendo.com/journal/AMSET		2668-4217		fulltext		Sciendo	serial								F
Acta Materialia Transylvanica		2601-8799	2018-12-30	8	1				https://sciendo.com/journal/AMT		2601-8799		fulltext		Sciendo	serial								F
Acta Mechanica et Automatica		2300-5319	2013-03-30	7	1				https://sciendo.com/journal/AMA		2300-5319		fulltext		Sciendo	serial								F
Acta Medica Bulgarica		2719-5384	2014-09-08	41	1				https://sciendo.com/journal/AMB		2719-5384		fulltext		Sciendo	serial								F
Acta Medica Martiniana		1338-4139	2011-06-03	11	1				https://sciendo.com/journal/ACM		1338-4139		fulltext		Sciendo	serial								F
Acta Medica Transilvanica		2285-7079	2019-06-30	24	1				https://sciendo.com/journal/AMTSB		2285-7079		fulltext		Sciendo	serial								F
