PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bowl for a Coin		9780824882617							https://www.degruyter.com/openurl?genre=book&isbn=9780824882617	Farris	9780824882617		fulltext		University of Hawaii Press	monograph	2019	2019						F	1129597293
A Bridgehead to Africa	9783110684964	9783110685015							https://www.degruyter.com/openurl?genre=book&isbn=9783110685015	Alghafal	9783110685015		fulltext		De Gruyter	monograph	2021	2021						F	1243310618
A Buddhist Ritual Manual on Agriculture	9783110617658	9783110621051							https://www.degruyter.com/openurl?genre=book&isbn=9783110621051	Hidas	9783110621051		fulltext		De Gruyter	monograph	2019	2019						F	1121057604
A Coat of Many Colors		9781644693261							https://www.degruyter.com/openurl?genre=book&isbn=9781644693261		9781644693261		fulltext		Academic Studies Press	monograph	2011	2020						F	1158110383
A Colonial Affair		9781501713071							https://www.degruyter.com/openurl?genre=book&isbn=9781501713071	Agmon	9781501713071		fulltext		Cornell University Press	monograph	2017	2017						F	974796316
A Companion to Andrei Platonov's The Foundation Pit		9781618116970							https://www.degruyter.com/openurl?genre=book&isbn=9781618116970	Seifrid	9781618116970		fulltext		Academic Studies Press	monograph	2009	2017						F	1135589881
A Companion to the Cavendishes		9781641891783							https://www.degruyter.com/openurl?genre=book&isbn=9781641891783		9781641891783		fulltext		ARC, Amsterdam University Press	monograph	2020	2021			Hopkins			F	1233041141
A COPD Primer	9783110467994	9783110468007							https://www.degruyter.com/openurl?genre=book&isbn=9783110468007	Panos	9783110468007		fulltext		De Gruyter Open Poland	monograph	2015	2016						F	999354762
A History of Bulgarian Literature 865–1944	9789027920089	9783110810608							https://www.degruyter.com/openurl?genre=book&isbn=9783110810608	Moser	9783110810608		fulltext		De Gruyter Mouton	monograph	1972	2019		Reprint 2019				F	1100457498
A Key to Dutch History		9789048508068							https://www.degruyter.com/openurl?genre=book&isbn=9789048508068	Oostrom	9789048508068		fulltext		Amsterdam University Press	monograph	2007	2007						F	1088916273
A "Labyrinth of Linkages" in Tolstoy's Anna Karenina		9781618116796							https://www.degruyter.com/openurl?genre=book&isbn=9781618116796		9781618116796		fulltext		Academic Studies Press	monograph	2010	2017						F	1135570087
A Lecture on Russian History	9789027934567	9783110880038							https://www.degruyter.com/openurl?genre=book&isbn=9783110880038		9783110880038		fulltext		De Gruyter Mouton	monograph	1983	2019		2nd ed., 10th printing. Reprint 2019				F	1091666358
A Matter of Complexity	9781501511332	9781501503238							https://www.degruyter.com/openurl?genre=book&isbn=9781501503238		9781501503238		fulltext		De Gruyter Mouton	monograph	2016	2016			Herrmann			F	951149126
A New Dawn for the Second Sex		9789048522279							https://www.degruyter.com/openurl?genre=book&isbn=9789048522279	Vintges	9789048522279		fulltext		Amsterdam University Press	monograph	2017	2017						F	1058476208
A New Science for Future		9783839452653							https://www.degruyter.com/openurl?genre=book&isbn=9783839452653	Hirsbrunner	9783839452653		fulltext		transcript Verlag	monograph	2021	2021						F	
A Peep at the Blacks'	9783110468236	9783110468243							https://www.degruyter.com/openurl?genre=book&isbn=9783110468243	Clark	9783110468243		fulltext		De Gruyter Open Poland	monograph	2015	2016						F	980246403
A Poetics of Neurosis		9783839441329							https://www.degruyter.com/openurl?genre=book&isbn=9783839441329		9783839441329		fulltext		transcript Verlag	monograph	2018	2019						F	1059280557
A Prehistory of Hinduism	9783110517361	9783110517378							https://www.degruyter.com/openurl?genre=book&isbn=9783110517378	Devadevan	9783110517378		fulltext		De Gruyter Open Poland	monograph	2019	2016						F	980259665
A Proximate Remove		9780520382558							https://www.degruyter.com/openurl?genre=book&isbn=9780520382558	Jackson	9780520382558		fulltext		University of California Press	monograph	2021	2021						F	
