PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
„… dem Kaiser Treue und Gehorsam …“		9783205791188							https://www.degruyter.com/openurl?genre=book&isbn=9783205791188	Voithofer	9783205791188		fulltext	perpetual access	Böhlau Verlag	monograph	2011	2011-04-01						P	979760129
, Fasc 2	978-3-11-001392-4	9783110832556									9783110832556		fulltext	withdrawn	De Gruyter	monograph	1963		2	1891 (Nachdr. )				P	
, Fasc 4 et 5	978-3-11-001418-1	9783110825473									9783110825473		fulltext	withdrawn	De Gruyter	monograph	1969		5					P	
"... für unseren Betrieb lebensnotwendig ...": Georg von Holtzbrinck als Verlagsunternehmer im Dritten Reich	978-3-598-24906-8	9783598441240							https://www.degruyter.com/openurl?genre=book&isbn=9783598441240	Garke-Rothbart	9783598441240		fulltext	perpetual access	K. G. Saur	monograph	2008	2009-04-07						P	979947945
"... nach Vorschlägen der Vaterländischen Front"		9783205790877							https://www.degruyter.com/openurl?genre=book&isbn=9783205790877	Stock	9783205790877		fulltext	perpetual access	Böhlau Verlag	monograph	2010	2010-10-01						P	979814166
"… ständiger Verdruss und viele Verletzungen."		9783205793380							https://www.degruyter.com/openurl?genre=book&isbn=9783205793380	Kriechbaumer	9783205793380		fulltext	perpetual access	Böhlau Verlag	monograph	2014	2014-06-10		54 Tabellen				P	960756095
... wesentlich mehr Fälle als angenommen		9783205118862							https://www.degruyter.com/openurl?genre=book&isbn=9783205118862		9783205118862		fulltext	perpetual access	Böhlau Verlag	monograph	2009	2015-02-19		Reprint 2014	Anderl			P	979643749
A Bibliography of the Constitutions and Laws of the American Indians		9780674182806							https://www.degruyter.com/openurl?genre=book&isbn=9780674182806	Hargrett	9780674182806		fulltext	perpetual access	Harvard University Press	monograph	1947	2014-03-12		Reprint 2014				P	900850903
A Bibliography of the Theophrastan Character in English with Several Portrait Characters		9780674282438								Greenough	9780674282438		fulltext	withdrawn	Harvard University Press	monograph	1947	2014-02-24		Reprint 2014				P	900851058
A Child's Work		9780226644981							https://www.degruyter.com/openurl?genre=book&isbn=9780226644981	Paley	9780226644981		fulltext	perpetual access	University of Chicago Press	monograph	2004	2009-09-15						P	1248760061
