PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Culture of Corruption?		9789633865095							https://www.degruyter.com/openurl?genre=book&isbn=9789633865095		9789633865095		fulltext		Central European University Press	monograph	2000	2022			Miller			P	
A Suburb of Europe		9789633865538							https://www.degruyter.com/openurl?genre=book&isbn=9789633865538	Jedlicki	9789633865538		fulltext		Central European University Press	monograph	1999	2022						P	
Alienated Women		9789633865101							https://www.degruyter.com/openurl?genre=book&isbn=9789633865101	Borkowska	9789633865101		fulltext		Central European University Press	monograph	2001	2022						P	
Be Faithful Unto Death		9789633865118							https://www.degruyter.com/openurl?genre=book&isbn=9789633865118	Móricz	9789633865118		fulltext		Central European University Press	monograph	1996	2022						P	
Beloved Children		9789633865125							https://www.degruyter.com/openurl?genre=book&isbn=9789633865125		9789633865125		fulltext		Central European University Press	monograph	2001	2022			Peter			P	
Between Exile and Asylum		9789633865132							https://www.degruyter.com/openurl?genre=book&isbn=9789633865132	Matvejević	9789633865132		fulltext		Central European University Press	monograph	2004	2022						P	
Bosnia the Good		9789633865149							https://www.degruyter.com/openurl?genre=book&isbn=9789633865149	Mahmutćehajić	9789633865149		fulltext		Central European University Press	monograph	2000	2022						P	
Capitalism with a Comrade's Face		9789633865156							https://www.degruyter.com/openurl?genre=book&isbn=9789633865156		9789633865156		fulltext		Central European University Press	monograph	1998	2022			Frydman			P	
Extending the Borders of Russian History		9789633865163							https://www.degruyter.com/openurl?genre=book&isbn=9789633865163		9789633865163		fulltext		Central European University Press	monograph	2003	2022			Siefert			P	
Fears and Symbols		9789633865170							https://www.degruyter.com/openurl?genre=book&isbn=9789633865170	Hankiss	9789633865170		fulltext		Central European University Press	monograph	2001	2022						P	
Flying Against the Arrow		9789633865187							https://www.degruyter.com/openurl?genre=book&isbn=9789633865187	Patapievici	9789633865187		fulltext		Central European University Press	monograph	2003	2022						P	
Germany 1945-1990		9789633865521							https://www.degruyter.com/openurl?genre=book&isbn=9789633865521	Weber	9789633865521		fulltext		Central European University Press	monograph	2004	2022						P	
Hungary and the Habsburgs, 1765-1800		9789633865194							https://www.degruyter.com/openurl?genre=book&isbn=9789633865194	Balázs	9789633865194		fulltext		Central European University Press	monograph	1997	2022						P	
Language: A Right and a Resource		9789633865217							https://www.degruyter.com/openurl?genre=book&isbn=9789633865217		9789633865217		fulltext		Central European University Press	monograph	1999	2022			Kontra			P	
Literacy and Written Culture in Early Modern Central Europe		9789633865224							https://www.degruyter.com/openurl?genre=book&isbn=9789633865224	Tóth	9789633865224		fulltext		Central European University Press	monograph	2000	2022						P	
