PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Book to Burn and a Book to Keep (Hidden)		9780231541534							https://www.degruyter.com/openurl?genre=book&isbn=9780231541534	Li	9780231541534		fulltext		Columbia University Press	monograph	2016	2016						P	984651741
A Brief History of Entrepreneurship		9780231542814							https://www.degruyter.com/openurl?genre=book&isbn=9780231542814	Carlen	9780231542814		fulltext		Columbia University Press	monograph	2016	2016						P	999371255
A Dharma Reader		9780231542159							https://www.degruyter.com/openurl?genre=book&isbn=9780231542159	Olivelle	9780231542159		fulltext		Columbia University Press	monograph	2016	2016						P	984686263
A History of Brooklyn Bridge Park		9780231542944							https://www.degruyter.com/openurl?genre=book&isbn=9780231542944	Webster	9780231542944		fulltext		Columbia University Press	monograph	2016	2018						P	1076398356
A History of Housing in New York City		9780231543101							https://www.degruyter.com/openurl?genre=book&isbn=9780231543101	Plunz	9780231543101		fulltext		Columbia University Press	monograph	2016	2018		2. ed.				P	984682001
A New Vocabulary for Global Modernism		9780231543064							https://www.degruyter.com/openurl?genre=book&isbn=9780231543064		9780231543064		fulltext		Columbia University Press	monograph	2016	2016			Walkowitz			P	979574179
A None's Story		9780231541251							https://www.degruyter.com/openurl?genre=book&isbn=9780231541251	Nicolaou	9780231541251		fulltext		Columbia University Press	monograph	2016	2016						P	957505520
A Rasa Reader		9780231540698							https://www.degruyter.com/openurl?genre=book&isbn=9780231540698	Pollock	9780231540698		fulltext		Columbia University Press	monograph	2016	2016						P	984688191
A Survival Guide to the Misinformation Age		9780231541022							https://www.degruyter.com/openurl?genre=book&isbn=9780231541022	Helfand	9780231541022		fulltext		Columbia University Press	monograph	2016	2016						P	984650599
A Theory of Imperialism		9780231542265							https://www.degruyter.com/openurl?genre=book&isbn=9780231542265	Patnaik	9780231542265		fulltext		Columbia University Press	monograph	2016	2016						P	984682000
Acute Melancholia and Other Essays		9780231527439							https://www.degruyter.com/openurl?genre=book&isbn=9780231527439	Hollywood	9780231527439		fulltext		Columbia University Press	monograph	2016	2016						P	984688396
Adorno's Theory of Philosophical and Aesthetic Truth		9780231542203							https://www.degruyter.com/openurl?genre=book&isbn=9780231542203	Hulatt	9780231542203		fulltext		Columbia University Press	monograph	2016	2016						P	984686264
Altered States		9780231541411							https://www.degruyter.com/openurl?genre=book&isbn=9780231541411	Osto	9780231541411		fulltext		Columbia University Press	monograph	2016	2016						P	984683210
An Annotated Bibliography for Taiwan Film Studies		9780231540339							https://www.degruyter.com/openurl?genre=book&isbn=9780231540339		9780231540339		fulltext		Columbia University Press	monograph	2016	2016			Cheng			P	979742553
