PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief History of the Masses		9780231517928							https://www.degruyter.com/openurl?genre=book&isbn=9780231517928	Jonsson	9780231517928		fulltext		Columbia University Press	monograph	2008	2008						P	979720513
A Celebration of the World’s Barrier Islands		9780231534055							https://www.degruyter.com/openurl?genre=book&isbn=9780231534055	Fraser	9780231534055		fulltext		Columbia University Press	monograph	2003	2003						P	979909957
A Confiscated Memory		9780231526265							https://www.degruyter.com/openurl?genre=book&isbn=9780231526265	Weiss	9780231526265		fulltext		Columbia University Press	monograph	2011	2011						P	979574502
A Framework for Immigration		9780231506335							https://www.degruyter.com/openurl?genre=book&isbn=9780231506335	Segal	9780231506335		fulltext		Columbia University Press	monograph	2002	2002						P	953659396
A Genetic and Cultural Odyssey		9780231508582							https://www.degruyter.com/openurl?genre=book&isbn=9780231508582	Stone	9780231508582		fulltext		Columbia University Press	monograph	2005	2005						P	979585789
A Hunger for Aesthetics		9780231526784							https://www.degruyter.com/openurl?genre=book&isbn=9780231526784	Kelly	9780231526784		fulltext		Columbia University Press	monograph	2012	2012						P	979739701
A Korean War Captive in Japan, 1597–1600		9780231535113							https://www.degruyter.com/openurl?genre=book&isbn=9780231535113		9780231535113		fulltext		Columbia University Press	monograph	2013	2013			Robinson			P	862940408
A Limited Partnership		9780231506649							https://www.degruyter.com/openurl?genre=book&isbn=9780231506649	Wineburg	9780231506649		fulltext		Columbia University Press	monograph	2001	2001						P	979574544
A Natural History of the Common Law		9780231503495							https://www.degruyter.com/openurl?genre=book&isbn=9780231503495	Milsom	9780231503495		fulltext		Columbia University Press	monograph	2003	2003						P	704692638
A Philosophical Retrospective		9780231526791							https://www.degruyter.com/openurl?genre=book&isbn=9780231526791	Montefiore	9780231526791		fulltext		Columbia University Press	monograph	2011	2011						P	979739702
A Possible Peace Between Israel and Palestine		9780231511193							https://www.degruyter.com/openurl?genre=book&isbn=9780231511193		9780231511193		fulltext		Columbia University Press	monograph	2007	2007						P	979879900
A Private Life		9780231506915							https://www.degruyter.com/openurl?genre=book&isbn=9780231506915		9780231506915		fulltext		Columbia University Press	monograph	2004	2004						P	979953804
A Short History of Opera		9780231507721							https://www.degruyter.com/openurl?genre=book&isbn=9780231507721	Williams	9780231507721		fulltext		Columbia University Press	monograph	2003	2003		fourth edition				P	704692527
A Token of My Affection		9780231509251							https://www.degruyter.com/openurl?genre=book&isbn=9780231509251	Shank	9780231509251		fulltext		Columbia University Press	monograph	2004	2004						P	979585791
A Tragedy of Democracy		9780231520126							https://www.degruyter.com/openurl?genre=book&isbn=9780231520126	Robinson	9780231520126		fulltext		Columbia University Press	monograph	2009	2009						P	979573646
A Woman Soldier's Own Story		9780231502740							https://www.degruyter.com/openurl?genre=book&isbn=9780231502740	Xie	9780231502740		fulltext		Columbia University Press	monograph	2001	2001						P	979969153
Abandoned to Lust		9780231510042							https://www.degruyter.com/openurl?genre=book&isbn=9780231510042	Knust	9780231510042		fulltext		Columbia University Press	monograph	2005	2005						P	979574227
Abominable Science!		9780231526814							https://www.degruyter.com/openurl?genre=book&isbn=9780231526814	Loxton	9780231526814		fulltext		Columbia University Press	monograph	2013	2013						P	979967659
Achieving Permanence for Older Children and Youth in Foster Care		9780231519328							https://www.degruyter.com/openurl?genre=book&isbn=9780231519328		9780231519328		fulltext		Columbia University Press	monograph	2009	2009			Kerman			P	979626410
Acre		9780231506038							https://www.degruyter.com/openurl?genre=book&isbn=9780231506038	Philipp	9780231506038		fulltext		Columbia University Press	monograph	2002	2002						P	979720113
Active Social Capital		9780231500821							https://www.degruyter.com/openurl?genre=book&isbn=9780231500821	Krishna	9780231500821		fulltext		Columbia University Press	monograph	2002	2002						P	979718784
