PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Factious People		9780801455346							https://www.degruyter.com/openurl?genre=book&isbn=9780801455346	Bonomi	9780801455346		fulltext		Cornell University Press	monograph	2015	2015						P	979833554
A Poetics of Transformation		9780801466892							https://www.degruyter.com/openurl?genre=book&isbn=9780801466892	Malamud	9780801466892		fulltext		Cornell University Press	monograph	2014	2014						P	1076643316
A Sarong for Clio		9781501725937							https://www.degruyter.com/openurl?genre=book&isbn=9781501725937		9781501725937		fulltext		Cornell University Press	monograph	2015	2018			Peleggi			P	1083623761
A Scrap of Paper		9780801470653							https://www.degruyter.com/openurl?genre=book&isbn=9780801470653	Hull	9780801470653		fulltext		Cornell University Press	monograph	2014	2014						P	877868671
A Tremendous Thing		9780801454752							https://www.degruyter.com/openurl?genre=book&isbn=9780801454752	Jusdanis	9780801454752		fulltext		Cornell University Press	monograph	2015	2015						P	979743788
A World of Regions		9781501700385							https://www.degruyter.com/openurl?genre=book&isbn=9781501700385	Katzenstein	9781501700385		fulltext		Cornell University Press	monograph	2015	2015						P	1083604778
A World of Work		9780801456428							https://www.degruyter.com/openurl?genre=book&isbn=9780801456428		9780801456428		fulltext		Cornell University Press	monograph	2015	2015						P	1054866381
After Newspeak		9780801470578							https://www.degruyter.com/openurl?genre=book&isbn=9780801470578	Gorham	9780801470578		fulltext		Cornell University Press	monograph	2014	2014						P	979778561
Against Immediate Evil		9780801454738							https://www.degruyter.com/openurl?genre=book&isbn=9780801454738	Johnstone	9780801454738		fulltext		Cornell University Press	monograph	2015	2015						P	979630432
Agricultural Product Prices, Fifth Edition		9780801471117							https://www.degruyter.com/openurl?genre=book&isbn=9780801471117	Kaiser	9780801471117		fulltext		Cornell University Press	monograph	2014	2014						P	984651016
Air Pollutant Deposition and Its Effects on Natural Resources in New York State		9781501700811							https://www.degruyter.com/openurl?genre=book&isbn=9781501700811	Sullivan	9781501700811		fulltext		Cornell University Press	monograph	2015	2015						P	979581316
Alexander Yakovlev		9781501756719							https://www.degruyter.com/openurl?genre=book&isbn=9781501756719	Pipes	9781501756719		fulltext		Cornell University Press	monograph	2015	2021						P	
America Inc.?		9780801471131							https://www.degruyter.com/openurl?genre=book&isbn=9780801471131	Weiss	9780801471131		fulltext		Cornell University Press	monograph	2014	2014						P	875895013
American Biodefense		9780801455162							https://www.degruyter.com/openurl?genre=book&isbn=9780801455162	Smith	9780801455162		fulltext		Cornell University Press	monograph	2014	2014						P	979723451
American Pendulum		9781501701191							https://www.degruyter.com/openurl?genre=book&isbn=9781501701191	Hemmer	9781501701191		fulltext		Cornell University Press	monograph	2015	2015						P	919921511
American Power after the Financial Crisis		9780801454790							https://www.degruyter.com/openurl?genre=book&isbn=9780801454790	Kirshner	9780801454790		fulltext		Cornell University Press	monograph	2014	2014						P	890509249
An Introduction to Labor Law		9780801470554							https://www.degruyter.com/openurl?genre=book&isbn=9780801470554	Gold	9780801470554		fulltext		Cornell University Press	monograph	2014	2014		Third Edition				P	872115521
Antosha and Levitasha		9781501756764							https://www.degruyter.com/openurl?genre=book&isbn=9781501756764	Gregory	9781501756764		fulltext		Cornell University Press	monograph	2015	2021						P	
Appetite for Change		9780801471278							https://www.degruyter.com/openurl?genre=book&isbn=9780801471278	Belasco	9780801471278		fulltext		Cornell University Press	monograph	2014	2014		Second Updated Edition				P	984687739
Assassins and Conspirators		9781501751264							https://www.degruyter.com/openurl?genre=book&isbn=9781501751264	Gabriel	9781501751264		fulltext		Cornell University Press	monograph	2014	2020						P	1198931998
Barriers to Bioweapons		9780801471933							https://www.degruyter.com/openurl?genre=book&isbn=9780801471933	Ben Ouagrham-Gormley	9780801471933		fulltext		Cornell University Press	monograph	2015	2015						P	979576559
Becoming Bourgeois		9781501701290							https://www.degruyter.com/openurl?genre=book&isbn=9781501701290	Johnson	9781501701290		fulltext		Cornell University Press	monograph	2015	2015						P	979954639
Becoming Muslim in Imperial Russia		9780801454776							https://www.degruyter.com/openurl?genre=book&isbn=9780801454776	Kefeli	9780801454776		fulltext		Cornell University Press	monograph	2015	2015						P	979740736
