PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Delicate Relationship		9781501701023							https://www.degruyter.com/openurl?genre=book&isbn=9781501701023	Clymer	9781501701023		fulltext		Cornell University Press	monograph	2016	2016						P	979954638
A Fight for the Soul of Public Education		9781501705939							https://www.degruyter.com/openurl?genre=book&isbn=9781501705939	Ashby	9781501705939		fulltext		Cornell University Press	monograph	2016	2016						P	952943130
A Most Enterprising Country		9781501706059							https://www.degruyter.com/openurl?genre=book&isbn=9781501706059	Hastings	9781501706059		fulltext		Cornell University Press	monograph	2016	2016						P	965905338
A New Moral Vision		9781501706325							https://www.degruyter.com/openurl?genre=book&isbn=9781501706325	Turpin	9781501706325		fulltext		Cornell University Press	monograph	2016	2016						P	999360756
A Not Too Greatly Changed Eden		9780801456282							https://www.degruyter.com/openurl?genre=book&isbn=9780801456282	Schlett	9780801456282		fulltext		Cornell University Press	monograph	2016	2015						P	999354299
A Sense of Power		9781501701788							https://www.degruyter.com/openurl?genre=book&isbn=9781501701788	Thompson	9781501701788		fulltext		Cornell University Press	monograph	2016	2016						P	1041997072
Accidental Activists		9781501703379							https://www.degruyter.com/openurl?genre=book&isbn=9781501703379	Arrington	9781501703379		fulltext		Cornell University Press	monograph	2016	2016						P	957638029
Achieving Workers' Rights in the Global Economy		9781501703355							https://www.degruyter.com/openurl?genre=book&isbn=9781501703355		9781501703355		fulltext		Cornell University Press	monograph	2016	2016			Appelbaum			P	979905763
Amphibians of Costa Rica		9781501706165							https://www.degruyter.com/openurl?genre=book&isbn=9781501706165	Leenders	9781501706165		fulltext		Cornell University Press	monograph	2016	2016						P	984666130
An Academy at the Court of the Tsars		9781501756733							https://www.degruyter.com/openurl?genre=book&isbn=9781501756733	Chrissidis	9781501756733		fulltext		Cornell University Press	monograph	2016	2020						P	1229161730
Ancient People of the Andes		9781501703935							https://www.degruyter.com/openurl?genre=book&isbn=9781501703935	Malpass	9781501703935		fulltext		Cornell University Press	monograph	2016	2016						P	951678579
Anthropologies of Unemployment		9781501706134							https://www.degruyter.com/openurl?genre=book&isbn=9781501706134		9781501706134		fulltext		Cornell University Press	monograph	2016	2016			Kwon			P	979911501
Arctic Mirrors		9781501703317							https://www.degruyter.com/openurl?genre=book&isbn=9781501703317	Slezkine	9781501703317		fulltext		Cornell University Press	monograph	2016	2016						P	957435760
Asian Designs		9781501706226							https://www.degruyter.com/openurl?genre=book&isbn=9781501706226	Pekkanen	9781501706226		fulltext		Cornell University Press	monograph	2016	2016						P	979836862
Augustine and Academic Skepticism		9781501703553							https://www.degruyter.com/openurl?genre=book&isbn=9781501703553	Dutton	9781501703553		fulltext		Cornell University Press	monograph	2016	2016						P	979882441
Before the Gregorian Reform		9781501703713							https://www.degruyter.com/openurl?genre=book&isbn=9781501703713	Howe	9781501703713		fulltext		Cornell University Press	monograph	2016	2016						P	979970616
Bones around My Neck		9781501706172							https://www.degruyter.com/openurl?genre=book&isbn=9781501706172	Loos	9781501706172		fulltext		Cornell University Press	monograph	2016	2016						P	999378666
Books As Weapons		9781501727276							https://www.degruyter.com/openurl?genre=book&isbn=9781501727276	Hench	9781501727276		fulltext		Cornell University Press	monograph	2016	2016						P	1059275555
Boundary		9781501756849							https://www.degruyter.com/openurl?genre=book&isbn=9781501756849	Nalkowska	9781501756849		fulltext		Cornell University Press	monograph	2016	2020						P	1229161994
Breaking the Mold		9781501705045							https://www.degruyter.com/openurl?genre=book&isbn=9781501705045	Bailyn	9781501705045		fulltext		Cornell University Press	monograph	2016	2016		Second Edition				P	979631182
Brethren by Nature		9780801456480							https://www.degruyter.com/openurl?genre=book&isbn=9780801456480	Newell	9780801456480		fulltext		Cornell University Press	monograph	2016	2015						P	920784842
Building China		9781501701726							https://www.degruyter.com/openurl?genre=book&isbn=9781501701726	Swider	9781501701726		fulltext		Cornell University Press	monograph	2016	2016						P	1041994167
Building the City of Spectacle		9781501706301							https://www.degruyter.com/openurl?genre=book&isbn=9781501706301	Judd	9781501706301		fulltext		Cornell University Press	monograph	2016	2016						P	979747483
Buttoned Up		9781501700965							https://www.degruyter.com/openurl?genre=book&isbn=9781501700965	Casanova	9781501700965		fulltext		Cornell University Press	monograph	2016	2016						P	1042030716
Cambodia's Second Kingdom		9781501725944							https://www.degruyter.com/openurl?genre=book&isbn=9781501725944	Noren-Nilsson	9781501725944		fulltext		Cornell University Press	monograph	2016	2018						P	1100454097
Central Banks and Gold		9781501705953							https://www.degruyter.com/openurl?genre=book&isbn=9781501705953	Metzler	9781501705953		fulltext		Cornell University Press	monograph	2016	2016						P	979579645
Chinese Economic Statecraft		9781501704031							https://www.degruyter.com/openurl?genre=book&isbn=9781501704031	Norris	9781501704031		fulltext		Cornell University Press	monograph	2016	2016						P	999367126
Class and Campus Life		9781501703898							https://www.degruyter.com/openurl?genre=book&isbn=9781501703898	Lee	9781501703898		fulltext		Cornell University Press	monograph	2016	2016						P	979882442
Clearing the Air		9781501706349							https://www.degruyter.com/openurl?genre=book&isbn=9781501706349	Wood	9781501706349		fulltext		Cornell University Press	monograph	2016	2016						P	979911534
Cluny and the Muslims of La Garde-Freinet		9781501700927							https://www.degruyter.com/openurl?genre=book&isbn=9781501700927	Bruce	9781501700927		fulltext		Cornell University Press	monograph	2016	2016						P	979760168
Community Architect		9781501706141							https://www.degruyter.com/openurl?genre=book&isbn=9781501706141	Larsen	9781501706141		fulltext		Cornell University Press	monograph	2016	2016						P	979911530
Constructive Feminism		9781501704130							https://www.degruyter.com/openurl?genre=book&isbn=9781501704130	Spain	9781501704130		fulltext		Cornell University Press	monograph	2016	2016						P	945976530
Counterpreservation		9781501706271							https://www.degruyter.com/openurl?genre=book&isbn=9781501706271	Sandler	9781501706271		fulltext		Cornell University Press	monograph	2016	2016						P	979911533
Coxey’s Crusade for Jobs		9781501756900							https://www.degruyter.com/openurl?genre=book&isbn=9781501756900	Prout	9781501756900		fulltext		Cornell University Press	monograph	2016	2020						P	1229161616
Curing Medicare		9781501703874							https://www.degruyter.com/openurl?genre=book&isbn=9781501703874		9781501703874		fulltext		Cornell University Press	monograph	2016	2016						P	979836787
Deadly River		9781501703638							https://www.degruyter.com/openurl?genre=book&isbn=9781501703638	Frerichs	9781501703638		fulltext		Cornell University Press	monograph	2016	2016						P	947119136
Developmental Mindset		9781501704178							https://www.degruyter.com/openurl?genre=book&isbn=9781501704178	Thurbon	9781501704178		fulltext		Cornell University Press	monograph	2016	2016						P	979625023
Disability and Employer Practices		9781501703454							https://www.degruyter.com/openurl?genre=book&isbn=9781501703454		9781501703454		fulltext		Cornell University Press	monograph	2016	2016			Bruyère			P	994350948
Disowning Slavery		9781501702938							https://www.degruyter.com/openurl?genre=book&isbn=9781501702938	Melish	9781501702938		fulltext		Cornell University Press	monograph	2016	2016						P	56010232
