PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Diverse Assembly		9780585110011							https://www.degruyter.com/openurl?genre=book&isbn=9780585110011	Paterson	9780585110011		fulltext		Edinburgh University Press	monograph	1998	2022						P	
A History of Islamic Law		9781474465892							https://www.degruyter.com/openurl?genre=book&isbn=9781474465892	Coulson	9781474465892		fulltext		Edinburgh University Press	monograph	1994	2022						P	
A History of Islamic Spain		9781474473446							https://www.degruyter.com/openurl?genre=book&isbn=9781474473446	Watt	9781474473446		fulltext		Edinburgh University Press	monograph	1996	2022						P	
A History of Scottish Architecture		9781474468503							https://www.degruyter.com/openurl?genre=book&isbn=9781474468503	McKechnie	9781474468503		fulltext		Edinburgh University Press	monograph	1996	2022						P	
A History of Scottish Women's Writing		9780748672660							https://www.degruyter.com/openurl?genre=book&isbn=9780748672660	Gifford	9780748672660		fulltext		Edinburgh University Press	monograph	1997	2022						P	
A Short History of the Ismailis		9780748679225							https://www.degruyter.com/openurl?genre=book&isbn=9780748679225	Daftary	9780748679225		fulltext		Edinburgh University Press	monograph	1998	2022						P	
African Philosophy in Search of Identity		9781474470773							https://www.degruyter.com/openurl?genre=book&isbn=9781474470773	Masolo	9781474470773		fulltext		Edinburgh University Press	monograph	1994	2022						P	
After Theory		9780585101347							https://www.degruyter.com/openurl?genre=book&isbn=9780585101347	Docherty	9780585101347		fulltext		Edinburgh University Press	monograph	1997	2022						P	
American Exceptionalism		9780585123455							https://www.degruyter.com/openurl?genre=book&isbn=9780585123455	Madsen	9780585123455		fulltext		Edinburgh University Press	monograph	1998	2022						P	
American Science Fiction and the Cold War		9781474472487							https://www.degruyter.com/openurl?genre=book&isbn=9781474472487	Seed	9781474472487		fulltext		Edinburgh University Press	monograph	1999	2022						P	
An African Niche Economy		9781474468688							https://www.degruyter.com/openurl?genre=book&isbn=9781474468688	Guyer	9781474468688		fulltext		Edinburgh University Press	monograph	1997	2022						P	
An Age of Transition		9780585070254							https://www.degruyter.com/openurl?genre=book&isbn=9780585070254	Green	9780585070254		fulltext		Edinburgh University Press	monograph	1997	2022						P	
An Anthology of Scottish Women Poets		9781474469791							https://www.degruyter.com/openurl?genre=book&isbn=9781474469791	Kerrigan	9781474469791		fulltext		Edinburgh University Press	monograph	1991	2022						P	
An Introduction to Gaelic Poetry		9781474473149							https://www.degruyter.com/openurl?genre=book&isbn=9781474473149	Thomson	9781474473149		fulltext		Edinburgh University Press	monograph	1990	2022						P	
An Introduction to Medieval Philosophy		9781474470711							https://www.degruyter.com/openurl?genre=book&isbn=9781474470711	Martin	9781474470711		fulltext		Edinburgh University Press	monograph	1996	2022						P	
An Introduction to the Hadith		9781474465564							https://www.degruyter.com/openurl?genre=book&isbn=9781474465564	Burton	9781474465564		fulltext		Edinburgh University Press	monograph	1995	2022						P	
An Introduction to Wittgenstein's Philosophy of Religion		9781474465748							https://www.degruyter.com/openurl?genre=book&isbn=9781474465748	Clack	9781474465748		fulltext		Edinburgh University Press	monograph	1999	2022						P	
Angela Carter		9781474468305							https://www.degruyter.com/openurl?genre=book&isbn=9781474468305	Gamble	9781474468305		fulltext		Edinburgh University Press	monograph	1997	2022						P	
