PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief History of Citizenship		9781474469067							https://www.degruyter.com/openurl?genre=book&isbn=9781474469067	Heater	9781474469067		fulltext		Edinburgh University Press	monograph	2004	2022						P	
A Cinema of Contradiction		9780748626519							https://www.degruyter.com/openurl?genre=book&isbn=9780748626519	Faulkner	9780748626519		fulltext		Edinburgh University Press	monograph	2006	2022						P	
A Companion to Environmental Thought		9781474469005							https://www.degruyter.com/openurl?genre=book&isbn=9781474469005	Hay	9781474469005		fulltext		Edinburgh University Press	monograph	2002	2022						P	
A Critical Introduction to Queer Theory		9781474472944							https://www.degruyter.com/openurl?genre=book&isbn=9781474472944	Sullivan	9781474472944		fulltext		Edinburgh University Press	monograph	2003	2022						P	
A Dictionary of Philosophical Logic		9780748631971							https://www.degruyter.com/openurl?genre=book&isbn=9780748631971	Cook	9780748631971		fulltext		Edinburgh University Press	monograph	2009	2022						P	
A Dictionary of Sociolinguistics		9781474472968							https://www.degruyter.com/openurl?genre=book&isbn=9781474472968	Swann	9781474472968		fulltext		Edinburgh University Press	monograph	2004	2022						P	
A Glossary of Applied Linguistics		9780748680719							https://www.degruyter.com/openurl?genre=book&isbn=9780748680719	Davies	9780748680719		fulltext		Edinburgh University Press	monograph	2005	2022						P	
A Glossary of Cognitive Linguistics		9780748629862							https://www.degruyter.com/openurl?genre=book&isbn=9780748629862	Evans	9780748629862		fulltext		Edinburgh University Press	monograph	2007	2022						P	
A Glossary of Corpus Linguistics		9780748626908							https://www.degruyter.com/openurl?genre=book&isbn=9780748626908	McEnery	9780748626908		fulltext		Edinburgh University Press	monograph	2006	2022						P	
A Glossary of English Grammar		9780748626915							https://www.degruyter.com/openurl?genre=book&isbn=9780748626915	Leech	9780748626915		fulltext		Edinburgh University Press	monograph	2006	2022						P	
A Glossary of Historical Linguistics		9780748630196							https://www.degruyter.com/openurl?genre=book&isbn=9780748630196	Campbell	9780748630196		fulltext		Edinburgh University Press	monograph	2007	2022						P	
A Glossary of Morphology		9781474464277							https://www.degruyter.com/openurl?genre=book&isbn=9781474464277	Bauer	9781474464277		fulltext		Edinburgh University Press	monograph	2004	2022						P	
A Glossary of Phonology		9780748629671							https://www.degruyter.com/openurl?genre=book&isbn=9780748629671	Carr	9780748629671		fulltext		Edinburgh University Press	monograph	2008	2022						P	
A Glossary of Political Theory		9780748629787							https://www.degruyter.com/openurl?genre=book&isbn=9780748629787	Hoffman	9780748629787		fulltext		Edinburgh University Press	monograph	2007	2022						P	
A Glossary of Semantics and Pragmatics		9780748626892							https://www.degruyter.com/openurl?genre=book&isbn=9780748626892	Cruse	9780748626892		fulltext		Edinburgh University Press	monograph	2006	2022						P	
A Glossary of Sociolinguistics		9781474473323							https://www.degruyter.com/openurl?genre=book&isbn=9781474473323	Trudgill	9781474473323		fulltext		Edinburgh University Press	monograph	2003	2022						P	
A Glossary of the European Union		9780748631186							https://www.degruyter.com/openurl?genre=book&isbn=9780748631186	Jones	9780748631186		fulltext		Edinburgh University Press	monograph	2008	2022						P	
A Glossary of UK Government and Politics		9780748631025							https://www.degruyter.com/openurl?genre=book&isbn=9780748631025	Watts	9780748631025		fulltext		Edinburgh University Press	monograph	2007	2022						P	
A Glossary of US Politics and Government		9780748629749							https://www.degruyter.com/openurl?genre=book&isbn=9780748629749	Thomson	9780748629749		fulltext		Edinburgh University Press	monograph	2007	2022						P	
A Guide to Mediating in Scotland		9780748699414							https://www.degruyter.com/openurl?genre=book&isbn=9780748699414	Malcolm	9780748699414		fulltext		Edinburgh University Press	monograph	2009	2022						P	
A Guide to Speech Production and Perception		9780748636532							https://www.degruyter.com/openurl?genre=book&isbn=9780748636532	Tatham	9780748636532		fulltext		Edinburgh University Press	monograph	2011	2022						P	
