PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Feminine Enlightenment		9780748695959							https://www.degruyter.com/openurl?genre=book&isbn=9780748695959	DeLucia	9780748695959		fulltext		Edinburgh University Press	monograph	2015	2022						P	
A Historical Syntax of English		9780748694563							https://www.degruyter.com/openurl?genre=book&isbn=9780748694563	Los	9780748694563		fulltext		Edinburgh University Press	monograph	2015	2022						P	
A History of Drinking		9781474400138							https://www.degruyter.com/openurl?genre=book&isbn=9781474400138	Cooke	9781474400138		fulltext		Edinburgh University Press	monograph	2015	2022						P	
Advanced English-Arabic Translation		9780748677962							https://www.degruyter.com/openurl?genre=book&isbn=9780748677962	Lahlali	9780748677962		fulltext		Edinburgh University Press	monograph	2014	2022						P	
Advances and Innovations in University Assessment and Feedback		9780748694556							https://www.degruyter.com/openurl?genre=book&isbn=9780748694556	Anderson	9780748694556		fulltext		Edinburgh University Press	monograph	2014	2021						P	
Adventures in Transcendental Materialism		9780748673308							https://www.degruyter.com/openurl?genre=book&isbn=9780748673308	Johnston	9780748673308		fulltext		Edinburgh University Press	monograph	2014	2021						P	
African, American and European Trajectories of Modernity		9781474400411							https://www.degruyter.com/openurl?genre=book&isbn=9781474400411	Wagner	9781474400411		fulltext		Edinburgh University Press	monograph	2015	2022						P	
Agamben and Politics		9780748676224							https://www.degruyter.com/openurl?genre=book&isbn=9780748676224	Prozorov	9780748676224		fulltext		Edinburgh University Press	monograph	2014	2021						P	
Ambiguous Citizenship in an Age of Global Migration		9780748692781							https://www.degruyter.com/openurl?genre=book&isbn=9780748692781	Ní Mhurchú	9780748692781		fulltext		Edinburgh University Press	monograph	2014	2021						F	
American Independent Cinema		9780748693610							https://www.degruyter.com/openurl?genre=book&isbn=9780748693610	Backman Rogers	9780748693610		fulltext		Edinburgh University Press	monograph	2015	2021						P	
American Postfeminist Cinema		9780748693375							https://www.degruyter.com/openurl?genre=book&isbn=9780748693375	Schreiber	9780748693375		fulltext		Edinburgh University Press	monograph	2014	2022						P	
Animal Theory		9780748682218							https://www.degruyter.com/openurl?genre=book&isbn=9780748682218	Ryan	9780748682218		fulltext		Edinburgh University Press	monograph	2015	2022						P	
Archipelagic Modernism		9780748643370							https://www.degruyter.com/openurl?genre=book&isbn=9780748643370	Brannigan	9780748643370		fulltext		Edinburgh University Press	monograph	2014	2022						P	
At the Edges of Thought		9780748694648							https://www.degruyter.com/openurl?genre=book&isbn=9780748694648	Lundy	9780748694648		fulltext		Edinburgh University Press	monograph	2015	2021						P	
Autobiographical Identities in Contemporary Arab Culture		9780748643417							https://www.degruyter.com/openurl?genre=book&isbn=9780748643417	Anishchenkova	9780748643417		fulltext		Edinburgh University Press	monograph	2014	2021						P	
Badiou and the Political Condition		9780748678815							https://www.degruyter.com/openurl?genre=book&isbn=9780748678815	Constantinou	9780748678815		fulltext		Edinburgh University Press	monograph	2014	2021						P	
Bannockburns		9780748685851							https://www.degruyter.com/openurl?genre=book&isbn=9780748685851	Crawford	9780748685851		fulltext		Edinburgh University Press	monograph	2014	2022						P	
