PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A History of Scottish Child Protection Law		9781474444194							https://www.degruyter.com/openurl?genre=book&isbn=9781474444194	Norrie	9781474444194		fulltext		Edinburgh University Press	monograph	2020	2022						P	
A Sociolinguistic History of Scotland		9781474448567							https://www.degruyter.com/openurl?genre=book&isbn=9781474448567	Millar	9781474448567		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Affect and Attention After Deleuze and Whitehead		9781474466943							https://www.degruyter.com/openurl?genre=book&isbn=9781474466943	Duvernoy	9781474466943		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Affective Intensities and Evolving Horror Forms		9781474456371							https://www.degruyter.com/openurl?genre=book&isbn=9781474456371	Daniel	9781474456371		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Agamben's Philosophical Trajectory		9781474476027							https://www.degruyter.com/openurl?genre=book&isbn=9781474476027	Kotsko	9781474476027		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Ageing in the Modern Arabic Novel		9781474466783							https://www.degruyter.com/openurl?genre=book&isbn=9781474466783	Aghacy	9781474466783		fulltext		Edinburgh University Press	monograph	2020	2022						P	
And Now for Something Completely Different		9781474475174							https://www.degruyter.com/openurl?genre=book&isbn=9781474475174	Egan	9781474475174		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Annals of the Parish		9781474442428							https://www.degruyter.com/openurl?genre=book&isbn=9781474442428	Galt	9781474442428		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Antonioni and the Aesthetics of Impurity		9781474444064							https://www.degruyter.com/openurl?genre=book&isbn=9781474444064	Nardelli	9781474444064		fulltext		Edinburgh University Press	monograph	2020	2022						P	
Anxious Men		9781474423885							https://www.degruyter.com/openurl?genre=book&isbn=9781474423885	Baldwin	9781474423885		fulltext		Edinburgh University Press	monograph	2020	2022						P	
