PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Critique of Moral Knowledge		9780823290758							https://www.degruyter.com/openurl?genre=book&isbn=9780823290758	Simon	9780823290758		fulltext		Fordham University Press	monograph	1999	2022						P	
A Dependent People		9780823295029							https://www.degruyter.com/openurl?genre=book&isbn=9780823295029	Crane	9780823295029		fulltext		Fordham University Press	monograph	1992	2022						P	
A Reading of Hegel's "Phenomenology of Spirit"		9780823295050							https://www.degruyter.com/openurl?genre=book&isbn=9780823295050	Lauer	9780823295050		fulltext		Fordham University Press	monograph	1993	2022						P	
A Revolution of the Spirit		9780823295067							https://www.degruyter.com/openurl?genre=book&isbn=9780823295067	Rosenthal-Glatzner	9780823295067		fulltext		Fordham University Press	monograph	1990	2022						P	
A View From Rome		9780823295098							https://www.degruyter.com/openurl?genre=book&isbn=9780823295098	Schultenover	9780823295098		fulltext		Fordham University Press	monograph	1993	2022						P	
Acquaintance With the Absolute		9780823295128							https://www.degruyter.com/openurl?genre=book&isbn=9780823295128	Simon	9780823295128		fulltext		Fordham University Press	monograph	1998	2022						P	
Affairs of Party		9780823295135							https://www.degruyter.com/openurl?genre=book&isbn=9780823295135	Baker	9780823295135		fulltext		Fordham University Press	monograph	1998	2022						P	
After Nine Hundred Years		9780823295142							https://www.degruyter.com/openurl?genre=book&isbn=9780823295142	Congar	9780823295142		fulltext		Fordham University Press	monograph	1998	2022						P	
America and the Americans- in 1833-1834		9780823295159							https://www.degruyter.com/openurl?genre=book&isbn=9780823295159		9780823295159		fulltext		Fordham University Press	monograph	1994	2022			Widdicombe			P	
An Introduction to Metaphysics of Knowledge		9780823295173							https://www.degruyter.com/openurl?genre=book&isbn=9780823295173	Simon	9780823295173		fulltext		Fordham University Press	monograph	1990	2022						P	
