PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Catholic Cold War		9780823290710							https://www.degruyter.com/openurl?genre=book&isbn=9780823290710	McNamara	9780823290710		fulltext		Fordham University Press	monograph	2005	2022						P	
A Circular Journey		9780823290727							https://www.degruyter.com/openurl?genre=book&isbn=9780823290727	Barolini	9780823290727		fulltext		Fordham University Press	monograph	2011	2022						P	
A Coat of Many Colors		9780823290734							https://www.degruyter.com/openurl?genre=book&isbn=9780823290734		9780823290734		fulltext		Fordham University Press	monograph	2004	2022			Soyer			P	
A Common Strangeness		9780823242627							https://www.degruyter.com/openurl?genre=book&isbn=9780823242627	Edmond	9780823242627		fulltext		Fordham University Press	monograph	2012	2012						P	808366947
A Constructive Theology of Intellectual Disability		9780823290741							https://www.degruyter.com/openurl?genre=book&isbn=9780823290741	Haslam	9780823290741		fulltext		Fordham University Press	monograph	2012	2022						P	
A Free Ballot and a Fair Count		9780823295012							https://www.degruyter.com/openurl?genre=book&isbn=9780823295012	Goldman	9780823295012		fulltext		Fordham University Press	monograph	2001	2022						P	
A Fury in the Words		9780823290765							https://www.degruyter.com/openurl?genre=book&isbn=9780823290765	Berger	9780823290765		fulltext		Fordham University Press	monograph	2013	2022						P	
A Grand Terrible Drama		9780823295036							https://www.degruyter.com/openurl?genre=book&isbn=9780823295036	Campbell	9780823295036		fulltext		Fordham University Press	monograph	2000	2022						P	
A History of the Negro Troops in the War of the Rebellion, 1861-1865		9780823240425							https://www.degruyter.com/openurl?genre=book&isbn=9780823240425	Williams	9780823240425		fulltext		Fordham University Press	monograph	2012	2012						P	1156052705
A Local Habitation and a Name		9780823290772							https://www.degruyter.com/openurl?genre=book&isbn=9780823290772	Ascoli	9780823290772		fulltext		Fordham University Press	monograph	2011	2022						P	
A Pact with Vichy		9780823245673							https://www.degruyter.com/openurl?genre=book&isbn=9780823245673	Rota	9780823245673		fulltext		Fordham University Press	monograph	2012	2012						P	952746521
A Passion for the Possible		9780823290789							https://www.degruyter.com/openurl?genre=book&isbn=9780823290789		9780823290789		fulltext		Fordham University Press	monograph	2010	2022			Venema			P	
A Philadelphia Perspective		9780823290796							https://www.degruyter.com/openurl?genre=book&isbn=9780823290796	Fisher	9780823290796		fulltext		Fordham University Press	monograph	2007	2022						P	
A Plausible God		9780823238514							https://www.degruyter.com/openurl?genre=book&isbn=9780823238514	Silver	9780823238514		fulltext		Fordham University Press	monograph	2009	2009						P	1098989149
A Prophet for Our Time		9780823290802							https://www.degruyter.com/openurl?genre=book&isbn=9780823290802	Fisher	9780823290802		fulltext		Fordham University Press	monograph	2002	2022						P	
A Reformation Debate		9780823239665							https://www.degruyter.com/openurl?genre=book&isbn=9780823239665	Olin	9780823239665		fulltext		Fordham University Press	monograph	2009	2009						P	1178769329
A Scholar's Tale		9780823237272							https://www.degruyter.com/openurl?genre=book&isbn=9780823237272	Hartman	9780823237272		fulltext		Fordham University Press	monograph	2009	2009						P	1178770022
A Time for the Humanities		9780823237289							https://www.degruyter.com/openurl?genre=book&isbn=9780823237289		9780823237289		fulltext		Fordham University Press	monograph	2009	2009			Bono			P	1098644822
A Time of War		9780823295081							https://www.degruyter.com/openurl?genre=book&isbn=9780823295081	Whyte	9780823295081		fulltext		Fordham University Press	monograph	2000	2022						P	
A Touch More Rare		9780823237296							https://www.degruyter.com/openurl?genre=book&isbn=9780823237296		9780823237296		fulltext		Fordham University Press	monograph	2009	2009			Levine			P	647876405
A Weak Messianic Power		9780823255139							https://www.degruyter.com/openurl?genre=book&isbn=9780823255139	Levine	9780823255139		fulltext		Fordham University Press	monograph	2013	2013						P	861538569
A Word from Our Sponsor		9780823253777							https://www.degruyter.com/openurl?genre=book&isbn=9780823253777	Meyers	9780823253777		fulltext		Fordham University Press	monograph	2013	2013						P	1090380403
After God		9780823290819							https://www.degruyter.com/openurl?genre=book&isbn=9780823290819	Manoussakis	9780823290819		fulltext		Fordham University Press	monograph	2006	2022						P	
After Translation		9780823252145							https://www.degruyter.com/openurl?genre=book&isbn=9780823252145	Infante	9780823252145		fulltext		Fordham University Press	monograph	2013	2013						P	847623353
Against Democracy		9780823290826							https://www.degruyter.com/openurl?genre=book&isbn=9780823290826	During	9780823290826		fulltext		Fordham University Press	monograph	2012	2022						P	
Alexandrian Cosmopolitanism		9780823252282							https://www.degruyter.com/openurl?genre=book&isbn=9780823252282	Halim	9780823252282		fulltext		Fordham University Press	monograph	2013	2013						P	859536488
All Crises Are Global		9780823290833							https://www.degruyter.com/openurl?genre=book&isbn=9780823290833	Pinsdorf	9780823290833		fulltext		Fordham University Press	monograph	2004	2022						P	
Ambiguity and the Absolute		9780823254132							https://www.degruyter.com/openurl?genre=book&isbn=9780823254132	Chouraqui	9780823254132		fulltext		Fordham University Press	monograph	2013	2013						P	1178768983
American Metempsychosis		9780823242375							https://www.degruyter.com/openurl?genre=book&isbn=9780823242375	Corrigan	9780823242375		fulltext		Fordham University Press	monograph	2012	2012						P	808367423
American Woman, Italian Style		9780823290840							https://www.degruyter.com/openurl?genre=book&isbn=9780823290840	Albright	9780823290840		fulltext		Fordham University Press	monograph	2011	2022						P	
An American Heroine in the French Resistance		9780823290857							https://www.degruyter.com/openurl?genre=book&isbn=9780823290857		9780823290857		fulltext		Fordham University Press	monograph	2006	2022			Litoff			P	
An Ethics of Betrayal		9780823237326							https://www.degruyter.com/openurl?genre=book&isbn=9780823237326	Parikh	9780823237326		fulltext		Fordham University Press	monograph	2009	2009						P	647876525
Ancient Mediterranean Art		9780823290864							https://www.degruyter.com/openurl?genre=book&isbn=9780823290864		9780823290864		fulltext		Fordham University Press	monograph	2012	2022			Udell			P	
Angels of Mercy		9780823241620							https://www.degruyter.com/openurl?genre=book&isbn=9780823241620	Seraile	9780823241620		fulltext		Fordham University Press	monograph	2013	2022						P	
Answering Auschwitz		9780823290871							https://www.degruyter.com/openurl?genre=book&isbn=9780823290871	Pugliese	9780823290871		fulltext		Fordham University Press	monograph	2011	2022						P	
Anthropology's Wake		9780823290888							https://www.degruyter.com/openurl?genre=book&isbn=9780823290888	Johnson	9780823290888		fulltext		Fordham University Press	monograph	2008	2022						P	
Apocalyptic Futures		9780823241514							https://www.degruyter.com/openurl?genre=book&isbn=9780823241514	Samolsky	9780823241514		fulltext		Fordham University Press	monograph	2011	2011						P	785778996
Apophatic Bodies		9780823290895							https://www.degruyter.com/openurl?genre=book&isbn=9780823290895	Boesel	9780823290895		fulltext		Fordham University Press	monograph	2010	2022						P	
Apparitions—Of Derrida's Other		9780823290901							https://www.degruyter.com/openurl?genre=book&isbn=9780823290901	Saghafi	9780823290901		fulltext		Fordham University Press	monograph	2010	2022						P	
Army GI, Pacifist CO		9780823290918							https://www.degruyter.com/openurl?genre=book&isbn=9780823290918		9780823290918		fulltext		Fordham University Press	monograph	2005	2022			Bennett			P	
Around the Book		9780823290925							https://www.degruyter.com/openurl?genre=book&isbn=9780823290925	Sussman	9780823290925		fulltext		Fordham University Press	monograph	2011	2022						P	
Art and Aesthetics after Adorno		9780823290932							https://www.degruyter.com/openurl?genre=book&isbn=9780823290932		9780823290932		fulltext		Fordham University Press	monograph	2013	2022			Kaufman			P	
Art Without an Author		9780823290949							https://www.degruyter.com/openurl?genre=book&isbn=9780823290949	Ruffini	9780823290949		fulltext		Fordham University Press	monograph	2011	2022						P	
As Bad as They Say?		9780823241583							https://www.degruyter.com/openurl?genre=book&isbn=9780823241583	Mayer	9780823241583		fulltext		Fordham University Press	monograph	2011	2022						P	
Aspects of Alterity		9780823290963							https://www.degruyter.com/openurl?genre=book&isbn=9780823290963	Treanor	9780823290963		fulltext		Fordham University Press	monograph	2007	2022						P	
Asylum Speakers		9780823237357							https://www.degruyter.com/openurl?genre=book&isbn=9780823237357	Shemak	9780823237357		fulltext		Fordham University Press	monograph	2010	2010						P	1109299265
Athens, Still Remains		9780823290970							https://www.degruyter.com/openurl?genre=book&isbn=9780823290970	Derrida	9780823290970		fulltext		Fordham University Press	monograph	2011	2022						P	
Beachhead Don		9780823290987							https://www.degruyter.com/openurl?genre=book&isbn=9780823290987		9780823290987		fulltext		Fordham University Press	monograph	2005	2022			Romeiser			P	
Being and Some 20th Century Thomists		9780823290994							https://www.degruyter.com/openurl?genre=book&isbn=9780823290994	Knasas	9780823290994		fulltext		Fordham University Press	monograph	2003	2022						P	
Being Jewish/Reading Heidegger		9780823291007							https://www.degruyter.com/openurl?genre=book&isbn=9780823291007	Scult	9780823291007		fulltext		Fordham University Press	monograph	2004	2021						P	
Believing Scholars		9780823237371							https://www.degruyter.com/openurl?genre=book&isbn=9780823237371		9780823237371		fulltext		Fordham University Press	monograph	2009	2009			Heft			P	1099100559
Bestial Traces		9780823291014							https://www.degruyter.com/openurl?genre=book&isbn=9780823291014	Peterson	9780823291014		fulltext		Fordham University Press	monograph	2013	2022						P	
Better Off Dead		9780823291021							https://www.degruyter.com/openurl?genre=book&isbn=9780823291021		9780823291021		fulltext		Fordham University Press	monograph	2011	2022			Lauro			P	
Between Chora and the Good		9780823291038							https://www.degruyter.com/openurl?genre=book&isbn=9780823291038	Bigger	9780823291038		fulltext		Fordham University Press	monograph	2004	2022						P	
Between Dancing and Writing		9780823291045							https://www.degruyter.com/openurl?genre=book&isbn=9780823291045	LaMothe	9780823291045		fulltext		Fordham University Press	monograph	2005	2022						P	
Between Page and Screen		9780823291052							https://www.degruyter.com/openurl?genre=book&isbn=9780823291052		9780823291052		fulltext		Fordham University Press	monograph	2013	2022			Wurth			P	
Between the Bylines		9780823291069							https://www.degruyter.com/openurl?genre=book&isbn=9780823291069	Wiant	9780823291069		fulltext		Fordham University Press	monograph	2011	2022						P	
Beyond Broadband Access		9780823252084							https://www.degruyter.com/openurl?genre=book&isbn=9780823252084		9780823252084		fulltext		Fordham University Press	monograph	2013	2013			Schejter			P	858762974
Beyond the Mother Tongue		9780823255771							https://www.degruyter.com/openurl?genre=book&isbn=9780823255771	Yildiz	9780823255771		fulltext		Fordham University Press	monograph	2013	2013						P	1175644384
Beyond the Mushroom Cloud		9780823291076							https://www.degruyter.com/openurl?genre=book&isbn=9780823291076	Miyamoto	9780823291076		fulltext		Fordham University Press	monograph	2012	2022						P	
Beyond Violence		9780823237395							https://www.degruyter.com/openurl?genre=book&isbn=9780823237395		9780823237395		fulltext		Fordham University Press	monograph	2009	2009			Heft			P	1178768953
Black Robes and Buckskin		9780823291083							https://www.degruyter.com/openurl?genre=book&isbn=9780823291083	Randall	9780823291083		fulltext		Fordham University Press	monograph	2011	2022						P	
Bob Drinan		9780823237401							https://www.degruyter.com/openurl?genre=book&isbn=9780823237401	Schroth	9780823237401		fulltext		Fordham University Press	monograph	2010	2010						P	1178768833
Box Boats		9780823291090							https://www.degruyter.com/openurl?genre=book&isbn=9780823291090	Cudahy	9780823291090		fulltext		Fordham University Press	monograph	2008	2022						P	
Busy Hands		9780823295210							https://www.degruyter.com/openurl?genre=book&isbn=9780823295210	Richard	9780823295210		fulltext		Fordham University Press	monograph	2004	2022						P	
Castoriadis's Ontology		9780823291106							https://www.degruyter.com/openurl?genre=book&isbn=9780823291106	Adams	9780823291106		fulltext		Fordham University Press	monograph	2011	2022						P	
Caterpillage		9780823291113							https://www.degruyter.com/openurl?genre=book&isbn=9780823291113	Berger	9780823291113		fulltext		Fordham University Press	monograph	2011	2022						P	
Cathedrals of Bone		9780823237418							https://www.degruyter.com/openurl?genre=book&isbn=9780823237418	Waldmeir	9780823237418		fulltext		Fordham University Press	monograph	2009	2009						P	647876414
Catholic Social Learning		9780823291120							https://www.degruyter.com/openurl?genre=book&isbn=9780823291120	Bergman	9780823291120		fulltext		Fordham University Press	monograph	2011	2022						P	
Chagas Disease		9780823291137							https://www.degruyter.com/openurl?genre=book&isbn=9780823291137		9780823291137		fulltext		Fordham University Press	monograph	2012	2022			Delaporte			P	
Chancellorsville and the Germans		9780823291144							https://www.degruyter.com/openurl?genre=book&isbn=9780823291144	Keller	9780823291144		fulltext		Fordham University Press	monograph	2007	2022						P	
Check it Out!		9780823291151							https://www.degruyter.com/openurl?genre=book&isbn=9780823291151	Athens	9780823291151		fulltext		Fordham University Press	monograph	2004	2022						P	
Chesterton and Evil		9780823295272							https://www.degruyter.com/openurl?genre=book&isbn=9780823295272	Knight	9780823295272		fulltext		Fordham University Press	monograph	2004	2022						P	
Christian Humanism and the Reformation		9780823295289							https://www.degruyter.com/openurl?genre=book&isbn=9780823295289	Olin	9780823295289		fulltext		Fordham University Press	monograph	2000	2022						P	
Christian Lives Given to the Study of Islam		9780823291168							https://www.degruyter.com/openurl?genre=book&isbn=9780823291168		9780823291168		fulltext		Fordham University Press	monograph	2013	2022			Troll			P	
Church and Society		9780823291175							https://www.degruyter.com/openurl?genre=book&isbn=9780823291175	Dulles	9780823291175		fulltext		Fordham University Press	monograph	2008	2022						P	
Cinepoetry		9780823245512							https://www.degruyter.com/openurl?genre=book&isbn=9780823245512	Wall-Romana	9780823245512		fulltext		Fordham University Press	monograph	2013	2013						P	1162293025
Circuitous Journeys		9780823237456							https://www.degruyter.com/openurl?genre=book&isbn=9780823237456	Leigh	9780823237456		fulltext		Fordham University Press	monograph	2009	2009						P	1098599837
Citizens or Papists?		9780823291182							https://www.degruyter.com/openurl?genre=book&isbn=9780823291182	Duncan	9780823291182		fulltext		Fordham University Press	monograph	2006	2022						P	
Civil Rights in New York City		9780823237463							https://www.degruyter.com/openurl?genre=book&isbn=9780823237463		9780823237463		fulltext		Fordham University Press	monograph	2011	2011			Taylor			P	1175631025
Civil War America		9780823291199							https://www.degruyter.com/openurl?genre=book&isbn=9780823291199	Marten	9780823291199		fulltext		Fordham University Press	monograph	2008	2022						P	
Class Degrees		9780823237470							https://www.degruyter.com/openurl?genre=book&isbn=9780823237470	Watkins	9780823237470		fulltext		Fordham University Press	monograph	2009	2009						P	1178769799
Clint Eastwood and Issues of American Masculinity		9780823291205							https://www.degruyter.com/openurl?genre=book&isbn=9780823291205	Cornell	9780823291205		fulltext		Fordham University Press	monograph	2009	2022						P	
Coleridge and Newman		9780823295319							https://www.degruyter.com/openurl?genre=book&isbn=9780823295319	Rule	9780823295319		fulltext		Fordham University Press	monograph	2004	2022						P	
Combat Reporter		9780823237494							https://www.degruyter.com/openurl?genre=book&isbn=9780823237494		9780823237494		fulltext		Fordham University Press	monograph	2009	2009						P	1099118646
Coming to Life		9780823291212							https://www.degruyter.com/openurl?genre=book&isbn=9780823291212		9780823291212		fulltext		Fordham University Press	monograph	2013	2022			Lundquist			P	
Commemorating Trauma		9780823291229							https://www.degruyter.com/openurl?genre=book&isbn=9780823291229	Starr	9780823291229		fulltext		Fordham University Press	monograph	2006	2022						P	
