PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Chosen Exile		9780674735811							https://www.degruyter.com/openurl?genre=book&isbn=9780674735811	Hobbs	9780674735811		fulltext		Harvard University Press	monograph	2014	2014						P	979590102
A Great and Wretched City		9780674368996							https://www.degruyter.com/openurl?genre=book&isbn=9780674368996	Jurdjevic	9780674368996		fulltext		Harvard University Press	monograph	2014	2014						P	979954009
A Land of Aching Hearts		9780674735651							https://www.degruyter.com/openurl?genre=book&isbn=9780674735651	Fawaz	9780674735651		fulltext		Harvard University Press	monograph	2014	2014						P	979743592
A Mattress Maker's Daughter		9780674369092							https://www.degruyter.com/openurl?genre=book&isbn=9780674369092	Dooley	9780674369092		fulltext		Harvard University Press	monograph	2014	2014		19 halftones				P	979743136
A Million and One Gods		9780674369122							https://www.degruyter.com/openurl?genre=book&isbn=9780674369122	duBois	9780674369122		fulltext		Harvard University Press	monograph	2014	2014						P	900716681
A Natural History of Human Thinking		9780674726369							https://www.degruyter.com/openurl?genre=book&isbn=9780674726369	Tomasello	9780674726369		fulltext		Harvard University Press	monograph	2014	2014		Pilot project,eBook available to selected US libraries only				P	984663533
A New Republic of Letters		9780674369245							https://www.degruyter.com/openurl?genre=book&isbn=9780674369245	McGann	9780674369245		fulltext		Harvard University Press	monograph	2014	2014		Pilot project,eBook available to selected US libraries only				P	984681231
A Storm of Songs		9780674425262							https://www.degruyter.com/openurl?genre=book&isbn=9780674425262	Hawley	9780674425262		fulltext		Harvard University Press	monograph	2015	2015						P	979589640
A Tale of Two Plantations		9780674735620							https://www.degruyter.com/openurl?genre=book&isbn=9780674735620	Dunn	9780674735620		fulltext		Harvard University Press	monograph	2014	2014						P	999360521
A Traveled First Lady		9780674369276							https://www.degruyter.com/openurl?genre=book&isbn=9780674369276	Adams	9780674369276		fulltext		Harvard University Press	monograph	2014	2014						P	979967928
Adams Family Correspondence, Volume 12		9780674286207							https://www.degruyter.com/openurl?genre=book&isbn=9780674286207	Adams Family	9780674286207		fulltext		Harvard University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984688194
Afghan Modern		9780674495746							https://www.degruyter.com/openurl?genre=book&isbn=9780674495746	Crews	9780674495746		fulltext		Harvard University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984687072
Africa in the World		9780674369306							https://www.degruyter.com/openurl?genre=book&isbn=9780674369306	Cooper	9780674369306		fulltext		Harvard University Press	monograph	2014	2014		Pilot project,eBook available to selected US libraries only				P	984652116
After Appomattox		9780674426146							https://www.degruyter.com/openurl?genre=book&isbn=9780674426146	Downs	9780674426146		fulltext		Harvard University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984520715
After Nature		9780674915671							https://www.degruyter.com/openurl?genre=book&isbn=9780674915671	Purdy	9780674915671		fulltext		Harvard University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984642359
After Physics		9780674735507							https://www.degruyter.com/openurl?genre=book&isbn=9780674735507	Albert	9780674735507		fulltext		Harvard University Press	monograph	2015	2015						P	979630299
After Roe		9780674286269							https://www.degruyter.com/openurl?genre=book&isbn=9780674286269	Ziegler	9780674286269		fulltext		Harvard University Press	monograph	2015	2015		Pilot project,eBook available to selected US libraries only				P	984650220
Age of Entanglement		9780674726314							https://www.degruyter.com/openurl?genre=book&isbn=9780674726314	Manjapra	9780674726314		fulltext		Harvard University Press	monograph	2014	2014						P	979904684
Aiming for Pensacola		9780674088238							https://www.degruyter.com/openurl?genre=book&isbn=9780674088238	Clavin	9780674088238		fulltext		Harvard University Press	monograph	2015	2015						P	979575158
Alien Landscapes?		9780674735743							https://www.degruyter.com/openurl?genre=book&isbn=9780674735743	Glover	9780674735743		fulltext		Harvard University Press	monograph	2014	2014						P	979576755
American Apocalypse		9780674736184							https://www.degruyter.com/openurl?genre=book&isbn=9780674736184	Sutton	9780674736184		fulltext		Harvard University Press	monograph	2014	2014						P	979880922
American Cocktail		9780674369337							https://www.degruyter.com/openurl?genre=book&isbn=9780674369337	Reynolds	9780674369337		fulltext		Harvard University Press	monograph	2014	2014						P	979589424
American Passage		9780674735767							https://www.degruyter.com/openurl?genre=book&isbn=9780674735767	Grandjean	9780674735767		fulltext		Harvard University Press	monograph	2015	2015						P	999366752
American Railroads		9780674369368							https://www.degruyter.com/openurl?genre=book&isbn=9780674369368	Gallamore	9780674369368		fulltext		Harvard University Press	monograph	2014	2014		Pilot project,eBook available to selected US libraries only				P	984643528
American Tax Resisters		9780674369399							https://www.degruyter.com/openurl?genre=book&isbn=9780674369399	Huret	9780674369399		fulltext		Harvard University Press	monograph	2014	2014						P	900718382
American Vandal		9780674425323							https://www.degruyter.com/openurl?genre=book&isbn=9780674425323	Morris	9780674425323		fulltext		Harvard University Press	monograph	2015	2015						P	979954038
America's Forgotten Constitutions		9780674369429							https://www.degruyter.com/openurl?genre=book&isbn=9780674369429	Tsai	9780674369429		fulltext		Harvard University Press	monograph	2014	2014		Pilot project,eBook available to selected US libraries only				P	984630180
